Date,Realised_PNL
2021-08-16,-1195.9488525390614
2021-08-17,-1195.9488525390614
2021-08-18,-1195.9488525390614
2021-08-20,-1195.9488525390614
2021-08-23,-1195.9488525390614
2021-08-24,-1195.9488525390614
2021-08-25,-1195.9488525390614
2021-08-26,-1195.9488525390614
2021-08-27,-1195.9488525390614
2021-08-30,-1195.9488525390614
2021-08-31,-1195.9488525390614
2021-09-01,-1195.9488525390614
2021-09-02,-1195.9488525390614
2021-09-03,-1195.9488525390614
2021-09-06,-1195.9488525390614
2021-09-07,-1195.9488525390614
2021-09-08,-1195.9488525390614
2021-09-09,-1195.9488525390614
2021-09-13,-1195.9488525390614
2021-09-14,-1195.9488525390614
2021-09-15,-1195.9488525390614
2021-09-16,-1195.9488525390614
2021-09-17,-1091.1416144120055
2021-09-20,-1091.1416144120055
2021-09-21,-984.5555241550426
2021-09-22,-860.9694338980796
2021-09-23,-722.3833436411169
2021-09-24,-557.7972533841541
2021-09-27,-382.4611631271914
2021-09-28,-265.8750728702289
2021-09-29,-265.8750728702289
2021-09-30,-265.8750728702289
2021-10-01,-265.8750728702289
2021-10-04,-265.8750728702289
2021-10-05,-192.69701418912837
2021-10-06,-192.69701418912837
2021-10-07,-104.9281181332583
2021-10-08,1.0907779226117782
2021-10-11,83.85967397848185
2021-10-12,161.62857003435192
2021-10-13,258.34741726209677
2021-10-14,258.34741726209677
2021-10-18,399.1163133179666
2021-10-19,613.8852093738365
2021-10-20,613.8852093738365
2021-10-21,613.8852093738365
2021-10-22,613.8852093738365
2021-10-25,613.8852093738365
2021-10-26,613.8852093738365
2021-10-27,613.8852093738365
2021-10-28,613.8852093738365
2021-10-29,613.8852093738365
2021-11-01,613.8852093738365
2021-11-02,613.8852093738365
2021-11-03,613.8852093738365
2021-11-08,613.8852093738365
2021-11-09,729.4854111217735
2021-11-10,836.3356128697105
2021-11-11,950.1357657895226
2021-11-12,1073.9859675374598
2021-11-15,1073.9859675374598
2021-11-16,1073.9859675374598
2021-11-17,1073.9859675374598
2021-11-18,1073.9859675374598
2021-11-22,1073.9859675374598
2021-11-23,1073.9859675374598
2021-11-24,1073.9859675374598
2021-11-25,1073.9859675374598
