,BuypriceChangeBarrier,maxProftBarrier,delta,Total_Profit,Total_Brokerrage,Total_Transactions
363,-0.021,0.007,0.01,54375,5100,102
364,-0.021,0.006,0.01,37650,5300,106
365,-0.021,0.005,0.01,51120,5500,110
366,-0.021,0.004,0.01,29370,6000,120
367,-0.021,0.003,0.01,21390,6300,126
368,-0.021,0.002,0.01,-22380,6550,131
369,-0.021,0.01,0.009,20025,4850,97
370,-0.021,0.009,0.009,48750,4900,98
371,-0.021,0.008,0.009,56250,4900,98
372,-0.021,0.007,0.009,54375,5100,102
373,-0.021,0.006,0.009,37650,5300,106
374,-0.021,0.005,0.009,51120,5500,110
375,-0.021,0.004,0.009,29370,6000,120
376,-0.021,0.003,0.009,21390,6300,126
377,-0.021,0.002,0.009,-22380,6550,131
378,-0.021,0.01,0.008,42735,5100,102
379,-0.021,0.009,0.008,71460,5150,103
380,-0.021,0.008,0.008,65745,5250,105
381,-0.021,0.007,0.008,59970,5350,107
382,-0.021,0.006,0.008,40920,5650,113
383,-0.021,0.005,0.008,54390,5850,117
384,-0.021,0.004,0.008,36705,6450,129
385,-0.021,0.003,0.008,28725,6750,135
386,-0.021,0.002,0.008,17880,6800,136
387,-0.021,0.01,0.007,44475,5100,102
388,-0.021,0.009,0.007,73200,5150,103
389,-0.021,0.008,0.007,67485,5250,105
390,-0.021,0.007,0.007,61710,5350,107
391,-0.021,0.006,0.007,55455,5450,109
392,-0.021,0.005,0.007,68925,5650,113
393,-0.021,0.004,0.007,51240,6150,123
394,-0.021,0.003,0.007,35535,6250,125
395,-0.021,0.002,0.007,27450,6400,128
396,-0.021,0.01,0.006,7155,5300,106
397,-0.021,0.009,0.006,35880,5350,107
398,-0.021,0.008,0.006,36240,5450,109
399,-0.021,0.007,0.006,30465,5550,111
400,-0.021,0.006,0.006,24210,5650,113
401,-0.021,0.005,0.006,37680,5850,117
402,-0.021,0.004,0.006,26775,5950,119
403,-0.021,0.003,0.006,33990,5950,119
404,-0.021,0.002,0.006,25905,6100,122
405,-0.031,0.01,0.02,33480,4100,82
406,-0.031,0.009,0.02,36990,4100,82
407,-0.031,0.008,0.02,24165,4200,84
408,-0.031,0.007,0.02,22290,4400,88
409,-0.031,0.006,0.02,5670,4500,90
410,-0.031,0.005,0.02,8280,4600,92
411,-0.031,0.004,0.02,6225,5000,100
412,-0.031,0.003,0.02,19575,5100,102
413,-0.031,0.002,0.02,15675,5150,103
414,-0.031,0.01,0.019,33480,4100,82
415,-0.031,0.009,0.019,36990,4100,82
416,-0.031,0.008,0.019,24165,4200,84
417,-0.031,0.007,0.019,22290,4400,88
418,-0.031,0.006,0.019,5670,4500,90
419,-0.031,0.005,0.019,8280,4600,92
420,-0.031,0.004,0.019,6225,5000,100
421,-0.031,0.003,0.019,19575,5100,102
422,-0.031,0.002,0.019,15675,5150,103
423,-0.031,0.01,0.018,33480,4100,82
424,-0.031,0.009,0.018,36990,4100,82
425,-0.031,0.008,0.018,24165,4200,84
426,-0.031,0.007,0.018,22290,4400,88
427,-0.031,0.006,0.018,5670,4500,90
428,-0.031,0.005,0.018,8280,4600,92
429,-0.031,0.004,0.018,6225,5000,100
430,-0.031,0.003,0.018,19575,5100,102
431,-0.031,0.002,0.018,15675,5150,103
432,-0.031,0.01,0.017,33480,4100,82
433,-0.031,0.009,0.017,36990,4100,82
434,-0.031,0.008,0.017,24165,4200,84
435,-0.031,0.007,0.017,22290,4400,88
436,-0.031,0.006,0.017,5670,4500,90
437,-0.031,0.005,0.017,8280,4600,92
438,-0.031,0.004,0.017,6225,5000,100
439,-0.031,0.003,0.017,19575,5100,102
440,-0.031,0.002,0.017,15675,5150,103
441,-0.031,0.01,0.016,38595,4100,82
442,-0.031,0.009,0.016,42105,4100,82
443,-0.031,0.008,0.016,29280,4200,84
444,-0.031,0.007,0.016,27405,4400,88
445,-0.031,0.006,0.016,10785,4500,90
446,-0.031,0.005,0.016,13395,4600,92
447,-0.031,0.004,0.016,11340,5000,100
448,-0.031,0.003,0.016,24690,5100,102
449,-0.031,0.002,0.016,16575,5200,104
450,-0.031,0.01,0.015,38595,4100,82
451,-0.031,0.009,0.015,42105,4100,82
452,-0.031,0.008,0.015,29280,4200,84
453,-0.031,0.007,0.015,27405,4400,88
454,-0.031,0.006,0.015,10785,4500,90
455,-0.031,0.005,0.015,13395,4600,92
456,-0.031,0.004,0.015,11340,5000,100
457,-0.031,0.003,0.015,24690,5100,102
458,-0.031,0.002,0.015,16575,5200,104
459,-0.031,0.01,0.014,47595,4100,82
460,-0.031,0.009,0.014,51105,4100,82
461,-0.031,0.008,0.014,38280,4200,84
462,-0.031,0.007,0.014,36405,4400,88
463,-0.031,0.006,0.014,19785,4500,90
464,-0.031,0.005,0.014,22395,4600,92
465,-0.031,0.004,0.014,20340,5000,100
466,-0.031,0.003,0.014,24690,5100,102
