Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,Daily_Log_Return,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2021-12-14,50,1730.9000244140625,1763.0,1710.3499755859375,1752.1500244140625,1752.1500244140625,4768144,1752.1500244140625,1729.0700073242188,1731.9266764322917,-1.0,1.0,1753.3732745361326,0.0,-200.0,4080.029296875,1369.9951171875,1759.0
2021-12-15,51,1745.0,1747.949951171875,1721.199951171875,1734.199951171875,1734.199951171875,3053149,1734.199951171875,1733.9000122070313,1733.285009765625,1.0,1.0,1743.3892742919923,400.0,200.0,6880.029296875,-2160.009765625,1745.0
2021-12-16,52,1762.6500244140625,1777.5999755859375,1758.0,1771.5999755859375,1771.5999755859375,4481031,1771.5999755859375,1737.8500122070313,1736.0983439127604,1.0,1.0,1725.5289514160156,0.0,200.0,6880.029296875,5319.9951171875,1745.0
2021-12-17,53,1820.0,1842.0,1806.75,1820.8499755859373,1820.8499755859373,18887243,1820.8499755859373,1739.7800048828126,1737.2366739908855,1.0,1.0,1762.7419757080079,-200.0,0.0,21880.029296875,0.0,0.0
2021-12-20,54,1801.699951171875,1829.6500244140625,1787.300048828125,1798.9000244140625,1798.9000244140625,5773891,1798.9000244140625,1742.1150024414062,1739.693339029948,1.0,-1.0,1811.7457257080075,-0.0,0.0,21880.029296875,0.0,0.0
2021-12-21,55,1801.0,1838.0,1801.0,1811.5999755859373,1811.5999755859373,5353584,1811.5999755859373,1750.6449951171876,1743.638338216146,1.0,1.0,1789.9055242919922,200.0,200.0,21880.029296875,2119.995117187442,1801.0
2021-12-22,56,1825.0,1829.1500244140625,1812.3499755859373,1824.699951171875,1824.699951171875,4156428,1824.699951171875,1761.0049926757813,1746.6450073242188,1.0,1.0,1802.5419757080076,0.0,200.0,21880.029296875,4739.990234375,1801.0
2021-12-23,57,1831.25,1861.5999755859373,1827.0,1857.5999755859373,1857.5999755859373,4112933,1857.5999755859373,1770.9999877929688,1749.1150065104166,1.0,1.0,1815.5764514160155,0.0,200.0,21880.029296875,11319.995117187442,1801.0
2021-12-24,58,1872.949951171875,1875.75,1854.0,1863.5,1863.5,3780347,1863.5,1778.1349853515626,1751.8550048828124,1.0,1.0,1848.3119757080076,0.0,200.0,21880.029296875,12500.0,1801.0
2021-12-27,59,1860.0,1874.5,1845.050048828125,1866.1500244140625,1866.1500244140625,2647733,1866.1500244140625,1787.5499877929688,1755.7700032552084,1.0,1.0,1854.1825,-200.0,0.0,33680.029296875,0.0,0.0
2021-12-28,60,1880.699951171875,1895.9000244140625,1878.4000244140625,1888.0,1888.0,3340933,1888.0,1797.9749877929687,1760.110001627604,1.0,1.0,1856.819274291992,200.0,200.0,33680.029296875,1460.009765625,1880.699951171875
2021-12-29,61,1883.5,1893.800048828125,1876.4000244140625,1885.550048828125,1885.550048828125,3236635,1885.550048828125,1810.1249877929688,1762.9750040690103,1.0,1.0,1878.56,-200.0,0.0,34240.0390625,0.0,0.0
2021-12-30,62,1884.5,1909.800048828125,1874.3499755859373,1892.8499755859373,1892.8499755859373,4584738,1892.8499755859373,1823.7099853515624,1766.336669921875,1.0,1.0,1876.1222985839843,200.0,200.0,34240.0390625,1669.9951171874418,1884.5
2021-12-31,63,1890.0,1898.3499755859373,1871.6500244140625,1887.75,1887.75,4619420,1887.75,1838.8449951171874,1769.4450032552083,1.0,1.0,1883.3857257080076,-200.0,0.0,35340.0390625,0.0,0.0
