,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
56,MSFT,Microsoft Corporation,2008-04-24T00:00:00.000Z,TNS,0.44,0.47,6.74,EDT,0,EQUITY,2008-04-24
55,MSFT,Microsoft Corporation,2008-07-17T00:00:00.000Z,TNS,0.47,0.46,-2.13,EDT,0,EQUITY,2008-07-17
54,MSFT,Microsoft Corporation,2008-10-23T00:00:00.000Z,TNS,0.47,0.48,1.84,EDT,0,EQUITY,2008-10-23
53,MSFT,Microsoft Corporation,2009-01-22T00:00:00.000Z,TNS,0.49,0.47,-4.84,EDT,0,EQUITY,2009-01-22
52,MSFT,Microsoft Corporation,2009-04-23T00:00:00.000Z,TNS,0.39,0.39,0.26,EDT,0,EQUITY,2009-04-23
51,MSFT,Microsoft Corporation,2009-07-23T00:00:00.000Z,TNS,0.36,0.36,0.22,EDT,0,EQUITY,2009-07-23
50,MSFT,Microsoft Corporation,2009-10-23T00:00:00.000Z,TNS,0.32,0.4,25.76,EDT,0,EQUITY,2009-10-23
49,MSFT,Microsoft Corporation,2010-01-28T00:00:00.000Z,TNS,0.59,0.74,24.79,EDT,0,EQUITY,2010-01-28
48,MSFT,Microsoft Corporation,2010-04-22T00:00:00.000Z,TNS,0.42,0.45,6.95,EDT,0,EQUITY,2010-04-22
47,MSFT,Microsoft Corporation,2010-07-22T00:00:00.000Z,TNS,0.46,0.51,9.82,EDT,0,EQUITY,2010-07-22
46,MSFT,Microsoft Corporation,2010-10-28T00:00:00.000Z,TNS,0.55,0.62,12.98,EDT,0,EQUITY,2010-10-28
45,MSFT,Microsoft Corporation,2011-01-27T00:00:00.000Z,TNS,0.68,0.77,12.57,EDT,0,EQUITY,2011-01-27
44,MSFT,Microsoft Corporation,2011-04-28T00:00:00.000Z,TNS,0.56,0.61,9.74,EDT,0,EQUITY,2011-04-28
43,MSFT,Microsoft Corporation,2011-07-21T00:00:00.000Z,TNS,0.58,0.69,19.88,EDT,0,EQUITY,2011-07-21
42,MSFT,Microsoft Corporation,2011-10-20T00:00:00.000Z,TNS,0.68,0.68,0.38,EDT,0,EQUITY,2011-10-20
41,MSFT,Microsoft Corporation,2012-01-19T00:00:00.000Z,TNS,0.76,0.78,2.93,EDT,0,EQUITY,2012-01-19
40,MSFT,Microsoft Corporation,2012-04-19T00:00:00.000Z,TNS,0.57,0.6,4.38,EDT,0,EQUITY,2012-04-19
39,MSFT,Microsoft Corporation,2012-07-19T00:00:00.000Z,TNS,0.62,0.67,8.48,EDT,0,EQUITY,2012-07-19
38,MSFT,Microsoft Corporation,2012-10-18T00:00:00.000Z,TNS,0.56,0.53,-5.47,EDT,0,EQUITY,2012-10-18
37,MSFT,Microsoft Corporation,2013-01-24T00:00:00.000Z,TNS,0.75,0.76,1.93,EDT,0,EQUITY,2013-01-24
36,MSFT,Microsoft Corporation,2013-04-18T00:00:00.000Z,TNS,0.68,0.72,5.97,EDT,0,EQUITY,2013-04-18
35,MSFT,Microsoft Corporation,2013-07-18T00:00:00.000Z,TNS,0.75,0.66,-11.96,EDT,0,EQUITY,2013-07-18
34,MSFT,Microsoft Corporation,2013-10-24T00:00:00.000Z,TNS,0.54,0.62,15.1,EDT,0,EQUITY,2013-10-24
33,MSFT,Microsoft Corporation,2014-01-23T00:00:00.000Z,TNS,0.68,0.78,14.83,EDT,0,EQUITY,2014-01-23
32,MSFT,Microsoft Corporation,2014-04-24T00:00:00.000Z,TNS,0.63,0.68,8.02,EDT,0,EQUITY,2014-04-24
31,MSFT,Microsoft Corporation,2014-07-22T00:00:00.000Z,TNS,0.6,0.55,-8.65,EDT,0,EQUITY,2014-07-22
30,MSFT,Microsoft Corporation,2014-10-23T00:00:00.000Z,TNS,0.49,0.54,11.11,EDT,0,EQUITY,2014-10-23
29,MSFT,Microsoft Corporation,2015-01-26T00:00:00.000Z,TNS,0.71,0.71,-0.42,EDT,0,EQUITY,2015-01-26
28,MSFT,Microsoft Corporation,2015-04-23T00:00:00.000Z,TNS,0.51,0.61,20.55,EDT,0,EQUITY,2015-04-23
27,MSFT,Microsoft Corporation,2015-07-21T00:00:00.000Z,TNS,0.56,0.6,6.57,EDT,0,EQUITY,2015-07-21
26,MSFT,Microsoft Corporation,2015-10-22T00:00:00.000Z,TNS,0.59,0.67,14.33,EDT,0,EQUITY,2015-10-22
25,MSFT,Microsoft Corporation,2016-01-28T00:00:00.000Z,TNS,0.71,0.78,9.4,EDT,0,EQUITY,2016-01-28
24,MSFT,Microsoft Corporation,2016-04-21T00:00:00.000Z,TNS,0.64,0.62,-2.67,EDT,0,EQUITY,2016-04-21
23,MSFT,Microsoft Corporation,2016-07-19T00:00:00.000Z,TNS,0.58,0.69,18.76,EDT,0,EQUITY,2016-07-19
22,MSFT,Microsoft Corporation,2016-10-20T00:00:00.000Z,TNS,0.68,0.76,11.27,EDT,0,EQUITY,2016-10-20
21,MSFT,Microsoft Corporation,2017-01-26T00:00:00.000Z,TNS,0.79,0.83,4.93,EDT,0,EQUITY,2017-01-26
