,date,account_value
193,2020-10-06,123351.71594166715
194,2020-10-07,125403.53477544713
195,2020-10-08,125816.09460151676
196,2020-10-09,128928.75387241995
197,2020-10-12,131687.75736872997
198,2020-10-13,132493.88318561795
199,2020-10-14,131299.41675291557
200,2020-10-15,130684.19214566555
201,2020-10-16,130682.01135144557
202,2020-10-19,127427.04876774357
203,2020-10-20,127641.19486845405
204,2020-10-21,127716.61368705085
205,2020-10-22,127770.04827605086
206,2020-10-23,128560.96816080085
207,2020-10-26,124909.08958529246
208,2020-10-27,126455.53152675246
209,2020-10-28,120169.67900052817
210,2020-10-29,121256.34045638266
211,2020-10-30,119914.02324322687
212,2020-11-02,119831.17471362685
213,2020-11-03,121830.05311972687
214,2020-11-04,127683.64025068808
215,2020-11-05,131046.23331400807
216,2020-11-06,131263.07863739788
217,2020-11-09,128126.11095004645
218,2020-11-10,124037.87870944396
219,2020-11-11,127286.63684077497
220,2020-11-12,126722.94372177497
221,2020-11-13,127330.43729039496
222,2020-11-16,127660.63017605497
223,2020-11-17,126013.99310189555
224,2020-11-18,124614.44605453555
225,2020-11-19,125381.73871041558
226,2020-11-20,124227.32247683097
227,2020-11-23,124057.01714446457
228,2020-11-24,125935.48074345358
229,2020-11-25,125923.70061617496
230,2020-11-27,126723.75463247497
231,2020-11-30,126135.40595513498
232,2020-12-01,127363.43507302899
233,2020-12-02,126915.04522386487
234,2020-12-03,126371.33896096528
235,2020-12-04,126418.69476801528
236,2020-12-07,126364.25606548527
237,2020-12-08,127327.38139413529
238,2020-12-09,124842.86526923008
239,2020-12-10,124159.83272174597
240,2020-12-11,125760.40552005818
241,2020-12-14,126314.33056645816
242,2020-12-15,126258.73807224818
243,2020-12-16,129272.20037407818
244,2020-12-17,129318.93754507818
245,2020-12-18,128833.0640006722
246,2020-12-21,131184.95690911857
247,2020-12-22,131823.94775326859
248,2020-12-23,130084.08744622889
249,2020-12-24,130907.61908496889
250,2020-12-28,132183.56736355467
251,2020-12-29,131746.30046229128
252,2020-12-30,130280.97182773829
