,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
82,ICICIBANK,01/12/2021,30/12/2021,PE,700,15.6,15.75,10.3,11.45,11.6,11.45,2341,22940.03,407.9,2204125,16500,727.7,729.45
83,ICICIBANK,01/12/2021,30/12/2021,PE,710,18.45,19.4,13.1,14.55,14.65,14.55,1450,14478.24,322.61,456500,27500,727.7,729.45
84,ICICIBANK,01/12/2021,30/12/2021,PE,720,22.65,23.85,16.5,18.3,18.55,18.3,1686,17145.94,454.54,1043625,30250,727.7,729.45
85,ICICIBANK,01/12/2021,30/12/2021,PE,730,27.65,28.9,20.65,22.9,23.1,22.9,1545,16009.74,501.8,1032625,78375,727.7,729.45
86,ICICIBANK,01/12/2021,30/12/2021,PE,740,32.2,34,25.6,28,28.5,28,251,2652.65,98.73,676500,15125,727.7,729.45
87,ICICIBANK,01/12/2021,30/12/2021,PE,750,37,41.7,31.25,33.75,35.2,33.75,257,2773.17,122.86,2006125,-26125,727.7,729.45
88,ICICIBANK,01/12/2021,30/12/2021,PE,760,47.55,47.75,37.9,40.45,40.75,40.45,76,837.6,43.4,741125,11000,727.7,729.45
89,ICICIBANK,01/12/2021,30/12/2021,PE,770,54.65,55.65,47.5,48.2,48.9,48.2,24,270.89,16.79,698500,-2750,727.7,729.45
90,ICICIBANK,01/12/2021,30/12/2021,PE,780,62.25,64.5,54.8,54.95,55.05,54.95,19,218.94,15.17,397375,-15125,727.7,729.45
91,ICICIBANK,01/12/2021,30/12/2021,PE,790,71.3,71.3,61.7,61.7,61.7,74.65,3,35.38,2.79,63250,-1375,727.7,729.45
92,ICICIBANK,01/12/2021,30/12/2021,PE,800,78,81,71.1,74.3,75.5,74.3,19,228.47,19.47,533500,9625,727.7,729.45
93,ICICIBANK,01/12/2021,30/12/2021,PE,810,0,0,0,87.55,87.55,90.35,0,0,0,12375,0,727.7,729.45
94,ICICIBANK,01/12/2021,30/12/2021,PE,820,0,0,0,100.7,100.7,98.65,0,0,0,67375,0,727.7,729.45
95,ICICIBANK,01/12/2021,30/12/2021,PE,830,0,0,0,75,75,107.15,0,0,0,4125,0,727.7,729.45
96,ICICIBANK,01/12/2021,30/12/2021,PE,840,0,0,0,91,91,115.9,0,0,0,37125,0,727.7,729.45
97,ICICIBANK,01/12/2021,30/12/2021,PE,850,0,0,0,129.1,129.1,124.8,0,0,0,15125,0,727.7,729.45
98,ICICIBANK,01/12/2021,30/12/2021,PE,860,0,0,0,112,112,133.9,0,0,0,2750,0,727.7,729.45
