Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,
1/11/21,30/12/21,850,101.8,104,102.9,851.6630976,PE,1.38,
1/11/21,30/12/21,855,104.8,106.1,105.45,851.6630976,PE,1.38,
1/11/21,30/12/21,860,107.2,110.1,108.65,851.6630976,PE,1.38,
1/11/21,30/12/21,865,110.5,112.2,111.35,851.6630976,PE,1.38,
1/11/21,30/12/21,870,112.8,114.4,113.6,851.6630976,PE,1.38,
1/11/21,30/12/21,875,116.1,117.3,116.7,851.6630976,PE,1.38,
1/11/21,30/12/21,880,119,120.1,119.55,851.6630976,PE,1.38,
1/11/21,30/12/21,885,121.7,123.7,122.7,851.6630976,PE,1.38,
1/11/21,30/12/21,890,124.5,126.7,125.6,851.6630976,PE,1.38,
1/11/21,30/12/21,895,127.7,128.9,128.3,851.6630976,PE,1.38,
1/11/21,30/12/21,900,130.7,132.1,131.4,851.6630976,PE,1.38,
1/11/21,30/12/21,910,136.6,139,137.8,851.6630976,PE,1.38,
1/11/21,30/12/21,920,143,144.7,143.85,851.6630976,PE,1.38,
1/11/21,30/12/21,930,149.4,150.7,150.05,851.6630976,PE,1.38,
1/11/21,30/12/21,940,155.5,157.4,156.45,851.6630976,PE,1.38,
1/11/21,30/12/21,950,162.7,164.1,163.4,851.6630976,PE,1.38,
1/11/21,30/12/21,960,169.2,172.1,170.65,851.6630976,PE,1.38,
1/11/21,30/12/21,970,175.6,178.1,176.85,851.6630976,PE,1.38,
1/11/21,30/12/21,980,182.7,185.2,183.95,851.6630976,PE,1.38,
1/11/21,30/12/21,990,189.9,192.5,191.2,851.6630976,PE,1.38,
1/11/21,30/12/21,1000,197.3,200,198.65,851.6630976,PE,1.38,
1/11/21,30/12/21,1010,204.7,207.3,206,851.6630976,PE,1.38,
1/11/21,30/12/21,1020,212.3,215.1,213.7,851.6630976,PE,1.38,
1/11/21,30/12/21,1030,220,223.2,221.6,851.6630976,PE,1.38,
1/11/21,30/12/21,1040,227.8,230.7,229.25,851.6630976,PE,1.38,
1/11/21,30/12/21,1050,235.7,239.1,237.4,851.6630976,PE,1.38,
1/11/21,30/12/21,1060,243.8,247.2,245.5,851.6630976,PE,1.38,
1/11/21,30/12/21,1070,251.9,255.1,253.5,851.6630976,PE,1.38,
1/11/21,30/12/21,1080,260.1,263.8,261.95,851.6630976,PE,1.38,
1/11/21,30/12/21,1090,268.3,271.8,270.05,851.6630976,PE,1.38,
1/11/21,30/12/21,1100,276.7,280.1,278.4,851.6630976,PE,1.38,
1/11/21,30/12/21,1110,285.2,288.4,286.8,851.6630976,PE,1.38,
1/11/21,30/12/21,1120,293.7,297,295.35,851.6630976,PE,1.38,
1/11/21,30/12/21,1130,302.3,305.4,303.85,851.6630976,PE,1.38,
1/11/21,30/12/21,1140,311,314,312.5,851.6630976,PE,1.38,
1/11/21,30/12/21,1150,319.8,322.9,321.35,851.6630976,PE,1.38,
1/11/21,30/12/21,1160,328.6,331.7,330.15,851.6630976,PE,1.38,
1/11/21,30/12/21,1170,337.5,341,339.25,851.6630976,PE,1.38,
1/11/21,30/12/21,1180,346.5,350,348.25,851.6630976,PE,1.38,
1/11/21,30/12/21,1190,355.5,359.2,357.35,851.6630976,PE,1.38,
1/11/21,30/12/21,1200,364.7,367.4,366.05,851.6630976,PE,1.38,
1/11/21,30/12/21,1210,373.8,377,375.4,851.6630976,PE,1.38,
1/11/21,30/12/21,1220,383,386.4,384.7,851.6630976,PE,1.38,
1/11/21,30/12/21,1230,392.2,395,393.6,851.6630976,PE,1.38,
1/11/21,30/12/21,1240,401.6,404.9,403.25,851.6630976,PE,1.38,
1/11/21,30/12/21,1250,410.9,414,412.45,851.6630976,PE,1.38,
1/11/21,30/12/21,1260,420.2,423.7,421.95,851.6630976,PE,1.38,
1/11/21,30/12/21,1270,429.6,432.4,431,851.6630976,PE,1.38,
1/11/21,30/12/21,1280,439.1,442.4,440.75,851.6630976,PE,1.38,
1/11/21,30/12/21,1290,448.4,451.4,449.9,851.6630976,PE,1.38,
1/11/21,30/12/21,1300,458,460.9,459.45,851.6630976,PE,1.38,
1/11/21,30/12/21,1310,467.4,470.3,468.85,851.6630976,PE,1.38,
1/11/21,30/12/21,1320,476.8,479.9,478.35,851.6630976,PE,1.38,
1/11/21,30/12/21,1330,486.5,489.6,488.05,851.6630976,PE,1.38,
1/11/21,30/12/21,1340,496.1,499.3,497.7,851.6630976,PE,1.38,
1/11/21,30/12/21,1350,505.8,508.7,507.25,851.6630976,PE,1.38,
1/11/21,30/12/21,1360,515,518.9,516.95,851.6630976,PE,1.38,
