Date,lambda,a_lst,b_lst,c_lst,rsquared_lst,rmse
2020-02-25,0.45,0.011874263561116098,-0.0003091211267214779,3.7481914186745966e-05,0.9863054388501338,6.552727029256302e-08
2020-02-26,0.4,0.011166283061732375,-0.0005441185908464541,7.267522622524538e-05,0.9890742382659451,5.80677380579143e-08
2020-02-27,0.4,0.010356910287604078,-0.0005732714414764654,7.671245972005646e-05,0.9890482069378403,6.209514401256343e-08
2020-02-28,0.3,0.007750857460006116,-0.0016842300225395213,0.0002783278334386557,0.9930590101620174,4.6438036189345216e-08
2020-03-02,0.3,0.0074446591541642735,-0.0017532243399971238,0.00028929411228974586,0.993489893102923,4.821486069631591e-08
2020-03-03,0.3,0.00540418514362826,-0.0019480142607951967,0.00032117081199298,0.9964827385216487,3.243149847572198e-08
2020-03-04,0.2,0.00170342753433663,-0.0062510426410023155,0.0013105359248699584,0.9993049348642348,7.727143832497436e-09
2020-03-05,0.25,0.0035606788564911535,-0.0031734580423397325,0.0005848184863367164,0.9993354491276527,6.029186894945521e-09
2020-03-06,0.05,-0.030637709385178125,-0.05323051249373151,0.017612387313772737,0.9989103669360366,6.578746865045192e-09
2020-03-09,0.05,-0.02321810284165826,-0.0422005241491038,0.014560461457803153,0.9921580607918646,2.1710755610453184e-08
2020-03-10,0.05,-0.033232403557110574,-0.060225668580152075,0.02128792514052151,0.9963911482110529,1.6278684287991326e-08
2020-03-11,0.05,-0.06952666544678848,-0.12269869480241685,0.04798706855385147,0.9877827882445702,5.6820540273614606e-08
2020-03-12,0.05,-0.06050500081121207,-0.10491938109389631,0.03987244600954658,0.9981119207246966,1.060161823451384e-08
2020-03-13,0.05,-0.0899968278653008,-0.1549626836843184,0.060194368030560746,0.9970793775532806,2.4549419581864858e-08
2020-03-16,0.1,-0.01740519632502161,-0.03047417721044312,0.00947094445913578,0.9955320289788558,2.9497150751016906e-08
2020-03-17,0.05,-0.0995546678616795,-0.1687141573369788,0.06471008398073842,0.9966227301929483,4.2352200265641555e-08
2020-03-18,0.05,-0.1290346410106806,-0.21893510469713376,0.08565013591078302,0.9939491409449719,8.893055919195758e-08
2020-03-19,0.05,-0.14665102928766413,-0.2467391583768026,0.09696759616793439,0.9955176120803606,7.612579168573246e-08
2020-03-20,0.05,-0.12285786259235881,-0.20426481988353323,0.07966768994321355,0.9948323399573685,7.027272164576213e-08
2020-03-23,0.05,-0.09279647992711908,-0.1532274054266648,0.0585384793601188,0.9961417605676334,4.277619029946987e-08
2020-03-24,0.05,-0.09274179424986809,-0.1551723154284011,0.05959754129627806,0.9977475629517122,2.3405652999917183e-08
2020-03-25,0.05,-0.10816900097271717,-0.17991573193531724,0.06955172456733393,0.995779327894796,5.2722919031100614e-08
2020-03-26,0.05,-0.1068902144489666,-0.17681054505752614,0.06809292948559595,0.9961886345521715,4.9191468061182755e-08
2020-03-27,0.05,-0.08194992945471392,-0.1336893672935775,0.050329842864796956,0.998219695005521,1.8841028445682325e-08
2020-03-30,0.05,-0.09072858791537683,-0.1471398560789939,0.05529759708413888,0.9983641304332008,2.1527406138635913e-08
2020-03-31,0.05,-0.06988992465286614,-0.11212192923405997,0.040778086407815384,0.9995705561223741,4.986448486917905e-09
2020-04-01,0.05,-0.05706398451476247,-0.09170119026256818,0.03289674991446864,0.9989977129639188,9.053608690171513e-09
2020-04-02,0.05,-0.06472671747977393,-0.10416062530666681,0.037964398311768094,0.9984867302194432,1.4817941627960993e-08
2020-04-03,0.05,-0.06177981471418406,-0.09988115408871506,0.03643022735328484,0.9984983769208994,1.3414561790744609e-08
2020-04-06,0.05,-0.07258784120484266,-0.11875188031266001,0.04422006789944653,0.9981823199551378,1.7751588318437623e-08
2020-04-07,0.05,-0.08831120162064121,-0.14477997086233452,0.054761119138101055,0.9968852153971735,3.629529309601226e-08
