Date,Open,High,Low,Close,Adj Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2018-01-31,282.730011,283.299988,280.679993,281.899994,263.944733,108364800,281.9849977,273.9880004666667,1.0,1.0,276.12480980000004,-0.0,-20.0,-2516.1997080000024,-1717.6298539999993,196.0185013
2018-02-01,281.070007,283.059998,280.679993,281.579987,263.645111,90102500,282.4639986,274.5246673333333,1.0,1.0,276.26199412,-0.0,-20.0,-2516.1997080000024,-1711.2297140000005,196.0185013
2018-02-02,280.079987,280.230011,275.410004,275.450012,257.905579,173174800,282.6929995,275.0376668,1.0,1.0,275.94838726,-0.0,-20.0,-2516.1997080000024,-1588.6302140000003,196.0185013
2018-02-05,273.450012,275.850006,263.309998,263.929993,247.119339,294681800,282.9369967,275.4836659666667,1.0,1.0,269.94101176000004,-0.0,-20.0,-2516.1997080000024,-1358.2298340000002,196.0185013
2018-02-06,259.940002,269.700012,258.700012,269.130005,251.988083,355026800,282.44099750000004,275.75966593333334,1.0,1.0,258.65139314000004,-0.0,-20.0,-2516.1997080000024,-1462.2300739999996,196.0185013
2018-02-07,268.5,272.359985,267.579987,267.670013,250.62114,167376100,280.56499660000003,275.6563324,1.0,1.0,263.7474049,-0.0,-20.0,-2516.1997080000024,-1433.0302339999994,196.0185013
2018-02-08,268.01001,268.170013,257.589996,257.630005,241.220581,246449500,279.1489962,275.7079996666667,1.0,1.0,262.31661274,-0.0,-20.0,-2516.1997080000024,-1232.2300739999996,196.0185013
2018-02-09,260.799988,263.609985,252.919998,261.5,244.844116,283565300,277.5979982,275.71333310000006,1.0,1.0,252.47740489999998,-0.0,-20.0,-2516.1997080000024,-1309.629974,196.0185013
2018-02-12,263.829987,267.01001,261.660004,265.339996,248.439514,143736000,275.0309999,275.39466653333335,-1.0,1.0,266.73,-0.0,-20.0,-2516.1997080000024,-1386.4298939999994,196.0185013
2018-02-13,263.970001,266.619995,263.309998,266.0,249.057465,81223600,272.5230012,275.2006663,-1.0,1.0,270.64679592,-0.0,-20.0,-2516.1997080000024,-1399.629974,196.0185013
2018-02-14,264.309998,270.0,264.299988,269.589996,252.418777,120735700,270.5890015,275.116333,-1.0,1.0,271.32,-0.0,-20.0,-2516.1997080000024,-1471.4298939999994,196.0185013
2018-02-15,271.570007,273.040009,268.769989,273.029999,255.639755,111200300,269.0130005,275.08766683333334,-1.0,1.0,274.98179591999997,-0.0,-20.0,-2516.1997080000024,-1540.229953999999,196.0185013
2018-02-16,272.320007,275.320007,272.269989,273.109985,255.714523,160420100,267.7820007,275.1150004,-1.0,1.0,278.49059897999996,-0.0,-20.0,-2516.1997080000024,-1541.829674,196.0185013
2018-02-20,272.029999,273.670013,270.5,271.399994,254.113495,86369700,266.9270019,275.20033366666667,-1.0,1.0,278.5721847,-0.0,-20.0,-2516.1997080000024,-1507.6298539999993,196.0185013
2018-02-21,271.899994,274.720001,269.940002,270.049988,252.849472,98883700,266.69299920000003,275.2503336666667,-1.0,1.0,276.82799388,-0.0,-20.0,-2516.1997080000024,-1480.6297339999996,196.0185013
2018-02-22,271.100006,273.049988,269.640015,270.399994,253.177231,110511300,267.43999929999995,275.18299970000004,-1.0,1.0,275.45098776,-0.0,-20.0,-2516.1997080000024,-1487.6298539999993,196.0185013
2018-02-23,271.790009,274.709991,271.25,274.709991,257.212677,92766400,267.53199759999995,275.0539988666667,-1.0,1.0,275.80799387999997,-0.0,-20.0,-2516.1997080000024,-1573.8297939999998,196.0185013
2018-02-26,275.929993,278.01001,275.26001,277.899994,260.199524,86491400,267.8049957,274.91599836666666,-1.0,1.0,280.20419082,-0.0,-20.0,-2516.1997080000024,-1637.6298539999993,196.0185013
2018-02-27,278.109985,278.920013,274.359985,274.429993,256.95047,99099200,269.5129943,274.9356649,-1.0,1.0,283.45799388,-0.0,-20.0,-2516.1997080000024,-1568.2298340000002,196.0185013
2018-02-28,275.679993,276.190002,271.290009,271.649994,254.347626,121907800,271.15299369999997,274.9949982,-1.0,1.0,279.91859286000005,-0.0,-20.0,-2516.1997080000024,-1512.6298539999993,196.0185013
2018-03-01,271.410004,273.170013,266.0,267.700012,250.64917,176855100,272.0619934,274.87866420000006,-1.0,1.0,277.08299388,-0.0,-20.0,-2516.1997080000024,-1433.6302140000003,196.0185013
2018-03-02,265.799988,269.720001,264.820007,269.079987,251.941284,139083200,272.6269928,274.7013306333334,-1.0,1.0,273.05401224,-0.0,-20.0,-2516.1997080000024,-1461.2297140000005,196.0185013
2018-03-05,267.730011,272.890015,267.609985,272.190002,254.85321,97307400,272.4379944,274.3043315333333,-1.0,1.0,274.46158674000003,-0.0,-20.0,-2516.1997080000024,-1523.430014,196.0185013
2018-03-06,273.299988,273.390015,271.179993,272.880005,255.499283,79213200,272.0429932,273.96899726666663,-1.0,1.0,277.63380204,-0.0,-20.0,-2516.1997080000024,-1537.2300739999996,196.0185013
2018-03-07,270.420013,273.179993,270.200012,272.779999,255.40564,87063500,271.95099489999996,273.6949972,-1.0,1.0,278.33760509999996,-0.0,-20.0,-2516.1997080000024,-1535.229953999999,196.0185013
2018-03-08,273.549988,274.23999,272.420013,274.100006,256.641571,66901200,272.098996,273.36799729999996,-1.0,1.0,278.23559897999996,-0.0,-20.0,-2516.1997080000024,-1561.6300940000006,196.0185013
2018-03-09,275.700012,278.869995,275.339996,278.869995,261.107727,113625300,272.37199710000004,273.0176636333333,-1.0,1.0,279.58200612,-0.0,-20.0,-2516.1997080000024,-1657.0298740000003,196.0185013
2018-03-12,279.200012,279.910004,278.079987,278.519989,260.779938,71924800,272.74199830000003,272.7149974,1.0,1.0,273.2925951,-0.0,-20.0,-2516.1997080000024,-1650.0297539999997,196.0185013
2018-03-13,279.839996,280.410004,276.029999,276.720001,259.094727,91968900,273.1579987,272.56733096666665,1.0,1.0,272.94958922,-0.0,-20.0,-2516.1997080000024,-1614.029994000001,196.0185013
2018-03-14,277.809998,278.019989,274.670013,275.299988,257.765076,105895100,273.2199982,272.2986643666667,1.0,1.0,271.18560098,-0.0,-20.0,-2516.1997080000024,-1585.6297339999996,196.0185013
2018-03-15,275.880005,276.609985,274.429993,275.0,257.484253,83433000,273.448999,272.0333313,1.0,1.0,269.79398824,-0.0,-20.0,-2516.1997080000024,-1579.629974,196.0185013
2018-03-16,274.5,275.390015,274.140015,274.200012,257.763397,100343700,273.81399840000006,271.81799723333336,1.0,1.0,269.5,-0.0,-20.0,-2516.1997080000024,-1563.6302140000003,196.0185013
2018-03-19,273.350006,274.399994,268.619995,270.48999,254.275818,109208400,274.54399720000004,271.5879974333333,1.0,1.0,268.71601176,-0.0,-20.0,-2516.1997080000024,-1489.4297739999997,196.0185013
2018-03-20,270.940002,271.670013,270.179993,270.950012,254.708267,59757300,275.0559997,271.3419982666667,1.0,1.0,265.08019019999995,-0.0,-20.0,-2516.1997080000024,-1498.6302140000003,196.0185013
2018-03-21,270.899994,273.269989,270.190002,270.429993,254.219391,78709600,274.8859985,271.1766642,1.0,1.0,265.53101176,-0.0,-20.0,-2516.1997080000024,-1488.2298340000002,196.0185013
2018-03-22,267.910004,268.869995,263.359985,263.670013,247.864655,148785900,274.6929992,271.4106648333333,1.0,1.0,265.02139314000004,-0.0,-20.0,-2516.1997080000024,-1353.0302339999994,196.0185013
2018-03-23,264.170013,264.540009,257.829987,258.049988,242.581482,183534800,274.4579986,271.45399776666665,1.0,1.0,258.39661273999997,-0.0,-20.0,-2516.1997080000024,-1240.6297339999996,196.0185013
2018-03-26,262.130005,265.429993,259.410004,265.109985,249.218292,141956100,273.4149993,271.3206644333333,1.0,1.0,252.88898823999997,-0.0,-20.0,-2516.1997080000024,-1381.829674,196.0185013
2018-03-27,266.170013,266.769989,258.839996,260.600006,244.978638,129941400,271.3329986,271.33466386666663,-1.0,1.0,270.4121847,-0.0,-20.0,-2516.1997080000024,-1291.6300940000006,196.0185013
2018-03-28,260.75,262.640015,258.579987,259.829987,244.254791,146452300,269.9919982,271.4549967,-1.0,1.0,265.81200612000004,-0.0,-20.0,-2516.1997080000024,-1276.2297140000005,196.0185013
2018-03-29,261.119995,265.26001,259.839996,263.149994,247.375763,111601600,268.3799987,271.29699703333335,-1.0,1.0,265.02658674,-0.0,-20.0,-2516.1997080000024,-1342.6298539999993,196.0185013
2018-04-02,262.549988,263.130005,254.669998,257.470001,242.036285,186286300,266.8329986,271.0913299333333,-1.0,1.0,268.41299388,-0.0,-20.0,-2516.1997080000024,-1229.029994000001,196.0185013
2018-04-03,258.869995,261.309998,256.839996,260.769989,245.138458,119956900,265.64799800000003,270.8766632,-1.0,1.0,262.61940102000005,-0.0,-20.0,-2516.1997080000024,-1295.0297539999997,196.0185013
2018-04-04,256.75,264.359985,256.600006,263.559998,247.7612,123715300,263.9749969,270.3579966,-1.0,1.0,265.98538878,-0.0,-20.0,-2516.1997080000024,-1350.8299339999999,196.0185013
2018-04-05,265.549988,266.640015,264.320007,265.640015,249.716537,82652600,263.0029968,269.9466634,-1.0,1.0,268.83119796,-0.0,-20.0,-2516.1997080000024,-1392.4302739999998,196.0185013
2018-04-06,263.420013,265.109985,258.0,259.720001,244.151367,179521200,262.2639954,269.6853302,-1.0,1.0,270.9528153,-0.0,-20.0,-2516.1997080000024,-1274.029994000001,196.0185013
2018-04-09,261.369995,264.839996,259.940002,261.0,245.354675,105442900,261.7849976,269.5383311,-1.0,1.0,264.91440102,-0.0,-20.0,-2516.1997080000024,-1299.629974,196.0185013
2018-04-10,264.269989,266.040009,262.980011,265.149994,249.255905,103529000,261.38999640000003,269.1823313333333,-1.0,1.0,266.22,-0.0,-20.0,-2516.1997080000024,-1382.6298539999993,196.0185013
2018-04-11,263.470001,265.640015,263.390015,263.76001,247.949265,91140200,261.68499760000003,268.7253316333333,-1.0,1.0,270.45299388,-0.0,-20.0,-2516.1997080000024,-1354.8301740000002,196.0185013
2018-04-12,265.26001,267.0,265.059998,265.929993,249.989166,68890500,261.68899849999997,268.3003316333333,-1.0,1.0,269.03521020000005,-0.0,-20.0,-2516.1997080000024,-1398.2298340000002,196.0185013
2018-04-13,267.410004,267.540009,264.01001,265.149994,249.255905,85079200,262.00499890000003,267.94466553333336,-1.0,1.0,271.24859286000003,-0.0,-20.0,-2516.1997080000024,-1382.6298539999993,196.0185013
2018-04-16,267.0,268.200012,266.070007,267.329987,251.305237,63405300,262.6149995,267.75399883333336,-1.0,1.0,270.45299388,-0.0,-20.0,-2516.1997080000024,-1426.2297140000005,196.0185013
2018-04-17,269.329987,270.869995,268.75,270.190002,253.99379,64682000,262.8149995,267.66899823333335,-1.0,1.0,272.67658674,-0.0,-20.0,-2516.1997080000024,-1483.430014,196.0185013
2018-04-18,270.690002,271.299988,269.869995,270.390015,254.181808,57303900,263.8009981,267.6106649,-1.0,1.0,275.59380204,-0.0,-20.0,-2516.1997080000024,-1487.4302739999998,196.0185013
2018-04-19,269.649994,269.880005,267.720001,268.890015,252.771667,77655900,264.74299940000003,267.54399823333335,-1.0,1.0,275.7978153,-0.0,-20.0,-2516.1997080000024,-1457.4302739999998,196.0185013
2018-04-20,268.809998,269.059998,265.609985,266.609985,250.628372,99953100,265.4260011,267.46099856666666,-1.0,1.0,274.2678153,-0.0,-20.0,-2516.1997080000024,-1411.829674,196.0185013
2018-04-23,267.26001,267.890015,265.350006,266.570007,250.590836,65558000,265.75100110000005,267.33133243333333,-1.0,1.0,271.9421847,-0.0,-20.0,-2516.1997080000024,-1411.0301139999997,196.0185013
2018-04-24,267.730011,267.980011,261.279999,262.980011,247.215988,112885500,266.4399995,267.0816650666667,-1.0,1.0,271.90140714,-0.0,-20.0,-2516.1997080000024,-1339.2301940000002,196.0185013
