,date,Open,High,Low,Close
407,2023-08-30,1427.0,1436.65,1424.0,1435.15
408,2023-08-31,1435.15,1444.9,1428.65,1435.45
409,2023-09-01,1430.95,1446.0,1428.2,1443.85
410,2023-09-04,1443.0,1470.0,1434.7,1465.1
411,2023-09-05,1465.0,1480.05,1456.5,1478.9
412,2023-09-06,1481.9,1482.9,1463.3,1477.45
413,2023-09-07,1470.6,1473.4,1462.05,1466.2
414,2023-09-08,1463.5,1474.75,1460.2,1469.6
415,2023-09-11,1469.6,1478.05,1464.5,1476.45
416,2023-09-12,1482.5,1504.0,1477.1,1501.1
417,2023-09-13,1505.0,1505.0,1488.65,1498.35
418,2023-09-14,1505.0,1512.55,1499.15,1506.95
419,2023-09-15,1518.0,1518.4,1509.0,1511.6
420,2023-09-18,1504.9,1504.9,1488.0,1491.8
421,2023-09-20,1476.2,1495.1,1476.2,1490.25
422,2023-09-21,1486.55,1504.55,1476.0,1501.75
423,2023-09-22,1491.9,1506.95,1485.2,1496.15
424,2023-09-25,1489.85,1489.85,1471.55,1474.15
425,2023-09-26,1479.15,1479.9,1459.0,1460.65
426,2023-09-27,1456.0,1469.6,1450.05,1467.0
427,2023-09-28,1467.9,1472.6,1435.0,1439.45
428,2023-09-29,1432.1,1446.8,1416.0,1435.45
429,2023-10-03,1436.05,1437.0,1420.3,1434.0
430,2023-10-04,1425.0,1449.95,1418.2,1444.35
431,2023-10-05,1452.0,1475.65,1450.2,1463.45
432,2023-10-06,1469.5,1484.5,1463.3,1478.7
433,2023-10-09,1464.9,1491.0,1462.2,1475.45
434,2023-10-10,1483.9,1497.0,1469.1,1495.15
435,2023-10-11,1497.0,1518.25,1481.45,1494.4
436,2023-10-12,1491.9,1504.4,1452.0,1465.5
437,2023-10-13,1405.0,1438.0,1400.0,1431.15
438,2023-10-16,1432.1,1443.6,1430.0,1434.15
439,2023-10-17,1440.25,1453.35,1438.05,1442.45
440,2023-10-18,1442.0,1454.0,1438.35,1440.55
441,2023-10-19,1426.1,1439.65,1426.1,1433.65
442,2023-10-20,1430.0,1438.5,1425.25,1427.25
443,2023-10-23,1425.6,1432.35,1405.25,1408.65
444,2023-10-25,1399.0,1402.55,1361.3,1370.05
445,2023-10-26,1355.05,1374.0,1353.1,1359.45
446,2023-10-27,1363.65,1385.0,1363.65,1380.35
447,2023-10-30,1380.35,1380.35,1363.1,1377.05
448,2023-10-31,1379.95,1381.15,1363.0,1368.4
449,2023-11-01,1373.05,1377.45,1351.65,1354.15
450,2023-11-02,1370.0,1376.3,1361.65,1370.15
451,2023-11-03,1380.05,1392.0,1377.75,1389.05
452,2023-11-06,1393.9,1407.25,1390.8,1403.3
453,2023-11-07,1400.0,1405.9,1394.85,1404.3
454,2023-11-08,1405.0,1405.0,1386.45,1391.0
455,2023-11-09,1395.9,1397.5,1370.05,1374.8
456,2023-11-10,1369.95,1373.15,1361.0,1368.85
457,2023-11-12,1380.05,1389.1,1380.05,1388.2
458,2023-11-13,1379.85,1382.45,1370.85,1373.55
459,2023-11-15,1399.0,1414.0,1393.0,1410.5
460,2023-11-16,1416.1,1453.4,1410.6,1444.9
461,2023-11-17,1441.05,1451.0,1435.05,1437.55
462,2023-11-20,1442.0,1452.0,1433.65,1436.6
463,2023-11-21,1442.0,1450.0,1436.75,1439.0
464,2023-11-22,1436.2,1458.95,1436.2,1457.8
465,2023-11-23,1467.9,1467.9,1447.7,1449.25
466,2023-11-24,1445.55,1452.65,1433.85,1437.4
467,2023-11-28,1444.0,1445.0,1427.05,1442.7
468,2023-11-29,1451.1,1460.7,1449.8,1459.6
469,2023-11-30,1453.25,1460.65,1449.55,1455.15
470,2023-12-01,1459.9,1459.9,1446.15,1452.3
471,2023-12-04,1460.45,1471.9,1449.3,1464.35
472,2023-12-05,1465.8,1466.9,1442.0,1453.95
473,2023-12-06,1456.75,1477.0,1451.05,1474.3
474,2023-12-07,1472.85,1472.85,1461.8,1465.9
475,2023-12-08,1470.4,1494.7,1466.25,1491.15
476,2023-12-11,1490.0,1498.0,1482.0,1488.5
477,2023-12-12,1477.5,1490.0,1467.65,1476.05
478,2023-12-13,1476.0,1476.05,1433.15,1449.0
479,2023-12-14,1463.4,1511.0,1461.35,1501.45
480,2023-12-15,1523.05,1588.55,1521.0,1578.4
481,2023-12-18,1567.95,1593.0,1560.3,1564.35
482,2023-12-19,1570.1,1573.95,1543.25,1558.3
483,2023-12-20,1565.05,1583.5,1530.0,1536.4
484,2023-12-21,1521.25,1546.65,1521.25,1536.0
485,2023-12-22,1534.95,1566.0,1523.0,1562.9
486,2023-12-26,1535.0,1548.0,1523.0,1543.95
487,2023-12-27,1544.0,1570.0,1544.0,1567.1
488,2023-12-28,1568.95,1568.95,1555.0,1562.65
489,2023-12-29,1541.05,1559.45,1540.0,1542.9
490,2024-01-01,1539.0,1557.0,1535.25,1551.35
491,2024-01-02,1546.0,1549.15,1523.0,1534.4
492,2024-01-03,1519.95,1519.95,1488.0,1490.0
493,2024-01-04,1504.95,1519.75,1492.9,1512.7
494,2024-01-05,1506.75,1539.7,1506.25,1532.55
495,2024-01-08,1528.95,1536.0,1513.25,1522.8
496,2024-01-09,1541.9,1553.0,1525.85,1529.3
497,2024-01-10,1524.95,1535.45,1505.0,1519.9
498,2024-01-11,1524.9,1525.0,1486.6,1494.2
499,2024-01-12,1562.0,1618.0,1555.4,1612.75
500,2024-01-15,1644.95,1664.95,1636.0,1652.1
501,2024-01-16,1644.8,1648.5,1625.0,1631.55
502,2024-01-17,1620.25,1647.5,1620.25,1640.2
503,2024-01-18,1642.65,1649.0,1628.25,1642.6
504,2024-01-19,1651.6,1665.5,1644.15,1659.2
505,2024-01-20,1665.55,1669.25,1645.0,1648.85
506,2024-01-23,1650.1,1674.7,1637.7,1642.15
507,2024-01-24,1659.9,1680.0,1645.0,1675.4
508,2024-01-25,1672.95,1680.55,1658.0,1669.1
509,2024-01-29,1665.15,1679.35,1647.6,1656.6
510,2024-01-30,1662.45,1690.0,1648.25,1651.45
511,2024-01-31,1648.25,1667.25,1638.1,1660.9
512,2024-02-01,1659.55,1677.0,1650.35,1657.05
513,2024-02-02,1666.05,1718.5,1665.0,1693.35
514,2024-02-05,1694.75,1700.75,1681.85,1687.2
515,2024-02-06,1686.75,1733.0,1673.95,1729.45
516,2024-02-07,1729.0,1729.0,1686.85,1693.75
517,2024-02-08,1698.0,1706.35,1682.8,1692.1
518,2024-02-09,1684.7,1692.9,1659.8,1669.35
519,2024-02-12,1670.35,1692.95,1670.35,1680.1
520,2024-02-13,1683.0,1689.1,1663.5,1684.55
521,2024-02-14,1660.2,1669.45,1635.5,1666.2
522,2024-02-15,1677.0,1687.75,1661.6,1676.35
523,2024-02-16,1689.0,1709.0,1687.95,1701.65
524,2024-02-19,1705.0,1711.5,1687.7,1699.75
525,2024-02-20,1685.0,1694.25,1668.75,1685.25
526,2024-02-21,1674.0,1674.0,1645.3,1655.55
527,2024-02-22,1665.0,1684.6,1644.4,1681.35
528,2024-02-23,1697.0,1698.45,1671.9,1676.85
529,2024-02-26,1674.95,1674.95,1645.0,1660.15
530,2024-02-27,1661.0,1671.1,1652.8,1663.6
531,2024-02-28,1670.0,1687.8,1662.05,1671.25
532,2024-02-29,1665.0,1682.25,1653.3,1673.9
533,2024-03-01,1669.0,1671.95,1651.0,1654.7
534,2024-03-02,1658.85,1665.0,1654.05,1656.3
535,2024-03-04,1657.85,1664.45,1633.65,1637.2
536,2024-03-05,1634.0,1637.35,1602.0,1606.5
537,2024-03-06,1602.8,1620.15,1576.0,1617.55
538,2024-03-07,1616.6,1628.45,1604.2,1616.45
539,2024-03-11,1608.15,1613.8,1588.0,1600.6
540,2024-03-12,1600.0,1625.0,1597.65,1612.95
541,2024-03-13,1612.9,1624.5,1598.55,1611.4
