Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
NIFTY,03-Oct-17,28-Dec-17,PE,11300,0,0,0,1132.95,0,1281.05,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11400,0,0,0,1457.05,1457.05,1377.55,0,0,0,423575,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11100,0,0,0,1236.25,0,1090.7,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11150,0,0,0,1218.15,0,1137.85,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11200,0,0,0,1400,1400,1185.35,0,0,0,55950,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10950,0,0,0,1030.85,0,951.4,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11000,1057,1060,1043,1060,1060,1060,55,496.92,43.17,359925,4050,9934
NIFTY,03-Oct-17,28-Dec-17,PE,11050,0,0,0,1123.85,0,1043.85,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10800,0,0,0,1537,1537,816.5,0,0,0,900,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10850,0,0,0,939.6,0,860.9,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10900,0,0,0,701.4,0,905.9,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10650,0,0,0,763.8,0,687.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10700,0,0,0,2080,2080,729.8,0,0,0,212550,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10750,0,0,0,850.45,0,772.8,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10450,0,0,0,600.15,0,528.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10500,564.35,606,564.35,580,580,580,127,1055.91,55.79,761925,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10550,0,0,0,680.2,0,605.9,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10600,0,0,0,884,884,646.3,0,0,0,89950,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10350,0,0,0,524.5,0,455.05,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10400,0,0,0,1049,1049,490.95,0,0,0,140650,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10150,0,0,0,386.4,0,324.9,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10200,374.5,374.55,363.75,363.85,363.85,363.85,8,63.41,2.21,110975,-300,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10250,0,0,0,452.7,0,387.2,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10300,0,0,0,823.05,0,420.45,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10000,250.05,274.6,247,257.1,257,257.1,1916,14743.87,373.87,4067925,9750,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10050,0,0,0,325.55,0,268.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,10100,309.05,334,300,308.5,308.5,308.5,157,1226.39,37.12,46725,75,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9850,0,0,0,221.4,0,174.8,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9900,239.5,239.5,205,216.5,216.5,216.5,100,758.65,16.15,607400,2400,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9950,0,0,0,270.5,0,218.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9650,0,0,0,141.15,0,105.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9700,143.25,152.6,136.15,143.8,143.8,143.8,136,1004.23,14.83,142650,-450,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9750,0,0,0,178.3,0,137.2,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9800,170.4,184.95,164,172.35,172.85,172.35,640,4787.64,83.64,179100,23100,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9500,95,106.15,95,98.4,97.5,98.4,1768,12728.53,131.53,2231200,32550,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9550,0,0,0,109.7,0,79.7,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9600,116.1,129.75,115.5,119.95,119.95,119.95,538,3922.62,49.02,581300,2250,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9350,0,0,0,62.55,0,42.3,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9400,71.3,84.55,71.25,78.25,77.4,78.25,266,1890.95,15.65,71925,12150,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9450,0,0,0,83.75,0,58.75,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9200,55.45,55.45,51.05,52.55,52.4,52.55,248,1721,9.8,14700,14175,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9250,0,0,0,45.75,0,29.75,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9300,61.75,67,61.25,63.9,63.8,63.9,271,1903.28,13.06,16425,6150,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9050,0,0,0,22.75,0,13.55,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9100,42.8,46.95,42.8,45,45,45,47,322.38,1.6,196725,2775,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9150,0,0,0,32.65,0,20.35,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8850,0,0,0,10.2,0,5.5,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8900,0,0,0,425,425,6.95,0,0,0,56150,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8950,0,0,0,15.45,0,8.75,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,9000,39,42.2,38.7,40.35,40.3,40.35,2053,13920.26,62.51,1934175,35325,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8700,0,0,0,33,33,2.55,0,0,0,19300,0,9934
NIFTY,04-Oct-17,28-Dec-17,PE,8700,0,0,0,33,33,1.8,0,0,0,19300,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8750,0,0,0,6.55,0,2.35,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8800,0,0,0,119.7,119.7,3.05,0,0,0,170275,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8550,0,0,0,2.5,0,0.75,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8600,0,0,0,41.3,41.3,1,0,0,0,144875,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8650,0,0,0,4.1,0,1.35,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8400,0,0,0,66.4,66.4,0.3,0,0,0,5625,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8450,0,0,0,1.45,0,0.4,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8500,15,15,13.4,14,13.55,14,257,1641.14,2.77,538150,-1125,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8250,0,0,0,0.45,0,0.1,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8300,0,0,0,18,18,0.15,0,0,0,92175,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8350,0,0,0,0.85,0,0.2,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7900,0,0,0,3.1,3.1,0.05,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8000,10,10,6.65,7.1,6.65,7.1,156,936.9,0.9,545575,1800,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8100,0,0,0,11,11,0.05,0,0,0,93900,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8200,0,0,0,701.8,701.8,0.1,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7700,0,0,0,239,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7800,0,0,0,5.55,5.55,0,0,0,0,20250,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7400,0,0,0,184.15,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7500,4.05,5.9,2.05,5.9,5.9,5.9,32,180.1,0.1,327750,225,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7600,0,0,0,256.15,256.15,0,0,0,0,14550,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7000,2.15,2.55,2.15,2.55,2.55,2.55,12,63.02,0.02,167850,-150,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7100,0,0,0,138.05,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7200,0,0,0,0.1,0.1,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,7300,0,0,0,167.65,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6700,0,0,0,89.9,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6800,0,0,0,100.65,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6900,0,0,0,112.2,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6400,0,0,0,67.1,67.1,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6500,0,0,0,2.75,2.75,0,0,0,0,38000,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6600,0,0,0,51.7,51.7,0,0,0,0,9550,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6000,2.95,2.95,2,2,2,2,39,175.57,0.07,387750,-2025,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6100,0,0,0,42,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6200,0,0,0,48.2,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,6300,0,0,0,55.1,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5800,0,0,0,26.9,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5900,0,0,0,31.35,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5500,0,0,0,59.25,59.25,0,0,0,0,9900,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5600,0,0,0,19.45,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5700,0,0,0,22.95,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5100,0,0,0,7.7,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5200,0,0,0,9.4,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5300,0,0,0,11.35,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5400,0,0,0,13.7,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4800,0,0,0,4,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4900,0,0,0,5,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,5000,0,0,0,1.5,1.5,0,0,0,0,141600,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4500,0,0,0,1.9,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4600,0,0,0,2.5,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4700,0,0,0,3.15,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4200,0,0,0,0.85,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4300,0,0,0,1.1,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4400,0,0,0,1.5,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,3900,0,0,0,0.15,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4000,0,0,0,0.25,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,4100,0,0,0,1.25,1.25,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,3500,0,0,0,53.35,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,3600,0,0,0,0.05,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,3700,0,0,0,0.1,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,3800,0,0,0,0.1,0,0,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12500,2420,2440,2420,2440,2440,2440,4,44.79,7.29,450,300,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12600,0,0,0,2229.2,0,2501.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12200,0,0,0,2061.2,0,2107.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12300,0,0,0,2044.55,0,2206.35,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12400,0,0,0,2097.2,0,2304.85,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11900,0,0,0,1916.3,0,1812.75,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12000,1986,1986,1940,1940,1940,1940,2,20.94,2.94,8400,150,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,12100,0,0,0,2006.4,0,2009.45,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11600,0,0,0,1887.05,0,1518.8,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11700,0,0,0,1899.3,0,1616.55,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11800,0,0,0,2100,2100,1714.55,0,0,0,75,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11500,0,0,0,1858.65,0,1421.4,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11250,0,0,0,1313.55,0,1180.5,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11300,0,0,0,1132.95,0,1228.3,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11350,0,0,0,1329.2,0,1276.3,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11400,0,0,0,1457.05,1457.05,1324.5,0,0,0,423575,0,10004.25
