,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Future_Prices
3362,NIFTY,OPTIDX,2021-12-30,17400.0,CE,199.9,235.1,179.3,213.5,213.5,20058,176625.04,637150,74100,01-DEC-2021,17221.9
3363,NIFTY,OPTIDX,2021-12-30,17450.0,CE,187.6,211.7,159.55,189.3,189.3,1655,14596.35,52900,5100,01-DEC-2021,17221.9
3364,NIFTY,OPTIDX,2021-12-30,17500.0,CE,151.6,188.9,142.5,169.5,169.5,39401,348083.99,1933750,46600,01-DEC-2021,17221.9
3365,NIFTY,OPTIDX,2021-12-30,17550.0,CE,155.9,167.35,126.35,149.75,149.75,972,8601.48,39300,-12800,01-DEC-2021,17221.9
3366,NIFTY,OPTIDX,2021-12-30,17600.0,CE,113.1,148.5,110.7,131.9,131.9,16433,145692.63,785450,-21050,01-DEC-2021,17221.9
3367,NIFTY,OPTIDX,2021-12-30,17650.0,CE,121.9,129.0,97.35,115.7,115.7,915,8127.38,45050,-1600,01-DEC-2021,17221.9
3368,NIFTY,OPTIDX,2021-12-30,17700.0,CE,89.0,115.3,85.45,101.5,101.5,18097,161079.83,775450,69600,01-DEC-2021,17221.9
3369,NIFTY,OPTIDX,2021-12-30,17750.0,CE,94.2,99.3,74.0,88.55,88.55,936,8348.56,58650,-3900,01-DEC-2021,17221.9
3370,NIFTY,OPTIDX,2021-12-30,17800.0,CE,69.9,86.3,63.3,76.05,76.05,16956,151554.43,928300,51350,01-DEC-2021,17221.9
3371,NIFTY,OPTIDX,2021-12-30,17850.0,CE,59.95,79.6,56.05,65.85,65.85,1210,10839.75,96450,3800,01-DEC-2021,17221.9
3372,NIFTY,OPTIDX,2021-12-30,17900.0,CE,52.65,64.35,47.8,56.45,56.45,9427,84639.0,486450,10550,01-DEC-2021,17221.9
3373,NIFTY,OPTIDX,2021-12-30,17950.0,CE,52.95,58.65,42.05,49.35,49.35,987,8882.74,40350,-50,01-DEC-2021,17221.9
3374,NIFTY,OPTIDX,2021-12-30,18000.0,CE,39.95,48.45,36.55,43.0,43.0,39926,360198.48,3157825,57200,01-DEC-2021,17221.9
3375,NIFTY,OPTIDX,2021-12-30,18050.0,CE,38.0,41.55,21.8,34.7,34.7,1200,10851.91,122450,-2350,01-DEC-2021,17221.9
3376,NIFTY,OPTIDX,2021-12-30,18100.0,CE,33.75,35.0,26.55,30.65,30.65,9837,89178.34,389850,11900,01-DEC-2021,17221.9
3377,NIFTY,OPTIDX,2021-12-30,18150.0,CE,33.6,33.6,14.3,26.55,26.55,1508,13705.2,54050,15750,01-DEC-2021,17221.9
3378,NIFTY,OPTIDX,2021-12-30,18200.0,CE,25.0,26.95,19.35,22.35,22.35,10303,93875.58,612900,-15100,01-DEC-2021,17221.9
3379,NIFTY,OPTIDX,2021-12-30,18250.0,CE,25.45,25.55,17.8,19.7,19.7,886,8093.84,55200,1000,01-DEC-2021,17221.9
3380,NIFTY,OPTIDX,2021-12-30,18300.0,CE,16.15,19.85,15.15,17.1,17.1,6805,62324.78,433500,-19950,01-DEC-2021,17221.9
3381,NIFTY,OPTIDX,2021-12-30,18350.0,CE,16.9,17.05,13.35,15.0,15.0,531,4876.05,22050,-1500,01-DEC-2021,17221.9
3382,NIFTY,OPTIDX,2021-12-30,18400.0,CE,12.9,22.6,11.85,13.55,13.55,5445,50131.26,271750,-650,01-DEC-2021,17221.9
3383,NIFTY,OPTIDX,2021-12-30,18450.0,CE,16.1,16.1,11.15,13.0,13.0,473,4366.44,25200,-2450,01-DEC-2021,17221.9
3384,NIFTY,OPTIDX,2021-12-30,18500.0,CE,10.05,13.45,9.65,11.9,11.9,10981,101639.79,1379325,11850,01-DEC-2021,17221.9
3385,NIFTY,OPTIDX,2021-12-30,18550.0,CE,13.4,13.4,8.85,10.95,10.95,68,631.08,21950,400,01-DEC-2021,17221.9
3386,NIFTY,OPTIDX,2021-12-30,18600.0,CE,13.4,13.4,8.3,9.45,9.45,3048,28360.83,332250,40250,01-DEC-2021,17221.9
3387,NIFTY,OPTIDX,2021-12-30,18650.0,CE,13.3,13.3,8.4,9.15,52.1,76,709.05,34650,200,01-DEC-2021,17221.9
3388,NIFTY,OPTIDX,2021-12-30,18700.0,CE,6.7,9.7,6.7,8.2,8.2,1281,11982.58,305850,-4200,01-DEC-2021,17221.9
3389,NIFTY,OPTIDX,2021-12-30,18750.0,CE,17.95,17.95,7.6,8.5,8.5,155,1453.8,113250,1650,01-DEC-2021,17221.9
3390,NIFTY,OPTIDX,2021-12-30,18800.0,CE,8.35,8.4,7.0,7.25,7.25,723,6798.84,364950,-12600,01-DEC-2021,17221.9
3391,NIFTY,OPTIDX,2021-12-30,18850.0,CE,13.95,13.95,6.2,7.25,7.25,92,867.43,13350,-900,01-DEC-2021,17221.9
3392,NIFTY,OPTIDX,2021-12-30,18900.0,CE,6.45,7.55,6.45,6.75,6.75,786,7430.4,295250,-8250,01-DEC-2021,17221.9
3393,NIFTY,OPTIDX,2021-12-30,18950.0,CE,18.0,18.0,5.05,7.0,29.75,83,786.69,6700,-1500,01-DEC-2021,17221.9
3394,NIFTY,OPTIDX,2021-12-30,19000.0,CE,7.0,8.0,6.05,6.9,6.9,5092,48391.91,1811900,-30800,01-DEC-2021,17221.9
3395,NIFTY,OPTIDX,2021-12-30,19050.0,CE,6.85,6.85,6.4,6.6,6.6,15,142.92,10150,0,01-DEC-2021,17221.9
3396,NIFTY,OPTIDX,2021-12-30,19100.0,CE,7.0,7.55,6.5,6.7,6.7,308,2942.43,185150,-7400,01-DEC-2021,17221.9
3397,NIFTY,OPTIDX,2021-12-30,19150.0,CE,8.35,8.35,7.0,7.45,20.0,3,28.73,5900,50,01-DEC-2021,17221.9
3398,NIFTY,OPTIDX,2021-12-30,19200.0,CE,6.25,6.65,5.25,6.0,6.0,428,4110.07,149050,-3350,01-DEC-2021,17221.9
3399,NIFTY,OPTIDX,2021-12-30,19250.0,CE,6.2,6.95,5.95,6.95,16.3,14,134.79,7400,50,01-DEC-2021,17221.9
3400,NIFTY,OPTIDX,2021-12-30,19300.0,CE,5.65,6.4,5.4,5.6,5.6,233,2249.11,67450,-5250,01-DEC-2021,17221.9
3401,NIFTY,OPTIDX,2021-12-30,19350.0,CE,5.05,6.9,4.55,4.55,4.55,10,96.77,2550,300,01-DEC-2021,17221.9
3402,NIFTY,OPTIDX,2021-12-30,19400.0,CE,5.95,5.95,4.35,4.75,4.75,35,339.58,11650,-700,01-DEC-2021,17221.9
3403,NIFTY,OPTIDX,2021-12-30,19450.0,CE,5.75,5.75,5.75,5.75,10.65,1,9.72,3450,50,01-DEC-2021,17221.9
3404,NIFTY,OPTIDX,2021-12-30,19500.0,CE,5.45,5.85,4.9,4.95,4.95,1135,11069.26,836800,-4550,01-DEC-2021,17221.9
3405,NIFTY,OPTIDX,2021-12-30,19550.0,CE,5.45,5.45,5.45,5.45,8.55,1,9.77,4250,50,01-DEC-2021,17221.9
3406,NIFTY,OPTIDX,2021-12-30,19600.0,CE,5.35,6.15,5.0,5.5,5.5,112,1097.9,10650,-1400,01-DEC-2021,17221.9
3407,NIFTY,OPTIDX,2021-12-30,19650.0,CE,5.35,5.35,5.35,5.35,6.85,1,9.82,3900,-50,01-DEC-2021,17221.9
3408,NIFTY,OPTIDX,2021-12-30,19700.0,CE,4.75,6.4,4.6,5.35,5.35,140,1379.36,7250,-2900,01-DEC-2021,17221.9
3409,NIFTY,OPTIDX,2021-12-30,19750.0,CE,4.45,4.45,4.45,4.45,5.45,1,9.87,2800,-50,01-DEC-2021,17221.9
3410,NIFTY,OPTIDX,2021-12-30,19800.0,CE,5.15,5.2,4.55,4.6,4.6,22,217.85,7400,-550,01-DEC-2021,17221.9
3411,NIFTY,OPTIDX,2021-12-30,19850.0,CE,0.0,0.0,0.0,4.3,4.35,0,0.0,4150,0,01-DEC-2021,17221.9
3412,NIFTY,OPTIDX,2021-12-30,19900.0,CE,4.25,4.65,4.15,4.25,4.25,16,159.23,21000,0,01-DEC-2021,17221.9
3413,NIFTY,OPTIDX,2021-12-30,19950.0,CE,5.05,5.9,5.05,5.1,5.1,79,788.24,11700,-200,01-DEC-2021,17221.9
3414,NIFTY,OPTIDX,2021-12-30,20000.0,CE,4.55,5.5,4.05,4.45,4.45,1961,19614.37,1023100,-45450,01-DEC-2021,17221.9
3415,NIFTY,OPTIDX,2021-12-30,20500.0,CE,3.8,4.45,3.5,3.95,3.95,1038,10641.5,502550,-22000,01-DEC-2021,17221.9
3416,NIFTY,OPTIDX,2021-12-30,8000.0,PE,0.0,0.0,0.0,4.0,0.0,0,0.0,58000,0,01-DEC-2021,17221.9
3417,NIFTY,OPTIDX,2021-12-30,8500.0,PE,0.0,0.0,0.0,3.0,0.0,0,0.0,9975,0,01-DEC-2021,17221.9
3418,NIFTY,OPTIDX,2021-12-30,9000.0,PE,4.9,4.95,3.2,3.85,3.85,622,2800.28,90125,15150,01-DEC-2021,17221.9
3419,NIFTY,OPTIDX,2021-12-30,9100.0,PE,0.0,0.0,0.0,410.0,0.0,0,0.0,14025,0,01-DEC-2021,17221.9
3420,NIFTY,OPTIDX,2021-12-30,9200.0,PE,0.0,0.0,0.0,3.1,0.0,0,0.0,5625,0,01-DEC-2021,17221.9
3421,NIFTY,OPTIDX,2021-12-30,9700.0,PE,0.0,0.0,0.0,156.75,0.0,0,0.0,3375,0,01-DEC-2021,17221.9
3422,NIFTY,OPTIDX,2021-12-30,10000.0,PE,3.9,4.6,3.15,4.5,4.5,110,550.22,202475,950,01-DEC-2021,17221.9
3423,NIFTY,OPTIDX,2021-12-30,10100.0,PE,0.0,0.0,0.0,2.0,0.0,0,0.0,825,0,01-DEC-2021,17221.9
3424,NIFTY,OPTIDX,2021-12-30,10200.0,PE,0.0,0.0,0.0,5.9,0.0,0,0.0,225,0,01-DEC-2021,17221.9
3425,NIFTY,OPTIDX,2021-12-30,10300.0,PE,0.0,0.0,0.0,6.4,0.0,0,0.0,600,0,01-DEC-2021,17221.9
3426,NIFTY,OPTIDX,2021-12-30,10400.0,PE,0.0,0.0,0.0,3.05,0.0,0,0.0,2925,0,01-DEC-2021,17221.9
3427,NIFTY,OPTIDX,2021-12-30,10500.0,PE,3.05,3.05,3.05,3.05,0.0,3,15.75,525675,0,01-DEC-2021,17221.9
3428,NIFTY,OPTIDX,2021-12-30,10600.0,PE,0.0,0.0,0.0,2.0,0.0,0,0.0,11650,0,01-DEC-2021,17221.9
3429,NIFTY,OPTIDX,2021-12-30,10700.0,PE,0.0,0.0,0.0,3.3,0.0,0,0.0,9750,0,01-DEC-2021,17221.9
3430,NIFTY,OPTIDX,2021-12-30,10800.0,PE,0.0,0.0,0.0,3.85,0.0,0,0.0,8950,0,01-DEC-2021,17221.9
3431,NIFTY,OPTIDX,2021-12-30,10900.0,PE,0.0,0.0,0.0,9.4,0.0,0,0.0,3400,0,01-DEC-2021,17221.9
