Date,Open,High,Low,Close,Adj Close,Volume
09-10-2019,2060,2060,2015.5,2020.099976,1844.848022,2066920
10-10-2019,2028,2039.050049,1997.099976,2004.449951,1830.55603,2881452
11-10-2019,1931,1995,1925,1986.849976,1814.482666,12593069
14-10-2019,1995,2032.75,1968,2021,1845.670166,3510704
15-10-2019,2032,2047,2022.699951,2037.300049,1860.555908,2261310
16-10-2019,2038,2056,2016,2046.400024,1868.866821,3034082
17-10-2019,2014,2038,1999.300049,2030.949951,1891.733643,3818774
18-10-2019,2037.5,2063.899902,2025,2057.350098,1916.324219,3087901
22-10-2019,2080,2111.5,2040.050049,2051.399902,1910.78186,5552505
23-10-2019,2060,2083.850098,2052.5,2070.100098,1928.199951,2348134
24-10-2019,2084,2099,2061.300049,2082,1939.28479,2798671
25-10-2019,2094,2130,2075.050049,2124.949951,1979.290161,3954245
27-10-2019,2129,2129,2108.800049,2115.699951,1970.674072,224405
29-10-2019,2121.5,2201.699951,2121.5,2194.850098,2044.39917,5064173
30-10-2019,2225,2260,2176.850098,2252.800049,2098.376465,5195136
31-10-2019,2250,2284.949951,2237,2269.649902,2114.071533,4879261
01-11-2019,2264,2275,2195,2200.899902,2050.034424,4172620
04-11-2019,2207,2229.199951,2180.899902,2193.949951,2043.560425,2646411
05-11-2019,2197,2211,2169,2201.850098,2050.919189,2693475
06-11-2019,2200,2210.800049,2179,2188.5,2038.484619,2540719
07-11-2019,2204.5,2204.5,2175.199951,2185.350098,2035.550049,1915598
08-11-2019,2189.600098,2189.600098,2124,2129.949951,1983.947754,2788759
11-11-2019,2135,2139,2091,2100.949951,1956.935303,2983768
13-11-2019,2118,2183.800049,2118,2178.600098,2029.262939,3823365
14-11-2019,2187.5,2200,2146.699951,2196.800049,2046.215088,2995915
15-11-2019,2196,2211.5,2168.75,2174.449951,2025.397095,2724180
18-11-2019,2178.399902,2187.75,2148.75,2152.600098,2005.044678,1611089
19-11-2019,2153,2154.649902,2105,2108.800049,1964.247437,2975313
20-11-2019,2121.949951,2135,2094.5,2108.550049,1964.014648,2894129
21-11-2019,2112,2126.600098,2107.399902,2118.100098,1972.910034,2052574
22-11-2019,2097,2107,2060.5,2071.699951,1929.69043,3742049
25-11-2019,2074.550049,2084.949951,2052.199951,2081.5,1938.818726,2737010
26-11-2019,2089.850098,2097.899902,2035.050049,2046.650024,1906.357544,6561580
27-11-2019,2052,2071.699951,2046.550049,2054.300049,1913.48291,2907521
28-11-2019,2067.050049,2094.399902,2060,2077.350098,1934.953125,2924429
29-11-2019,2085,2085,2045.800049,2053.25,1912.505005,2064271
02-12-2019,2060,2067.699951,2016,2021.050049,1882.512451,3809860
03-12-2019,2027.699951,2062,2010,2051,1910.409424,4664774
04-12-2019,2053,2082,2045.5,2078.5,1936.024292,3334301
05-12-2019,2083,2126.800049,2068.350098,2121.300049,1975.890625,3902721
06-12-2019,2124,2128,2101,2123.600098,1978.033081,1829461
09-12-2019,2127.949951,2127.949951,2053.5,2060.449951,1919.211304,2244747
10-12-2019,2060,2060.850098,2003.25,2012.849976,1874.874268,4520045
11-12-2019,2025.400024,2048,2006.75,2041.900024,1901.933228,4943024
12-12-2019,2051.100098,2083.649902,1984,2020.900024,1882.372681,7137306
13-12-2019,2023,2077.399902,2007,2071.25,1929.271362,5711133
16-12-2019,2096,2136,2080.300049,2126.75,1980.967285,5574177
17-12-2019,2126.5,2169,2119,2164.949951,2016.548462,6059673
18-12-2019,2174,2203.449951,2153,2167.75,2019.156616,8251081
19-12-2019,2179.800049,2236.5,2167.550049,2229.050049,2076.254639,6251505
20-12-2019,2220,2246.699951,2208.25,2222.899902,2070.526123,5548338
23-12-2019,2210,2241.949951,2210,2231.699951,2078.722656,2247329
24-12-2019,2239,2243.550049,2211.149902,2215.600098,2063.726807,1805896
26-12-2019,2216.399902,2229,2195.199951,2201.949951,2051.011719,1880367
27-12-2019,2208,2226.399902,2176,2198.5,2047.798706,2720261
30-12-2019,2207,2225,2177.100098,2183.199951,2033.547363,2288830
31-12-2019,2189,2197,2157.449951,2161.699951,2013.520752,1909289
01-01-2020,2168,2183.899902,2154,2167.600098,2019.016968,1354908
02-01-2020,2179.949951,2179.949951,2149.199951,2157.649902,2009.748657,2380752
03-01-2020,2164,2223,2164,2200.649902,2049.80127,4655761
06-01-2020,2205,2225.949951,2187.899902,2200.449951,2049.61499,3023209
07-01-2020,2200.5,2214.649902,2183.800049,2205.850098,2054.645508,2429317
08-01-2020,2205,2260,2202.050049,2255.25,2100.658691,5197454
09-01-2020,2248.75,2251.949951,2210,2214.350098,2062.562256,3734173
10-01-2020,2228,2234,2208,2213.550049,2061.816895,1915807
13-01-2020,2217.850098,2218.949951,2184.699951,2190.350098,2040.207397,2843893
14-01-2020,2195,2229.800049,2195,2206.899902,2055.622803,2948452
15-01-2020,2213,2231,2194.199951,2226.899902,2074.251465,2620681
16-01-2020,2226.949951,2249,2215,2238.800049,2085.33667,3117214
17-01-2020,2240.75,2253.550049,2213,2219.100098,2066.986572,3281059
20-01-2020,2194.899902,2242.199951,2156.199951,2170.350098,2021.577759,5817599
21-01-2020,2169.949951,2186.550049,2158.050049,2171.050049,2022.230225,1902980
22-01-2020,2181,2210,2173.699951,2206.899902,2055.622803,1773686
23-01-2020,2209.800049,2217.75,2183.699951,2190.949951,2045.400146,2069866
24-01-2020,2190.949951,2190.949951,2170,2183.399902,2038.351563,1319430
27-01-2020,2189.699951,2193.449951,2165,2169.25,2025.141479,1549101
28-01-2020,2174,2187.800049,2152,2183.75,2038.678101,1743024
29-01-2020,2185,2186.949951,2150,2154.600098,2011.465454,2306761
30-01-2020,2160,2165,2125,2137.850098,1995.827881,2098567
31-01-2020,2139.399902,2144.350098,2071.600098,2079.050049,1940.934082,3287223
03-02-2020,2152,2194.699951,2093.199951,2102.5,1962.826538,4728073
04-02-2020,2129,2136.699951,2086.600098,2107.75,1967.727539,3509339
05-02-2020,2115,2156.699951,2104.300049,2146.550049,2003.950195,2439322
06-02-2020,2145,2174.199951,2115.5,2128.350098,1986.959106,2640065
07-02-2020,2139,2151,2119,2136.550049,1994.614624,2083442
10-02-2020,2140.899902,2167,2119,2161.949951,2018.326782,2383032
11-02-2020,2163,2174.800049,2147.600098,2153.399902,2010.344727,1335820
12-02-2020,2151.100098,2185,2150,2170.75,2026.542725,1620407
13-02-2020,2172.949951,2197,2171,2191.949951,2046.333862,1645948
14-02-2020,2188,2212,2171,2184.199951,2039.098877,1500115
