,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
594,44225,AXISBANK,OPTSTK,2021-10-28,770.0,CE,38.55,41.85,32.1,33.0,33.0,800,7725.99,400800,307200,2021-09-30,770.35,28.0,38.57421875,0.5229954547644768,-0.5853526355633548,0.004839160053203702,0.8497838362973422,29.85,-3.1499999999999986
882,44321,AXISBANK,OPTSTK,2021-11-25,770.0,CE,0.0,0.0,0.0,68.65,59.05,0,0.0,0,0,2021-09-30,773.05,56.0,55.77850341796875,0.5506622709981525,-0.5967510765009714,0.0023429724772685,1.1982415531532151,29.85,-38.800000000000004
886,44369,AXISBANK,OPTSTK,2021-11-25,770.0,PE,0.0,0.0,0.0,85.05,57.95,0,0.0,0,0,2021-09-30,773.05,56.0,72.04437255859375,-0.43836894848848257,-0.7677559384981255,0.0018068859822358905,1.1935514469482735,28.8,-56.25
906,44129,AXISBANK,OPTSTK,2021-09-30,770.0,CE,15.35,17.05,0.05,0.25,766.55,821,7659.47,96000,-115200,2021-09-30,767.7,1e-07,500.0,2.135504750361865e-286,-2.4540301599700515e-279,1.2158490677477637e-283,9.816120639880207e-289,29.85,29.6
17,46541,AXISBANK,OPTSTK,2021-12-30,780.0,PE,0.0,0.0,0.0,77.9,76.6,0,0.0,0,0,2021-10-01,776.2,90.0,49.4384765625,-0.4590396943201394,-0.4201012201475317,0.0020825688447647407,1.529541864643813,26.65,-51.25000000000001
944,46444,AXISBANK,OPTSTK,2021-11-25,770.0,PE,0.0,0.0,0.0,85.05,56.6,0,0.0,0,0,2021-10-01,772.55,55.0,72.509765625,-0.4394037711503962,-0.7795188407288229,0.0018134403722552116,1.1825589524537994,21.85,-63.199999999999996
942,46396,AXISBANK,OPTSTK,2021-11-25,770.0,CE,0.0,0.0,0.0,68.65,59.2,0,0.0,0,0,2021-10-01,772.55,55.0,56.5185546875,0.5496460062677277,-0.6099435555359978,0.0023354857333274456,1.1871108785412492,31.9,-36.75000000000001
927,46348,AXISBANK,OPTSTK,2021-10-28,770.0,PE,37.5,39.95,27.95,28.8,28.8,1011,9725.07,570000,189600,2021-10-01,770.0,27.0,34.48486328125,-0.4812981371708256,-0.5329585524981243,0.005517950859801502,0.8345621555804964,21.85,-6.949999999999999
14,46493,AXISBANK,OPTSTK,2021-12-30,780.0,CE,0.0,0.0,0.0,71.9,72.1,0,0.0,0,0,2021-10-01,776.2,90.0,47.9736328125,0.5392756162103898,-0.40782810231348043,0.0021470764989167473,1.530195945413144,26.75,-45.150000000000006
924,46300,AXISBANK,OPTSTK,2021-10-28,770.0,CE,27.45,33.55,27.0,29.85,29.85,2726,26183.51,1004400,603600,2021-10-01,770.0,27.0,35.736083984375,0.5193799013244815,-0.5522511188016465,0.0053243193203311254,0.834494356693584,31.9,2.049999999999997
612,48466,AXISBANK,OPTSTK,2021-10-28,780.0,CE,26.55,29.0,25.85,26.75,26.75,2833,27456.59,1443600,195600,2021-10-04,780.35,24.0,33.3099365234375,0.5191257832378817,-0.55333965029669,0.005978444085947055,0.7973687729951929,27.5,0.75
890,48562,AXISBANK,OPTSTK,2021-11-25,780.0,CE,39.05,40.4,39.05,40.25,58.65,17,167.27,20400,20400,2021-10-04,783.05,52.0,32.9132080078125,0.5372585388884993,-0.3715284890139261,0.00408315216315301,1.1739652618570853,27.5,-12.75
894,48610,AXISBANK,OPTSTK,2021-11-25,780.0,PE,0.0,0.0,0.0,24.0,55.35,0,0.0,1200,0,2021-10-04,783.05,52.0,21.66748046875,-0.4646955981339017,-0.244694867256489,0.0062051445718002704,1.1744912488269095,22.95,-1.0500000000000007
194,48659,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,72.1,0,0.0,0,0,2021-10-04,785.9,87.0,45.49407958984375,0.5349137924627456,-0.3986839803547031,0.0022767078341131373,1.5248360491549529,22.95,-44.7
197,48707,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,75.85,0,0.0,0,0,2021-10-04,785.9,87.0,53.24554443359375,-0.456220383901046,-0.46558500162806926,0.0019409784785583961,1.5214754801562698,28.4,-55.15
621,48514,AXISBANK,OPTSTK,2021-10-28,780.0,PE,31.95,32.25,25.35,26.65,26.65,925,8966.77,871200,272400,2021-10-04,780.35,24.0,33.6151123046875,-0.480737302868778,-0.5583999498288151,0.005924070636332719,0.7973555866432588,22.95,-3.6999999999999993
348,50828,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,73.4,0,0.0,0,0,2021-10-05,788.5,86.0,44.83795166015625,0.5398636318844876,-0.3960558969994329,0.0023130467999664932,1.5192847077453908,21.0,-46.650000000000006
352,50876,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,73.65,0,0.0,0,0,2021-10-05,788.5,86.0,54.32891845703125,-0.4504001652157466,-0.4785674937584869,0.001903708907861951,1.5150975072614707,30.05,-53.5
378,50635,AXISBANK,OPTSTK,2021-10-28,780.0,CE,23.4,28.65,23.35,27.5,27.5,2784,26938.88,1471200,27600,2021-10-05,784.2,23.0,32.3486328125,0.5425000268424054,-0.5491344768655135,0.006229253930483436,0.7808733705139065,25.2,-2.3000000000000007
381,50683,AXISBANK,OPTSTK,2021-10-28,780.0,PE,29.45,29.45,22.6,22.95,22.95,778,7517.93,976800,105600,2021-10-05,784.2,23.0,31.92138671875,-0.4573615792874578,-0.5418615459119883,0.006312392813680266,0.780844245006143,24.7,1.75
950,50732,AXISBANK,OPTSTK,2021-11-25,790.0,CE,34.55,34.75,32.8,32.8,55.2,6,59.32,10800,6000,2021-10-05,786.7,51.0,29.296875,0.5065949455370127,-0.33691446051071616,0.004630006653387482,1.1730013857141095,21.0,-11.799999999999997
954,50780,AXISBANK,OPTSTK,2021-11-25,790.0,PE,0.0,0.0,0.0,97.0,58.4,0,0.0,0,0,2021-10-05,786.7,51.0,81.4208984375,-0.4449535779872139,-0.927540596110319,0.0016503106635449643,1.1619761341233057,30.05,-66.95
758,52999,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,70.75,0,0.0,0,0,2021-10-06,786.9,85.0,45.67718505859375,0.5368002363794195,-0.4053125723558425,0.0022902093378336487,1.5084803761901195,21.0,-46.650000000000006
765,53047,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,74.75,0,0.0,0,0,2021-10-06,786.9,85.0,54.168701171875,-0.45396069970305847,-0.4794985237044437,0.0019265230034405105,1.5048311527926905,30.2,-53.349999999999994
1003,52950,AXISBANK,OPTSTK,2021-11-25,780.0,PE,33.3,33.5,33.3,33.5,54.1,2,19.52,3600,1200,2021-10-06,782.8,50.0,30.2734375,-0.46493675834914894,-0.3485615272135622,0.004530824096164806,1.1513774318280248,24.4,-9.100000000000001
1000,52902,AXISBANK,OPTSTK,2021-11-25,780.0,CE,39.85,39.85,39.85,39.85,39.85,1,9.83,30000,0,2021-10-06,782.8,50.0,33.33282470703125,0.5361465774604909,-0.38369312306506526,0.004113968904121355,1.151096933540495,25.4,-14.450000000000003
985,52854,AXISBANK,OPTSTK,2021-10-28,780.0,PE,23.35,25.9,16.75,24.7,24.7,1978,19012.12,956400,-20400,2021-10-06,779.95,22.0,32.3486328125,-0.48448426236294495,-0.5611983262881853,0.006435671111581922,0.7633313747695241,24.4,-0.3000000000000007
982,52806,AXISBANK,OPTSTK,2021-10-28,780.0,CE,27.35,32.25,24.3,25.2,25.2,2800,27169.44,1274400,-196800,2021-10-06,779.95,22.0,33.0810546875,0.5158812631700573,-0.5738839908067203,0.0062929568022508904,0.7633038255287847,25.4,0.1999999999999993
1019,55218,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,75.05,0,0.0,0,0,2021-10-07,786.15,84.0,54.26025390625,-0.4556566312750667,-0.48293347182024404,0.001937473122004726,1.4952532917737722,25.8,-57.75
451,55121,AXISBANK,OPTSTK,2021-11-25,780.0,PE,32.35,32.8,32.35,32.8,54.3,2,19.5,4800,1200,2021-10-07,783.35,49.0,30.1513671875,-0.46254247894248546,-0.3507345089687222,0.00458960852762509,1.1399808726811078,20.4,-12.399999999999999
446,55073,AXISBANK,OPTSTK,2021-11-25,780.0,CE,39.85,39.85,39.85,39.85,55.4,1,9.83,30000,0,2021-10-07,783.35,49.0,33.40911865234375,0.5383254124260896,-0.38854938681508333,0.004141210959776644,1.1397439215358316,26.05,-13.8
639,55025,AXISBANK,OPTSTK,2021-10-28,780.0,PE,21.0,26.1,20.6,24.4,24.4,931,8973.31,1116000,159600,2021-10-07,780.35,21.0,32.958984375,-0.4819728117283832,-0.5853876413019641,0.006460109791444154,0.7459659756182184,20.4,-4.0
630,54977,AXISBANK,OPTSTK,2021-10-28,780.0,CE,28.05,28.5,23.75,25.4,25.4,2446,23657.15,1704000,429600,2021-10-07,780.35,21.0,33.8134765625,0.5183784508993645,-0.6005401975061009,0.006296604599819889,0.7459359657571808,26.05,0.6500000000000021
1018,55170,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,69.15,0,0.0,0,0,2021-10-07,786.15,84.0,46.21124267578125,0.5353822037877972,-0.4122251682943589,0.002280086020270482,1.4986359219841403,21.3,-46.35000000000001
1020,57253,AXISBANK,OPTSTK,2021-11-25,790.0,CE,32.7,32.7,32.7,32.7,52.7,2,19.74,40800,2400,2021-10-08,788.1,48.0,29.47998046875,0.5123368349387788,-0.3499563009032416,0.004732816207030106,1.1396142179376318,22.3,-10.400000000000002
1021,57301,AXISBANK,OPTSTK,2021-11-25,790.0,PE,0.0,0.0,0.0,97.0,56.75,0,0.0,0,0,2021-10-08,788.1,48.0,84.47265625,-0.44223518142385365,-0.9927177188303148,0.0016351352347657923,1.128186388808038,22.4,-74.6
699,57397,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,72.3,0,0.0,0,0,2021-10-08,790.25,83.0,55.8319091796875,-0.4465791318839646,-0.5011000869709519,0.0018791150526951171,1.48987587312241,22.4,-61.15
672,57205,AXISBANK,OPTSTK,2021-10-28,790.0,PE,28.5,30.5,24.95,25.8,25.8,473,4640.3,648000,1200,2021-10-08,785.35,20.0,31.8603515625,-0.5166976547961208,-0.5836491071879817,0.006805296662132695,0.7327591549553939,22.4,-3.400000000000002
696,57349,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,71.1,0,0.0,0,0,2021-10-08,790.25,83.0,45.00579833984375,0.5433123155783309,-0.4051892803953587,0.0023383787653413796,1.4945056643086554,22.3,-45.35000000000001
670,57157,AXISBANK,OPTSTK,2021-10-28,790.0,CE,21.0,23.3,19.6,21.3,21.3,1907,18567.96,1230000,37200,2021-10-08,785.35,20.0,31.982421875,0.4834797196623917,-0.5858961682264346,0.006779447881051761,0.7327727343680841,22.3,1.0
153,59384,AXISBANK,OPTSTK,2021-10-28,790.0,PE,25.8,26.65,19.75,22.4,22.4,828,8068.38,812400,164400,2021-10-11,789.2,17.0,32.3486328125,-0.4918646993728724,-0.6463412486740988,0.0072393357537819366,0.6793363596630166,18.0,-4.399999999999999
1022,59432,AXISBANK,OPTSTK,2021-11-25,790.0,CE,36.75,40.1,36.5,36.9,53.45,27,268.33,45600,4800,2021-10-11,792.0,45.0,32.40966796875,0.5315304999228087,-0.3982610982851741,0.0044125660622222375,1.1059508193736092,26.5,-10.399999999999999
150,59336,AXISBANK,OPTSTK,2021-10-28,790.0,CE,20.95,24.9,20.0,22.3,22.3,2759,26918.71,1191600,-38400,2021-10-11,789.2,17.0,33.447265625,0.508798270143709,-0.6682688842750965,0.007001300346271386,0.6793123934283726,26.5,4.199999999999999
1043,59576,AXISBANK,OPTSTK,2021-12-30,790.0,PE,0.0,0.0,0.0,83.55,68.6,0,0.0,0,0,2021-10-11,794.25,80.0,58.074951171875,-0.4381438560908711,-0.5319515685829601,0.0018251678086646142,1.465558717757346,18.0,-65.55
1040,59528,AXISBANK,OPTSTK,2021-12-30,790.0,CE,0.0,0.0,0.0,67.65,72.4,0,0.0,0,0,2021-10-11,794.25,80.0,44.3572998046875,0.5515858530532545,-0.4078118521833994,0.0023984907852916903,1.4710069512041974,26.5,-41.150000000000006
1025,59480,AXISBANK,OPTSTK,2021-11-25,790.0,PE,0.0,0.0,0.0,97.0,52.55,0,0.0,0,0,2021-10-11,792.0,45.0,88.80615234375,-0.4348583678685439,-1.0800750175092333,0.0015938238073644096,1.094594788878636,18.0,-79.0
159,61672,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,52.55,0,0.0,0,0,2021-10-12,800.8,44.0,93.902587890625,-0.43404674707595436,-1.167399227279512,0.0015070893820910804,1.094018112900736,24.45,-78.8
4,61528,AXISBANK,OPTSTK,2021-10-28,800.0,CE,18.0,24.05,17.6,22.0,22.0,9055,89215.74,5401200,315600,2021-10-12,798.15,16.0,34.3017578125,0.5014648067604316,-0.7146141532645826,0.006959734700485352,0.6666612547807499,20.3,-1.6999999999999993
156,61624,AXISBANK,OPTSTK,2021-11-25,800.0,CE,32.15,38.55,30.8,37.1,37.1,144,1444.94,364800,51600,2021-10-12,800.8,44.0,33.0810546875,0.5263631664698734,-0.4160648854887138,0.004327898839541506,1.1067878660120731,20.3,-16.8
6,61576,AXISBANK,OPTSTK,2021-10-28,800.0,PE,26.95,29.8,22.2,23.3,23.3,769,7612.51,1015200,142800,2021-10-12,798.15,16.0,33.447265625,-0.4992206115661446,-0.6968157445341713,0.007137572633725223,0.6666644764057146,24.45,1.1499999999999986
1059,61768,AXISBANK,OPTSTK,2021-12-30,800.0,PE,0.0,0.0,0.0,89.4,68.9,0,0.0,0,0,2021-10-12,802.75,79.0,61.21826171875,-0.4386268299766649,-0.570428594116537,0.0017242551493456216,1.4722358221224767,24.45,-64.95
1058,61720,AXISBANK,OPTSTK,2021-12-30,800.0,CE,0.0,0.0,0.0,63.6,72.7,0,0.0,0,0,2021-10-12,802.75,79.0,41.8701171875,0.5457825113571343,-0.3922222000588481,0.002534463553126768,1.4800796312984523,20.3,-43.3
