,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
388,55403,HDFCBANK,OPTSTK,2021-11-25,1620.0,PE,62.0,62.0,62.0,62.0,78.1,1,9.25,1100,0,2021-10-07,1616.2,49.0,25.390625,-0.4915145444083032,-0.611935766624475,0.002652721823827788,2.3618837712422813,49.15,-12.850000000000001
493,55311,HDFCBANK,OPTSTK,2021-10-28,1620.0,PE,43.05,49.0,39.05,46.05,46.05,1582,14469.37,651200,160600,2021-10-07,1611.15,21.0,26.83258056640625,-0.5211067329274305,-0.9835898052580077,0.003841846807294871,1.5395750594542674,49.15,3.1000000000000014
520,57628,HDFCBANK,OPTSTK,2021-12-30,1620.0,CE,0.0,0.0,0.0,101.25,98.65,0,0.0,0,0,2021-10-08,1613.5,83.0,34.00421142578125,0.5224416642150617,-0.6277813432560537,0.0015223969668137494,3.064670480830321,45.6,-55.65
494,57443,HDFCBANK,OPTSTK,2021-10-28,1600.0,CE,48.5,52.0,38.75,41.05,41.05,3694,33438.46,3215850,146850,2021-10-08,1603.05,20.0,26.42059326171875,0.5246055751456499,-0.9869182599503914,0.004016287347279995,1.4941651766470423,56.0,14.950000000000003
496,57489,HDFCBANK,OPTSTK,2021-10-28,1600.0,PE,33.95,38.25,30.55,36.8,36.8,2455,22061.32,1723150,43450,2021-10-08,1603.05,20.0,25.634765625,-0.4753847819889137,-0.9575629212622343,0.004139399491721829,1.4941629430438519,23.6,-13.199999999999996
502,57535,HDFCBANK,OPTSTK,2021-11-25,1600.0,CE,71.85,75.0,63.8,65.5,65.5,60,550.99,99000,550,2021-10-08,1607.9,48.0,26.4892578125,0.5395514209395811,-0.6387052821757757,0.002570192885624807,2.3147385828205516,56.0,-9.5
505,57581,HDFCBANK,OPTSTK,2021-11-25,1600.0,PE,54.1,55.0,47.9,55.0,55.0,38,345.26,42900,11000,2021-10-08,1607.9,48.0,25.390625,-0.46035865142041765,-0.612201413738415,0.0026813427672226294,2.314686452928506,23.6,-31.4
522,57674,HDFCBANK,OPTSTK,2021-12-30,1620.0,PE,0.0,0.0,0.0,110.85,101.85,0,0.0,0,0,2021-10-08,1613.5,83.0,35.015106201171875,-0.4763132902119536,-0.6463274649875691,0.001478177665473193,3.0641163437152654,33.1,-77.75
530,59808,HDFCBANK,OPTSTK,2021-12-30,1640.0,CE,0.0,0.0,0.0,92.6,103.9,0,0.0,0,0,2021-10-11,1641.95,80.0,29.9072265625,0.5312826857397045,-0.5714612434253051,0.0017299657476584534,3.057247677479248,36.65,-55.949999999999996
208,59716,HDFCBANK,OPTSTK,2021-11-25,1640.0,CE,64.1,66.0,55.05,60.7,60.7,124,1158.62,52250,35750,2021-10-11,1636.4,45.0,27.2216796875,0.509892627890553,-0.6931037051273355,0.002549836303297714,2.2915313888622513,36.65,-24.050000000000004
