,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_to_expiry
85,BANKNIFTY,2021-11-01,2021-12-30,CE,35000,4761.85,5250.0,4761.85,5250.0,5250.0,5250.0,8,80.01,10.01,200,-75,-,40181.9,59
86,BANKNIFTY,2021-11-01,2021-12-30,CE,35100,0.0,0.0,0.0,3961.05,0.0,5289.0,0,0.0,0.0,0,0,-,40181.9,59
87,BANKNIFTY,2021-11-01,2021-12-30,CE,35200,0.0,0.0,0.0,3897.95,0.0,5207.3,0,0.0,0.0,0,0,-,40181.9,59
88,BANKNIFTY,2021-11-01,2021-12-30,CE,35300,0.0,0.0,0.0,3835.55,0.0,5126.15,0,0.0,0.0,0,0,-,40181.9,59
89,BANKNIFTY,2021-11-01,2021-12-30,CE,35400,0.0,0.0,0.0,3773.75,0.0,5045.6,0,0.0,0.0,0,0,-,40181.9,59
90,BANKNIFTY,2021-11-01,2021-12-30,CE,35500,4405.65,4405.65,4201.5,4201.5,4201.5,4965.65,4,39.8,4.3,550,-25,-,40181.9,59
91,BANKNIFTY,2021-11-01,2021-12-30,CE,35600,0.0,0.0,0.0,3652.05,0.0,4886.25,0,0.0,0.0,0,0,-,40181.9,59
92,BANKNIFTY,2021-11-01,2021-12-30,CE,35700,0.0,0.0,0.0,3592.2,0.0,4807.45,0,0.0,0.0,0,0,-,40181.9,59
93,BANKNIFTY,2021-11-01,2021-12-30,CE,35800,0.0,0.0,0.0,3532.95,0.0,4729.3,0,0.0,0.0,0,0,-,40181.9,59
94,BANKNIFTY,2021-11-01,2021-12-30,CE,35900,0.0,0.0,0.0,3474.35,0.0,4651.75,0,0.0,0.0,0,0,-,40181.9,59
95,BANKNIFTY,2021-11-01,2021-12-30,CE,36000,3935.75,4410.0,3930.95,4376.7,4410.0,4376.7,12,120.22,12.22,2075,25,-,40181.9,59
96,BANKNIFTY,2021-11-01,2021-12-30,CE,36100,0.0,0.0,0.0,3359.1,0.0,4498.55,0,0.0,0.0,0,0,-,40181.9,59
97,BANKNIFTY,2021-11-01,2021-12-30,CE,36200,0.0,0.0,0.0,3302.45,0.0,4422.9,0,0.0,0.0,0,0,-,40181.9,59
98,BANKNIFTY,2021-11-01,2021-12-30,CE,36300,0.0,0.0,0.0,3246.45,0.0,4347.9,0,0.0,0.0,0,0,-,40181.9,59
99,BANKNIFTY,2021-11-01,2021-12-30,CE,36400,0.0,0.0,0.0,3191.05,0.0,4275.0,0,0.0,0.0,0,0,-,40181.9,59
100,BANKNIFTY,2021-11-01,2021-12-30,CE,36500,3612.75,3612.75,3476.7,3476.7,3476.7,4201.25,3,30.05,2.68,300,0,-,40181.9,59
101,BANKNIFTY,2021-11-01,2021-12-30,CE,36600,0.0,0.0,0.0,3082.25,0.0,4128.15,0,0.0,0.0,0,0,-,40181.9,59
102,BANKNIFTY,2021-11-01,2021-12-30,CE,36700,0.0,0.0,0.0,3028.8,0.0,4055.75,0,0.0,0.0,0,0,-,40181.9,59
103,BANKNIFTY,2021-11-01,2021-12-30,CE,36800,0.0,0.0,0.0,2976.0,0.0,3984.05,0,0.0,0.0,0,0,-,40181.9,59
104,BANKNIFTY,2021-11-01,2021-12-30,CE,36900,0.0,0.0,0.0,2923.85,0.0,3913.05,0,0.0,0.0,0,0,-,40181.9,59
105,BANKNIFTY,2021-11-01,2021-12-30,CE,37000,3135.1,3135.1,2932.7,2962.05,2962.05,3842.75,5,50.02,3.77,900,-25,-,40181.9,59
106,BANKNIFTY,2021-11-01,2021-12-30,CE,37100,0.0,0.0,0.0,2821.45,0.0,3771.65,0,0.0,0.0,0,0,-,40181.9,59
107,BANKNIFTY,2021-11-01,2021-12-30,CE,37200,0.0,0.0,0.0,2771.2,0.0,3702.85,0,0.0,0.0,0,0,-,40181.9,59
108,BANKNIFTY,2021-11-01,2021-12-30,CE,37300,0.0,0.0,0.0,2721.45,0.0,3634.85,0,0.0,0.0,0,0,-,40181.9,59
109,BANKNIFTY,2021-11-01,2021-12-30,CE,37400,0.0,0.0,0.0,2672.45,0.0,3567.5,0,0.0,0.0,0,0,-,40181.9,59
110,BANKNIFTY,2021-11-01,2021-12-30,CE,37500,2680.15,2930.55,2680.15,2930.55,2930.55,3500.95,4,40.31,2.81,3950,0,-,40181.9,59
111,BANKNIFTY,2021-11-01,2021-12-30,CE,37600,0.0,0.0,0.0,2576.4,0.0,3435.1,0,0.0,0.0,0,0,-,40181.9,59
112,BANKNIFTY,2021-11-01,2021-12-30,CE,37700,0.0,0.0,0.0,2529.35,0.0,3370.0,0,0.0,0.0,0,0,-,40181.9,59
113,BANKNIFTY,2021-11-01,2021-12-30,CE,37800,0.0,0.0,0.0,2482.9,0.0,3305.65,0,0.0,0.0,0,0,-,40181.9,59
114,BANKNIFTY,2021-11-01,2021-12-30,CE,37900,0.0,0.0,0.0,2437.05,0.0,3242.05,0,0.0,0.0,0,0,-,40181.9,59
115,BANKNIFTY,2021-11-01,2021-12-30,CE,38000,2363.75,2733.0,2245.8,2733.0,2733.0,2733.0,27,272.79,16.29,2475,-50,-,40181.9,59
116,BANKNIFTY,2021-11-01,2021-12-30,CE,38100,0.0,0.0,0.0,2154.2,2177.1,3117.05,0,0.0,0.0,25,0,-,40181.9,59
117,BANKNIFTY,2021-11-01,2021-12-30,CE,38200,0.0,0.0,0.0,2093.95,2117.4,3055.7,0,0.0,0.0,100,0,-,40181.9,59
118,BANKNIFTY,2021-11-01,2021-12-30,CE,38300,0.0,0.0,0.0,2015.1,2015.1,2995.15,0,0.0,0.0,50,0,-,40181.9,59
119,BANKNIFTY,2021-11-01,2021-12-30,CE,38400,0.0,0.0,0.0,2217.15,0.0,2935.3,0,0.0,0.0,0,0,-,40181.9,59
120,BANKNIFTY,2021-11-01,2021-12-30,CE,38500,1973.15,2270.0,1828.75,2261.65,2270.0,2261.65,83,844.31,45.44,5350,-1525,-,40181.9,59
121,BANKNIFTY,2021-11-01,2021-12-30,CE,38600,1955.7,2222.85,1955.7,2209.65,2222.85,2209.65,18,183.23,9.53,500,300,-,40181.9,59
122,BANKNIFTY,2021-11-01,2021-12-30,CE,38700,1830.7,2068.95,1830.7,2068.95,2068.95,2068.95,3,30.47,1.44,100,0,-,40181.9,59
123,BANKNIFTY,2021-11-01,2021-12-30,CE,38800,1788.3,2109.25,1724.15,2084.0,2109.25,2084.0,16,162.82,7.62,175,75,-,40181.9,59
124,BANKNIFTY,2021-11-01,2021-12-30,CE,38900,1749.0,1904.3,1730.2,1904.3,1904.3,2647.65,6,61.05,2.7,25,0,-,40181.9,59
125,BANKNIFTY,2021-11-01,2021-12-30,CE,39000,1700.0,2006.35,1531.4,1964.9,1999.95,1964.9,251,2554.48,107.23,12575,450,-,40181.9,59
126,BANKNIFTY,2021-11-01,2021-12-30,PE,39000,937.65,1112.45,749.0,788.05,786.0,788.05,1115,11128.75,257.5,32650,-6325,-,40181.9,59
127,BANKNIFTY,2021-11-01,2021-12-30,PE,39100,1058.1,1082.15,793.9,794.05,794.15,794.05,9,90.02,2.04,350,-100,-,40181.9,59
128,BANKNIFTY,2021-11-01,2021-12-30,PE,39200,1194.8,1194.8,887.5,887.5,887.5,1676.75,17,171.2,4.6,375,300,-,40181.9,59
129,BANKNIFTY,2021-11-01,2021-12-30,PE,39300,1093.85,1375.05,847.2,872.8,847.2,872.8,47,474.48,12.7,375,325,-,40181.9,59
130,BANKNIFTY,2021-11-01,2021-12-30,PE,39400,1130.05,1287.55,900.0,923.25,900.0,923.25,80,810.66,22.66,700,450,-,40181.9,59
131,BANKNIFTY,2021-11-01,2021-12-30,PE,39500,1148.5,1345.45,915.2,932.5,925.7,932.5,691,7020.85,197.23,19250,4075,-,40181.9,59
132,BANKNIFTY,2021-11-01,2021-12-30,PE,39600,1281.3,1316.45,1222.75,1316.45,1316.45,1867.2,10,102.2,3.2,275,100,-,40181.9,59
133,BANKNIFTY,2021-11-01,2021-12-30,PE,39700,1223.9,1377.0,1001.0,1061.85,1001.0,1061.85,22,224.79,6.44,875,275,-,40181.9,59
134,BANKNIFTY,2021-11-01,2021-12-30,PE,39800,1336.45,1422.95,1039.95,1040.0,1040.0,1040.0,7,71.77,2.12,225,25,-,40181.9,59
135,BANKNIFTY,2021-11-01,2021-12-30,PE,39900,1440.35,1515.95,1084.75,1102.95,1085.95,1102.95,14,144.32,4.67,325,150,-,40181.9,59
136,BANKNIFTY,2021-11-01,2021-12-30,PE,40000,1375.1,1591.0,1117.9,1161.9,1126.05,1161.9,472,4872.79,152.79,25500,2700,-,40181.9,59
137,BANKNIFTY,2021-11-01,2021-12-30,PE,40100,1318.55,1318.55,1232.15,1276.2,1276.2,2122.3,7,72.42,2.24,200,75,-,40181.9,59
138,BANKNIFTY,2021-11-01,2021-12-30,PE,40200,1515.55,1515.55,1259.0,1259.0,1259.0,1259.0,3,31.18,1.03,100,0,-,40181.9,59
139,BANKNIFTY,2021-11-01,2021-12-30,PE,40300,1680.0,1680.0,1359.45,1378.3,1378.3,1378.3,14,146.07,5.02,500,150,-,40181.9,59
140,BANKNIFTY,2021-11-01,2021-12-30,PE,40400,1722.2,1747.4,1397.3,1443.5,1443.5,2284.5,18,188.63,6.83,250,200,-,40181.9,59
141,BANKNIFTY,2021-11-01,2021-12-30,PE,40500,1664.5,1829.65,1356.0,1386.95,1367.0,1386.95,81,853.97,33.85,6325,150,-,40181.9,59
142,BANKNIFTY,2021-11-01,2021-12-30,PE,40600,0.0,0.0,0.0,1662.1,1662.1,2396.35,0,0.0,0.0,150,0,-,40181.9,59
143,BANKNIFTY,2021-11-01,2021-12-30,PE,40700,0.0,0.0,0.0,1944.7,1921.9,2453.35,0,0.0,0.0,50,0,-,40181.9,59
144,BANKNIFTY,2021-11-01,2021-12-30,PE,40800,1893.5,1893.5,1855.4,1855.4,1855.4,2511.1,2,21.34,0.94,375,50,-,40181.9,59
145,BANKNIFTY,2021-11-01,2021-12-30,PE,40900,1925.65,1925.65,1890.95,1890.95,1890.95,2569.6,2,21.4,0.95,75,-25,-,40181.9,59
146,BANKNIFTY,2021-11-01,2021-12-30,PE,41000,2009.95,2198.45,1635.0,1673.35,1635.0,1673.35,154,1655.69,77.19,17175,25,-,40181.9,59
147,BANKNIFTY,2021-11-01,2021-12-30,PE,41100,1717.55,1717.55,1702.65,1710.1,1702.65,1710.1,2,21.41,0.86,825,50,-,40181.9,59
148,BANKNIFTY,2021-11-01,2021-12-30,PE,41200,1778.65,1778.65,1778.65,1778.65,1778.65,1778.65,1,10.74,0.44,75,0,-,40181.9,59
149,BANKNIFTY,2021-11-01,2021-12-30,PE,41300,1833.6,1833.6,1833.6,1833.6,1833.6,1833.6,1,10.78,0.46,225,0,-,40181.9,59
150,BANKNIFTY,2021-11-01,2021-12-30,PE,41400,0.0,0.0,0.0,2465.15,2465.15,2872.7,0,0.0,0.0,450,0,-,40181.9,59
151,BANKNIFTY,2021-11-01,2021-12-30,PE,41500,2377.4,2510.0,2010.0,2034.0,2010.0,2034.0,56,614.23,33.23,2300,-350,-,40181.9,59
152,BANKNIFTY,2021-11-01,2021-12-30,PE,41600,2171.65,2171.65,2171.6,2171.65,2171.6,2171.65,2,21.89,1.09,75,50,-,40181.9,59
153,BANKNIFTY,2021-11-01,2021-12-30,PE,41700,2101.4,2101.4,2101.4,2101.4,2101.4,2101.4,1,10.95,0.53,75,25,-,40181.9,59
154,BANKNIFTY,2021-11-01,2021-12-30,PE,41800,0.0,0.0,0.0,1660.85,1660.85,3127.7,0,0.0,0.0,25,0,-,40181.9,59
155,BANKNIFTY,2021-11-01,2021-12-30,PE,41900,0.0,0.0,0.0,4417.7,0.0,3193.15,0,0.0,0.0,0,0,-,40181.9,59
156,BANKNIFTY,2021-11-01,2021-12-30,PE,42000,2730.25,2911.2,2350.0,2369.75,2350.0,2369.75,53,592.54,36.04,5925,-200,-,40181.9,59
157,BANKNIFTY,2021-11-01,2021-12-30,PE,42100,0.0,0.0,0.0,2600.0,2600.0,3326.0,0,0.0,0.0,0,0,-,40181.9,59
158,BANKNIFTY,2021-11-01,2021-12-30,PE,42200,0.0,0.0,0.0,2650.0,2650.0,3393.4,0,0.0,0.0,0,0,-,40181.9,59
159,BANKNIFTY,2021-11-01,2021-12-30,PE,42300,0.0,0.0,0.0,2750.0,2750.0,3461.45,0,0.0,0.0,0,0,-,40181.9,59
160,BANKNIFTY,2021-11-01,2021-12-30,PE,42400,0.0,0.0,0.0,4614.05,0.0,3530.1,0,0.0,0.0,0,0,-,40181.9,59
161,BANKNIFTY,2021-11-01,2021-12-30,PE,42500,0.0,0.0,0.0,3114.2,3192.2,3599.45,0,0.0,0.0,300,0,-,40181.9,59
162,BANKNIFTY,2021-11-01,2021-12-30,PE,42600,0.0,0.0,0.0,4669.25,0.0,3669.35,0,0.0,0.0,0,0,-,40181.9,59
163,BANKNIFTY,2021-11-01,2021-12-30,PE,42700,0.0,0.0,0.0,4213.8,0.0,3739.9,0,0.0,0.0,0,0,-,40181.9,59
164,BANKNIFTY,2021-11-01,2021-12-30,PE,42800,0.0,0.0,0.0,4285.25,0.0,3811.05,0,0.0,0.0,0,0,-,40181.9,59
165,BANKNIFTY,2021-11-01,2021-12-30,PE,42900,0.0,0.0,0.0,4357.25,0.0,3882.8,0,0.0,0.0,0,0,-,40181.9,59
166,BANKNIFTY,2021-11-01,2021-12-30,PE,43000,3150.0,3150.0,3150.0,3150.0,3150.0,3150.0,1,11.54,0.79,400,0,-,40181.9,59
167,BANKNIFTY,2021-11-01,2021-12-30,PE,43100,0.0,0.0,0.0,4502.75,0.0,4028.05,0,0.0,0.0,0,0,-,40181.9,59
