,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
1525,72052,SBIN,OPTSTK,2021-11-25,490.0,PE,23.0,27.95,21.5,27.75,27.75,28,216.37,49500,13500,2021-10-19,491.55,37.0,45.7916259765625,-0.46233229272914006,-0.3846315564579511,0.005541919868727269,0.6215707472902675,7.5,-20.25
1061,72181,SBIN,OPTSTK,2021-12-30,495.0,PE,0.0,0.0,0.0,63.25,39.8,0,0.0,0,0,2021-10-19,493.05,72.0,71.441650390625,-0.44187756813043155,-0.4288128170005897,0.002522933097129435,0.8643283758207803,9.6,-53.65
1050,72117,SBIN,OPTSTK,2021-12-30,495.0,CE,0.0,0.0,0.0,26.0,36.75,0,0.0,0,0,2021-10-19,493.05,72.0,30.8837890625,0.5158766055799778,-0.18721680741211083,0.005894196548038933,0.8729246341109951,16.4,-9.600000000000001
520,71854,SBIN,OPTSTK,2021-10-28,490.0,CE,19.45,21.45,10.75,12.35,12.35,6380,48443.78,3505500,-352500,2021-10-19,489.5,9.0,41.07666015625,0.5065514444736159,-0.6996835089797321,0.01263365043340865,0.30660484844016456,19.35,7.000000000000002
526,71920,SBIN,OPTSTK,2021-10-28,490.0,PE,9.8,15.2,7.15,12.6,12.6,7222,54139.87,2229000,-94500,2021-10-19,489.5,9.0,40.283203125,-0.49382141333929874,-0.6861783107962109,0.012882687195102719,0.30660942120232143,7.5,-5.1
1476,74358,SBIN,OPTSTK,2021-11-25,505.0,CE,26.75,36.2,26.75,33.95,33.95,118,953.09,148500,54000,2021-10-20,504.2,36.0,54.3975830078125,0.5303456505375078,-0.4758893717837708,0.004618106838372169,0.6298815659421952,11.7,-22.250000000000004
1480,74424,SBIN,OPTSTK,2021-11-25,505.0,PE,0.0,0.0,0.0,100.75,29.35,0,0.0,0,0,2021-10-20,504.2,36.0,160.400390625,-0.40178677582610056,-1.3644481355104636,0.0015228718765312554,0.612468993211053,11.6,-89.15
1828,74552,SBIN,OPTSTK,2021-12-30,505.0,PE,0.0,0.0,0.0,70.15,39.5,0,0.0,0,0,2021-10-20,506.05,71.0,79.864501953125,-0.4277851443228306,-0.4925583009557194,0.002201334646239648,0.8757743055452104,11.6,-58.550000000000004
1826,74488,SBIN,OPTSTK,2021-12-30,505.0,CE,0.0,0.0,0.0,22.95,38.2,0,0.0,0,0,2021-10-20,506.05,71.0,25.2227783203125,0.5296113902483781,-0.15772200209633863,0.007067119534880416,0.8879483462630141,11.7,-11.25
1072,74225,SBIN,OPTSTK,2021-10-28,500.0,CE,8.95,18.7,6.8,13.9,13.9,40483,312188.68,10183500,-3001500,2021-10-20,501.95,8.0,43.45703125,0.5369167572982065,-0.8017600157392386,0.012300598079871798,0.2951918224240828,14.25,0.34999999999999964
1083,74291,SBIN,OPTSTK,2021-10-28,500.0,PE,20.35,23.0,9.6,11.9,11.9,14480,111192.4,3201000,1419000,2021-10-20,501.95,8.0,43.45703125,-0.4630832427017934,-0.8017600157392386,0.012300598079871798,0.2951918224240828,9.3,-2.5999999999999996
1094,76727,SBIN,OPTSTK,2021-11-25,505.0,CE,35.95,37.25,30.6,35.0,35.0,191,1545.69,202500,54000,2021-10-21,506.95,35.0,54.443359375,0.542666991009347,-0.4843020770940269,0.004641080558595953,0.6226865091677102,9.0,-26.0
994,76922,SBIN,OPTSTK,2021-12-30,510.0,PE,0.0,0.0,0.0,73.7,40.45,0,0.0,0,0,2021-10-21,508.5,70.0,82.3974609375,-0.43161741745973736,-0.515164640234407,0.0021421966388729236,0.8753067001363505,14.5,-59.2
1257,76661,SBIN,OPTSTK,2021-10-28,505.0,PE,12.0,19.2,10.9,11.6,11.6,1909,14867.18,1036500,255000,2021-10-21,504.8,7.0,41.259765625,-0.4913688801306472,-0.8217298513040621,0.013828011065508666,0.2788241218531368,11.15,-0.4499999999999993
990,76858,SBIN,OPTSTK,2021-12-30,510.0,CE,0.0,0.0,0.0,21.55,37.2,0,0.0,0,0,2021-10-21,508.5,70.0,25.0701904296875,0.5111952177517315,-0.15902381273746563,0.007143118285480082,0.8880400747527429,7.2,-14.350000000000001
1105,76793,SBIN,OPTSTK,2021-11-25,505.0,PE,32.1,37.55,32.1,32.3,32.3,20,161.67,24000,24000,2021-10-21,506.95,35.0,53.22265625,-0.45787477157039685,-0.47351213488931027,0.004748217752233516,0.6227770610801057,11.15,-21.15
1254,76595,SBIN,OPTSTK,2021-10-28,505.0,CE,12.75,13.65,7.6,11.7,11.7,9039,69977.6,4189500,106500,2021-10-21,504.8,7.0,42.48046875,0.5090476957517063,-0.8460218047667394,0.013430343589522335,0.2788176688077236,9.0,-2.6999999999999993
820,79152,SBIN,OPTSTK,2021-11-25,505.0,CE,34.95,37.0,28.2,31.05,31.05,202,1629.13,211500,9000,2021-10-22,504.75,34.0,50.7659912109375,0.5296040323319838,-0.4575572482761978,0.005087095654509248,0.6128885133651835,8.95,-22.1
668,79349,SBIN,OPTSTK,2021-12-30,505.0,PE,0.0,0.0,0.0,70.15,37.45,0,0.0,0,0,2021-10-22,507.0,69.0,81.48193359375,-0.4253231376522583,-0.5101284115262725,0.0021820454927796067,0.8639672340326666,6.35,-63.800000000000004
664,79284,SBIN,OPTSTK,2021-12-30,505.0,CE,0.0,0.0,0.0,22.95,39.05,0,0.0,0,0,2021-10-22,507.0,69.0,25.0091552734375,0.5361418042158204,-0.1587190269980655,0.007206723967626232,0.8758082984512754,8.95,-14.0
827,79219,SBIN,OPTSTK,2021-11-25,505.0,PE,32.55,32.9,28.35,29.95,29.95,10,80.5,31500,7500,2021-10-22,504.75,34.0,48.553466796875,-0.471797356693278,-0.4377273973148829,0.0053202672121976415,0.6130450610650897,6.35,-23.6
1835,79085,SBIN,OPTSTK,2021-10-28,505.0,PE,9.9,13.15,8.0,11.15,11.15,4246,32849.46,1237500,201000,2021-10-22,502.7,6.0,38.63525390625,-0.5268629884187759,-0.8259706516569656,0.015984614411982276,0.25654413567294265,6.35,-4.800000000000001
1834,79018,SBIN,OPTSTK,2021-10-28,505.0,CE,13.2,13.2,7.9,9.0,9.0,9558,73832.94,3595500,-594000,2021-10-22,502.7,6.0,39.0625,0.4736472481163349,-0.8351760597299456,0.01581113537438396,0.2565660855490393,8.95,-0.05000000000000071
38,81744,SBIN,OPTSTK,2021-12-30,510.0,CE,47.75,47.75,47.75,47.75,47.75,1,8.36,1500,1500,2021-10-25,511.85,66.0,54.13818359375,0.5520469955425089,-0.3530945289219804,0.0033567660349325544,0.8609169115729651,8.1,-39.65
1838,81545,SBIN,OPTSTK,2021-10-28,510.0,PE,10.45,16.8,6.15,9.3,9.3,7722,60059.22,1666500,861000,2021-10-25,508.3,3.0,45.8984375,-0.5236969486952523,-1.4038605170642582,0.018828286495028747,0.1835174258902724,4.35,-4.950000000000001
1836,81478,SBIN,OPTSTK,2021-10-28,510.0,CE,8.0,12.8,5.05,7.05,7.05,32209,250768.2,6204000,-3453000,2021-10-25,508.3,3.0,42.724609375,0.47335700781713563,-1.3061747290792785,0.0202175123171901,0.18343171509629916,8.1,1.0499999999999998
16,81612,SBIN,OPTSTK,2021-11-25,510.0,CE,28.95,36.25,27.3,32.0,32.0,2108,17172.29,1338000,444000,2021-10-25,510.15,31.0,53.955078125,0.5320765757860795,-0.5144890761710321,0.004957224469905597,0.5912014926325156,8.1,-23.9
20,81679,SBIN,OPTSTK,2021-11-25,510.0,PE,31.5,36.7,27.6,31.55,31.55,589,4773.05,744000,355500,2021-10-25,510.15,31.0,53.375244140625,-0.4682513344172283,-0.5089936733122924,0.005011407438557559,0.5912405320754867,4.35,-27.200000000000003
41,81809,SBIN,OPTSTK,2021-12-30,510.0,PE,0.0,0.0,0.0,73.7,37.6,0,0.0,0,0,2021-10-25,511.85,66.0,86.5478515625,-0.42314549019606484,-0.5587280766940967,0.0020783819279733577,0.8521540950136832,4.35,-69.35000000000001
62,84323,SBIN,OPTSTK,2021-12-30,520.0,CE,42.2,43.0,39.4,39.4,35.95,6,50.5,22500,1500,2021-10-26,518.1,65.0,46.2646484375,0.5314314300249775,-0.3094490165612206,0.003931753207037873,0.8695272418919192,2.95,-36.449999999999996
65,84388,SBIN,OPTSTK,2021-12-30,520.0,PE,0.0,0.0,0.0,81.05,39.85,0,0.0,0,0,2021-10-26,518.1,65.0,92.2393798828125,-0.42652824878016293,-0.6083554140008515,0.001944555324528731,0.857401729289458,3.35,-77.7
1844,84056,SBIN,OPTSTK,2021-10-28,515.0,CE,5.75,9.2,4.95,5.5,5.5,10223,80026.25,2214000,-141000,2021-10-26,513.95,2.0,39.55078125,0.4780402982238838,-1.498428313090882,0.026473231455563764,0.15154474988691982,6.1,0.5999999999999996
1845,84123,SBIN,OPTSTK,2021-10-28,515.0,PE,9.65,10.4,5.3,6.75,6.75,3354,26272.94,1231500,513000,2021-10-26,513.95,2.0,40.8935546875,-0.5208498483732263,-1.549532596970628,0.02560779056771526,0.151567415335921,1.6,-5.15
1401,84257,SBIN,OPTSTK,2021-11-25,515.0,PE,31.2,32.0,25.85,28.45,28.45,643,5242.88,583500,477000,2021-10-26,515.75,30.0,48.9349365234375,-0.46791221862116633,-0.47953845714804877,0.0054957854489973,0.5879706703022362,1.6,-26.849999999999998
1394,84190,SBIN,OPTSTK,2021-11-25,515.0,CE,31.65,33.85,28.7,29.65,29.65,1007,8249.0,715500,514500,2021-10-26,515.75,30.0,49.6978759765625,0.5324593317523482,-0.48697803816692503,0.005411007136334826,0.587926178249449,6.1,-23.549999999999997
1846,86646,SBIN,OPTSTK,2021-10-28,520.0,CE,3.8,9.85,2.0,2.95,2.95,19487,153601.32,2979000,-2577000,2021-10-27,519.55,1.0,29.1748046875,0.48043637268172007,-1.5806886325337843,0.05022252889015556,0.10835984332817372,0.05,-2.9000000000000004
1849,86715,SBIN,OPTSTK,2021-10-28,520.0,PE,9.1,9.25,1.7,3.35,3.35,8398,65935.89,1171500,472500,2021-10-27,519.55,1.0,28.74755859375,-0.5199439103854662,-1.5574668389850284,0.05096652631431025,0.10835472055172274,18.65,15.299999999999999
1864,86784,SBIN,OPTSTK,2021-11-25,520.0,CE,28.35,33.95,27.6,29.4,29.4,5816,48099.06,2581500,585000,2021-10-27,521.8,29.0,48.7060546875,0.5373717258739171,-0.4905807692768702,0.0055444609158328126,0.5841919408299124,0.05,-29.349999999999998
1865,86853,SBIN,OPTSTK,2021-11-25,520.0,PE,30.95,31.0,23.6,27.25,27.25,1610,13198.86,727500,367500,2021-10-27,521.8,29.0,48.0804443359375,-0.4628484052481511,-0.48430455506887005,0.005616895178978293,0.5842222255213018,18.65,-8.600000000000001
