,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl,positions,strategy_pnl
751,135859,KOTAKBANK,OPTSTK,2022-01-27,1980.0,PE,0.0,0.0,0.0,98.0,126.3,0,0.0,0,0,2021-11-26,1977.7,62.0,29.78515625,-0.4792998981796318,-0.7800329290019508,0.001641025026793538,3.2473921702607114,46.45,-51.55,1.0,-51.55
752,135923,KOTAKBANK,OPTSTK,2022-02-24,1980.0,CE,0.0,0.0,0.0,193.5,152.15,0,0.0,0,0,2021-11-26,1982.55,90.0,49.102783203125,0.5506057049018683,-1.0627465074521327,0.0008186382451083662,3.8957948788778545,88.65,-104.85,1.0,-104.85
753,135987,KOTAKBANK,OPTSTK,2022-02-24,1980.0,PE,0.0,0.0,0.0,119.0,148.65,0,0.0,0,0,2021-11-26,1982.55,90.0,30.670166015625,-0.46628995373737386,-0.6668045045452189,0.0013165605374700195,3.9134059710336238,46.45,-72.55,1.0,-72.55
748,135664,KOTAKBANK,OPTSTK,2021-12-30,1980.0,CE,61.85,66.65,52.0,56.7,56.7,1537,12523.01,90800,32000,2021-11-26,1970.2,34.0,25.57373046875,0.49020953812511875,-0.9019194897678218,0.00259347362151958,2.3981845503203045,88.65,31.950000000000003,1.0,31.950000000000003
373,138152,KOTAKBANK,OPTSTK,2021-12-30,2020.0,PE,98.7,107.7,57.05,64.9,64.9,870,7256.7,55600,26800,2021-11-29,2021.5,31.0,27.9541015625,-0.48012294531688837,-1.058357928095419,0.0024194511549628793,2.3473546948095008,91.7,26.799999999999997,1.0,26.799999999999997
350,138216,KOTAKBANK,OPTSTK,2022-01-27,2020.0,CE,0.0,0.0,0.0,212.55,131.6,0,0.0,0,0,2021-11-29,2027.7,59.0,64.46456909179688,0.5573560850056255,-1.7583802435935396,0.0007512527682951405,3.218649743063909,41.65,-170.9,1.0,-170.9
370,138085,KOTAKBANK,OPTSTK,2021-12-30,2020.0,CE,44.6,82.5,38.0,67.1,67.1,4209,35078.68,176000,80800,2021-11-29,2021.5,31.0,28.25927734375,0.5200150311886792,-1.0698935224550914,0.002393281718992279,2.347314037274431,41.65,-25.449999999999996,1.0,-25.449999999999996
354,138280,KOTAKBANK,OPTSTK,2022-01-27,2020.0,PE,0.0,0.0,0.0,114.7,119.1,0,0.0,0,0,2021-11-29,2027.7,59.0,36.529541015625,-0.4604346534436578,-1.0018730600790362,0.0013330293931911722,3.2363127978738877,91.7,-23.0,1.0,-23.0
190,138345,KOTAKBANK,OPTSTK,2022-02-24,2040.0,CE,0.0,0.0,0.0,163.35,151.9,0,0.0,0,0,2021-11-29,2040.0,87.0,41.18156433105469,0.5400373304174041,-0.9356481544498925,0.0009677638847678964,3.9532927298614777,34.85,-128.5,1.0,-128.5
196,138409,KOTAKBANK,OPTSTK,2022-02-24,2040.0,PE,0.0,0.0,0.0,148.25,153.15,0,0.0,0,0,2021-11-29,2040.0,87.0,37.36305236816406,-0.4636642754057286,-0.84965019825115,0.00106762317160576,3.9568270022196947,105.6,-42.650000000000006,1.0,-42.650000000000006
755,140697,KOTAKBANK,OPTSTK,2022-01-27,1980.0,PE,0.0,0.0,0.0,98.0,124.35,0,0.0,0,0,2021-11-30,1974.55,58.0,30.303955078125,-0.4850101739801795,-0.8197480220637278,0.001671353593555873,3.1378996673617037,71.7,-26.299999999999997,1.0,-26.299999999999997
321,140568,KOTAKBANK,OPTSTK,2021-12-30,1960.0,PE,37.1,64.2,28.75,58.25,58.25,1653,13259.47,203600,20000,2021-11-30,1967.55,30.0,27.587890625,-0.46487645271298544,-1.0306939780650735,0.002553665754754612,2.241622584506836,61.35,3.1000000000000014,1.0,3.1000000000000014
318,140501,KOTAKBANK,OPTSTK,2021-12-30,1960.0,CE,102.25,109.2,62.0,66.4,66.4,292,2379.79,103600,7600,2021-11-30,1967.55,30.0,27.862548828125,0.5350895836193693,-1.0409631509795798,0.002528511749058188,2.2416394653646576,64.4,-2.0,1.0,-2.0
208,140826,KOTAKBANK,OPTSTK,2022-02-24,2000.0,PE,0.0,0.0,0.0,128.35,158.35,0,0.0,0,0,2021-11-30,2000.0,86.0,33.176422119140625,-0.46791194980740636,-0.7446224015624183,0.0012346386552170403,3.8604239061343817,82.55,-45.8,1.0,-45.8
754,140633,KOTAKBANK,OPTSTK,2022-01-27,1980.0,CE,0.0,0.0,0.0,235.5,118.7,0,0.0,0,0,2021-11-30,1974.55,58.0,76.0498046875,0.5566518244552211,-2.0378739448000984,0.0006597322276675285,3.108402165767382,54.3,-181.2,1.0,-181.2
202,140762,KOTAKBANK,OPTSTK,2022-02-24,2000.0,CE,0.0,0.0,0.0,183.05,138.85,0,0.0,0,0,2021-11-30,2000.0,86.0,47.367095947265625,0.5457618803475366,-1.0595497546580468,0.000861848054711803,3.847450517212982,45.75,-137.3,1.0,-137.3
