,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
7509,BANKNIFTY,2021-11-18,2021-12-30,PE,33200,0.0,0.0,0.0,748.55,0.0,179.0,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7510,BANKNIFTY,2021-11-18,2021-12-30,PE,24000,0.0,0.0,0.0,3.05,3.05,0.05,0,0.0,0.0,375,0,-,38253.7,0.11506849315068493
7511,BANKNIFTY,2021-11-18,2021-12-30,PE,27000,0.0,0.0,0.0,2544.9,0.0,0.65,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7512,BANKNIFTY,2021-11-18,2021-12-30,PE,28500,0.0,0.0,0.0,3172.15,0.0,3.75,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7513,BANKNIFTY,2021-11-18,2021-12-30,PE,30000,24.5,51.0,16.2,19.6,16.2,19.6,317,2379.7,2.2,10200,2100,-,38253.7,0.11506849315068493
7514,BANKNIFTY,2021-11-18,2021-12-30,PE,31500,10.0,28.8,7.05,21.5,7.05,21.5,77,606.71,0.33,1625,1625,-,38253.7,0.11506849315068493
7716,BANKNIFTY,2021-11-23,2021-12-30,PE,37400,1085.05,1218.4,756.75,823.45,830.9,823.45,533,5102.15,118.6,7450,1500,-,37424.8,0.10136986301369863
7721,BANKNIFTY,2021-11-23,2021-12-30,PE,37000,872.4,1012.35,595.15,656.9,667.0,656.9,17200,162262.58,3162.58,228475,27825,-,37424.8,0.10136986301369863
7722,BANKNIFTY,2021-11-23,2021-12-30,PE,37100,912.8,1059.95,634.15,707.05,712.3,707.05,849,8043.18,168.71,5575,625,-,37424.8,0.10136986301369863
7723,BANKNIFTY,2021-11-23,2021-12-30,PE,37200,1006.25,1120.55,672.3,749.1,746.4,749.1,957,9097.71,197.61,4875,-1100,-,37424.8,0.10136986301369863
7724,BANKNIFTY,2021-11-23,2021-12-30,PE,37300,1020.55,1158.05,710.3,782.65,799.75,782.65,848,8093.12,185.52,6225,975,-,37424.8,0.10136986301369863
7725,BANKNIFTY,2021-11-23,2021-12-30,PE,36500,643.9,778.65,433.95,480.3,496.95,480.3,9508,88082.09,1321.59,123525,30550,-,37424.8,0.10136986301369863
7726,BANKNIFTY,2021-11-23,2021-12-30,PE,36600,710.7,812.65,469.55,510.9,524.15,510.9,531,4938.34,79.69,3525,1325,-,37424.8,0.10136986301369863
7727,BANKNIFTY,2021-11-23,2021-12-30,PE,36700,763.4,868.8,494.45,555.3,556.8,555.3,641,5984.94,103.77,3750,950,-,37424.8,0.10136986301369863
7728,BANKNIFTY,2021-11-23,2021-12-30,PE,36800,813.5,920.05,530.35,579.3,599.95,579.3,716,6711.33,124.13,7825,2425,-,37424.8,0.10136986301369863
7729,BANKNIFTY,2021-11-23,2021-12-30,PE,36900,834.15,952.55,567.5,618.6,632.05,618.6,331,3115.62,62.15,2425,750,-,37424.8,0.10136986301369863
7730,BANKNIFTY,2021-11-23,2021-12-30,PE,36000,475.0,585.7,314.6,347.0,354.35,347.0,13026,118553.6,1319.6,269450,6675,-,37424.8,0.10136986301369863
7731,BANKNIFTY,2021-11-23,2021-12-30,PE,36100,611.05,611.05,338.0,377.55,378.7,377.55,56,511.46,6.06,1075,-250,-,37424.8,0.10136986301369863
7732,BANKNIFTY,2021-11-23,2021-12-30,PE,36200,567.75,625.3,360.0,391.5,404.15,391.5,95,870.09,10.34,2100,625,-,37424.8,0.10136986301369863
7733,BANKNIFTY,2021-11-23,2021-12-30,PE,36300,664.1,679.45,386.4,419.0,408.15,419.0,177,1626.78,20.51,1775,425,-,37424.8,0.10136986301369863
7734,BANKNIFTY,2021-11-23,2021-12-30,PE,36400,650.15,736.4,415.65,453.55,458.85,453.55,106,979.19,14.59,2300,225,-,37424.8,0.10136986301369863
7735,BANKNIFTY,2021-11-23,2021-12-30,PE,35600,417.75,417.75,242.75,263.35,273.2,263.35,302,2709.6,21.8,1400,425,-,37424.8,0.10136986301369863
7736,BANKNIFTY,2021-11-23,2021-12-30,PE,35700,387.65,387.65,258.45,281.65,284.3,281.65,71,638.79,5.12,2100,225,-,37424.8,0.10136986301369863
7737,BANKNIFTY,2021-11-23,2021-12-30,PE,35800,436.05,500.0,277.15,306.5,318.75,306.5,125,1128.89,10.14,1700,350,-,37424.8,0.10136986301369863
7738,BANKNIFTY,2021-11-23,2021-12-30,PE,35900,483.25,560.45,301.15,329.8,329.8,329.8,56,508.13,5.53,1525,-75,-,37424.8,0.10136986301369863
7739,BANKNIFTY,2021-11-23,2021-12-30,PE,35100,291.1,321.85,171.0,189.7,190.0,189.7,130,1147.3,6.55,900,525,-,37424.8,0.10136986301369863
7740,BANKNIFTY,2021-11-23,2021-12-30,PE,35200,378.15,378.15,186.0,205.35,206.55,205.35,354,3134.72,19.52,3200,2825,-,37424.8,0.10136986301369863
7741,BANKNIFTY,2021-11-23,2021-12-30,PE,35300,348.25,376.7,190.75,214.0,218.05,214.0,139,1234.64,7.97,1725,750,-,37424.8,0.10136986301369863
7742,BANKNIFTY,2021-11-23,2021-12-30,PE,35400,394.3,394.35,204.3,226.95,237.85,226.95,130,1158.42,7.92,1725,975,-,37424.8,0.10136986301369863
7743,BANKNIFTY,2021-11-23,2021-12-30,PE,35500,343.2,435.6,227.95,245.45,254.0,245.45,15016,134372.75,1105.75,173075,83025,-,37424.8,0.10136986301369863
7744,BANKNIFTY,2021-11-23,2021-12-30,PE,34700,0.0,0.0,0.0,170.0,170.0,479.55,0,0.0,0.0,125,0,-,37424.8,0.10136986301369863
7745,BANKNIFTY,2021-11-23,2021-12-30,PE,34800,0.0,0.0,0.0,1196.5,0.0,504.2,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7746,BANKNIFTY,2021-11-23,2021-12-30,PE,34900,860.8,860.8,150.0,150.0,150.0,150.0,30,263.56,1.81,325,325,-,37424.8,0.10136986301369863
7747,BANKNIFTY,2021-11-23,2021-12-30,PE,35000,250.05,321.7,163.2,179.2,182.05,179.2,17426,153401.27,923.77,225125,28525,-,37424.8,0.10136986301369863
