,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
43,32559,124856,AXISBANK,OPTSTK,2021-11-25,980,CE,0.1,0.35,0.1,0.25,0.25,27,317.57,154800,-26400,2021-11-22,686.25,3.0,293.75,158.203125,0.007920451915986018,-0.35643148544838715,0.00022075171687714216,0.013517994114783272,153.90943623990097
44,32560,124857,AXISBANK,OPTSTK,2021-11-25,990,CE,0.3,0.3,0.15,0.2,0.2,5,59.41,10800,-1200,2021-11-22,686.25,3.0,303.75,156.25,0.005931919187397778,-0.27270521130993336,0.00017314562820611328,0.010471880114301437,156.95787771097818
45,32561,124858,AXISBANK,OPTSTK,2021-11-25,1000,CE,0.2,0.2,0.1,0.15,0.15,99,1188.16,310800,-84000,2021-11-22,686.25,3.0,313.75,157.2265625,0.0050824889471808715,-0.2391994271614712,0.00014999142862786888,0.00912820671105639,159.95989433984212
46,32562,124859,AXISBANK,OPTSTK,2021-11-25,1010,CE,0.1,0.15,0.05,0.15,0.15,27,327.27,102000,-28800,2021-11-22,686.25,3.0,323.75,161.1328125,0.005048712566137612,-0.24369116644450095,0.00014548893232126664,0.009074172888697052,162.9170337380004
0,35048,127363,AXISBANK,OPTSTK,2021-11-25,490,PE,0.0,0.0,0.0,0.3,0.0,0,0.0,1200,0,2021-11-23,686.05,2.0,196.04999999999995,195.3125,-0.008195672951044413,-0.5552002097590621,0.00022573602136261804,0.011370500295865593,170.53384607772193
1,35049,127364,AXISBANK,OPTSTK,2021-11-25,500,PE,0.05,0.05,0.05,0.05,0.0,1,6.0,18000,-1200,2021-11-23,686.05,2.0,186.04999999999995,152.34375,-0.002107626046021639,-0.12860243716926656,8.594314425221645e-05,0.0033766383502904862,163.3258168835772
2,35054,127369,AXISBANK,OPTSTK,2021-11-25,550,PE,0.0,0.0,0.0,0.5,0.0,0,0.0,3600,0,2021-11-23,686.05,2.0,136.04999999999995,144.53125,-0.017025404896952076,-0.774600891057334,0.0005751297028291623,0.021437603038992163,128.19228821584744
3,35055,127370,AXISBANK,OPTSTK,2021-11-25,560,PE,0.0,0.0,0.0,0.4,0.0,0,0.0,1200,0,2021-11-23,686.05,2.0,126.04999999999995,132.8125,-0.01725140802764786,-0.7198621545238777,0.0006329694671049449,0.02168055430095444,121.29661738884418
4,35057,127372,AXISBANK,OPTSTK,2021-11-25,580,PE,0.0,0.0,0.0,0.4,0.0,0,0.0,1200,0,2021-11-23,686.05,2.0,106.04999999999995,109.375,-0.017234378202100834,-0.5923276583699824,0.0007679575297080512,0.021662268648959357,107.57530205670717
5,35059,127374,AXISBANK,OPTSTK,2021-11-25,600,PE,0.4,0.45,0.1,0.25,0.25,88,633.83,308400,-4800,2021-11-23,686.05,2.0,86.04999999999995,85.44921875,-0.015759649183537765,-0.4286424300264115,0.0009105216743836154,0.020065364495864935,93.8928083129917
6,35061,127376,AXISBANK,OPTSTK,2021-11-25,620,PE,0.0,0.0,0.0,0.6,0.05,0,0.0,4800,0,2021-11-23,686.05,2.0,66.04999999999995,78.125,-0.037588169808641436,-0.8125104045881066,0.0020647153813108826,0.041600532714911063,80.1874538372898
