,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1709,952,2878,ICICIBANK,2021-11-12,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,783.05,0.13150684931506848,0.7213441488033109,1.8765405583901134,-0.7381899637579008,1.7909100191843985,0.8,0.8710976743092611
1744,987,2991,ICICIBANK,2021-11-15,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,779.05,0.1232876712328767,0.7393759169533655,1.56951261032576,-0.5263970212185086,2.700032312846169,0.8,0.9256260918779774
1640,883,2654,ICICIBANK,2021-11-10,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,784.45,0.136986301369863,0.7086293598115015,1.8855677013007621,-0.7815079196940898,1.6571891087349386,0.8,0.8543766672485684
1503,746,2267,ICICIBANK,2021-11-04,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,785.35,0.15342465753424658,0.6707190714592646,1.8324845981301903,-0.8399996968293072,1.4214583164700683,0.8,0.8014782134281322
1674,917,2766,ICICIBANK,2021-11-11,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,777.15,0.13424657534246576,0.7059816257794218,1.8952929404195844,-0.7275067957529926,1.628618760822919,0.8,0.8413584151545808
863,106,342,ICICIBANK,2021-10-06,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.9,0,0.0,0.0,0,0,-,697.3,0.2328767123287671,0.4476480004979526,1.615696901667026,0.3907624325380071,1.0923355090135454,0.8,0.45546340029889304
837,80,256,ICICIBANK,2021-10-05,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.8,0,0.0,0.0,0,0,-,705.65,0.2356164383561644,0.45484971424280535,1.6310603552868763,0.1956193106972016,0.5207999807134676,0.8,0.4595526687032985
1065,308,950,ICICIBANK,2021-10-18,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.15,0,0.0,0.0,0,0,-,751.75,0.2,0.5495481165374384,1.803852327397941,-1.6157060470437514,0.3715676166130762,0.8,0.6236382252189547
1483,726,2190,ICICIBANK,2021-11-03,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,790.7,0.15616438356164383,0.671417063406953,1.823768809414269,-0.8833172597107646,1.424395934713113,0.8,0.806459482759018
1033,276,858,ICICIBANK,2021-10-14,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.3,0,0.0,0.0,0,0,-,733.15,0.21095890410958903,0.513696775617103,1.7307603575360497,-0.9842297455674816,0.3282661606911952,0.8,0.5567149675255582
