,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
17,HDFCBANK,2021-10-13,2021-12-30,PE,1640,0.0,0.0,0.0,121.95,0.0,92.15,0,0.0,0.0,0,0,1639.4,1647.5,78.0,41.5191650390625,-0.4523449260130224,-0.8028733353375773,0.001252627165233578,3.016636779540838,121.95,0.0
16,HDFCBANK,2021-10-13,2021-12-30,CE,1640,0.0,0.0,0.0,92.6,0.0,105.1,0,0.0,0.0,0,0,1639.4,1647.5,78.0,29.327392578125,0.5404001438340318,-0.5682646879281021,0.0017769523328571269,3.022747115367717,92.6,0.0
18,HDFCBANK,2021-10-14,2021-12-30,CE,1700,0.0,0.0,0.0,69.9,0.0,102.1,0,0.0,0.0,0,0,-,1698.25,77.0,22.735595703125,0.5168900088751774,-0.4589937635780538,0.002247572567731076,3.109003191031614,84.0,14.099999999999994
19,HDFCBANK,2021-10-14,2021-12-30,PE,1700,0.0,0.0,0.0,158.7,0.0,101.0,0,0.0,0.0,0,0,-,1698.25,77.0,50.811767578125,-0.45530199458679194,-1.0202740229456888,0.0010002483349559502,3.0922403809718837,99.8,-58.89999999999999
20,HDFCBANK,2021-10-18,2021-12-30,CE,1680,0.0,0.0,0.0,76.9,0.0,99.3,0,0.0,0.0,0,0,-,1677.4,73.0,26.123046875,0.5180082830686075,-0.5349213236653725,0.002033723157788624,2.9896402831128164,76.9,0.0
21,HDFCBANK,2021-10-18,2021-12-30,PE,1680,0.0,0.0,0.0,145.9,0.0,96.05,0,0.0,0.0,0,0,-,1677.4,73.0,48.370361328125,-0.4597754160215031,-0.9864454630119909,0.0010938656867629812,2.97746458048494,145.9,0.0
22,HDFCBANK,2021-10-19,2021-12-30,CE,1700,85.0,90.8,85.0,89.9,89.9,89.9,3,29.51,1.46,4950,1100,-,1694.25,72.0,30.853271484375,0.5174645050501823,-0.642583680357699,0.0017167028251327424,2.9991001122318455,80.0,-9.900000000000006
25,HDFCBANK,2021-10-19,2021-12-30,PE,1700,99.0,99.0,99.0,99.0,99.0,97.15,1,9.89,0.54,2200,550,-,1694.25,72.0,31.982421875,-0.4811882961675703,-0.66599818824733,0.0016558394443132605,2.99863904873888,99.0,0.0
41,HDFCBANK,2021-10-20,2021-12-30,PE,1680,0.0,0.0,0.0,145.9,0.0,92.95,0,0.0,0.0,0,0,1673.85,1686.75,71.0,50.506591796875,-0.4485288051639122,-1.046811350810023,0.0010529159856424804,2.9431249768910472,145.9,0.0
40,HDFCBANK,2021-10-20,2021-12-30,CE,1680,0.0,0.0,0.0,76.9,0.0,99.35,0,0.0,0.0,0,0,1673.85,1686.75,71.0,24.810791015625,0.5363955856146757,-0.5163966963247952,0.0021524033354668646,2.9555015328588765,76.9,0.0
44,HDFCBANK,2021-10-21,2021-12-30,PE,1700,99.0,99.0,99.0,99.0,99.0,101.5,2,19.79,1.09,3300,1100,-,1691.25,70.0,31.951904296875,-0.4868037670543413,-0.6739869603145521,0.00168486551616216,2.953131480594282,80.0,-19.0
42,HDFCBANK,2021-10-21,2021-12-30,CE,1700,75.15,76.25,75.15,76.25,76.25,90.35,2,19.53,0.83,6050,550,-,1691.25,70.0,27.2064208984375,0.5064867361040221,-0.5741249559946036,0.0019795698970038293,2.954357507711008,75.15,-1.0999999999999943
51,HDFCBANK,2021-10-22,2021-12-30,PE,1700,98.0,98.0,80.0,80.0,80.0,80.0,2,19.68,0.98,4400,1100,-,1695.4,69.0,26.397705078125,-0.48652651324357005,-0.5622114262002534,0.0020490182440368403,2.939087946699106,95.65,15.650000000000006
50,HDFCBANK,2021-10-22,2021-12-30,CE,1700,90.0,95.75,75.15,75.15,75.15,75.15,9,88.41,4.26,7700,1650,-,1695.4,69.0,26.308059692382812,0.5133637090620564,-0.5603073720249278,0.002056019369885313,2.9391151701631504,64.4,-10.75
