instrument_token,exchange,tradingsymbol
731905,NSE,RAYMOND
733697,NSE,RCF
734209,NSE,HITECH
738561,NSE,RELIANCE
744705,NSE,RICOAUTO
745473,NSE,RIIL
752385,NSE,RUBYMILLS
756481,NSE,KALYANKJIL
758529,NSE,SAIL
760065,NSE,SAKHTISUG
760321,NSE,SURYODAY
760833,NSE,ORIENTELEC
762625,NSE,ORTINGLOBE
764673,NSE,NAZARA
764929,NSE,SANDESH
767233,NSE,SANGHIIND
768257,NSE,BSE500IETF
768513,NSE,WONDERLA
770305,NSE,KOHINOOR
770561,NSE,AXISTECETF
772609,NSE,SAURASHCEM
773377,NSE,SOTL
773633,NSE,SDL26BEES
774145,NSE,JINDALSAW
779521,NSE,SBIN
780289,NSE,SCI
784129,NSE,VEDL
784897,NSE,SESHAPAPER
787969,NSE,SHANTIGEAR
790529,NSE,INDOSTAR
793345,NSE,SHREDIGCEM
794369,NSE,SHREECEM
800513,NSE,BARBEQUE
801025,NSE,TRANSWORLD
803329,NSE,HONDAPOWER
806145,NSE,BORORENEW
806401,NSE,SIEMENS
809473,NSE,SIMPLEXINF
812033,NSE,GILT5YBEES
815617,NSE,SKFINDIA
824321,NSE,LODHA
828673,NSE,JTEKTINDIA
831233,NSE,NITIRAJ
832513,NSE,SPIC
837889,NSE,SRF
842497,NSE,STARPAPER
842753,NSE,DEEPINDS
848897,NSE,MODISONLTD
850177,NSE,SPMLINFRA
850945,NSE,SUBROS
851713,NSE,SUDARSCHEM
852225,NSE,ISGEC
854785,NSE,SUNDARMFIN
856321,NSE,SUNDRMFAST
857089,NSE,SUNFLAG
857857,NSE,SUNPHARMA
859393,NSE,SUPERSPIN
860929,NSE,SUPREMEIND
864001,NSE,SURYAROSNI
866305,NSE,SWARAJENG
867073,NSE,SMLISUZU
867585,NSE,AGARIND
869377,NSE,TAINWALCHM
871169,NSE,AJOONI
871681,NSE,TATACHEM
873217,NSE,TATAELXSI
874753,NSE,HONAUT
877057,NSE,TATAPOWER
878593,NSE,TATACONSUM
884737,NSE,TATAMOTORS
887297,NSE,TFCILTD
889601,NSE,THERMAX
891137,NSE,THOMASCOOK
891393,NSE,CLSEL
894977,NSE,TIRUMALCHM
895745,NSE,TATASTEEL
897537,NSE,TITAN
897793,NSE,MAFANG
898305,NSE,TNPETRO
900609,NSE,TORNTPHARM
903681,NSE,AXISBPSETF
907777,NSE,TTKPRESTIG
912129,NSE,ADANIGREEN
913921,NSE,UCAL
916225,NSE,UNICHEMLAB
918017,NSE,MOKSH
923393,NSE,UNIVCABLES
923649,NSE,AXISHCETF
928257,NSE,HEALTHIETF
931073,NSE,JUBLPHARMA
933377,NSE,VARDMNPOLY
940033,NSE,SOLARA
941057,NSE,VESUVIUS
945665,NSE,VINDHYATEL
947969,NSE,VIPIND
951041,NSE,VLSFINANCE
951809,NSE,VOLTAS
952577,NSE,TATACOMM
953345,NSE,VSTIND
954113,NSE,ANMOL
958465,NSE,FINEORG
959489,NSE,WEIZMANIND
961793,NSE,VENKEYS
962817,NSE,RITES
964097,NSE,WHEELS
965633,NSE,WILLAMAGOR
969473,NSE,WIPRO
972545,NSE,WSTCSTPAPR
975873,NSE,ZEEL
976129,NSE,ARIHANTCAP
978177,NSE,ZODIACLOTH
979713,NSE,ZUARIIND
981505,NSE,BHARATRAS
982273,NSE,TOKYOPLAST
987393,NSE,VARROC
993281,NSE,SOMANYCERA
996353,NSE,HATSUN
999937,NSE,CAPLIPOINT
1000449,NSE,PREMIERPOL
1003009,NSE,NATCOPHARM
1014529,NSE,GOCLCORP
1015041,NSE,REMSONSIND
1016833,NSE,PARASPETRO
1018881,NSE,TNPL
1020673,NSE,GREENPLY
1025793,NSE,CORALFINAC
1026561,NSE,PVP
1027585,NSE,NAVA
1034241,NSE,EIMCOELECO
1034497,NSE,JAYAGROGN
1038081,NSE,PANACEABIO
1041153,NSE,MARICO
1050881,NSE,SILINV
1056513,NSE,SAMBHAAV
1057281,NSE,REGENCERAM
1069057,NSE,ZENITHEXPO
1069825,NSE,SUNDRMBRAK
1071105,NSE,SANGAMIND
1076225,NSE,MOTHERSON
1084161,NSE,WENDT
1086465,NSE,HDFCAMC
1095425,NSE,DENORA
1100545,NSE,STERTOOLS
1102337,NSE,SHRIRAMFIN
1112065,NSE,PUNJABCHEM
1120769,NSE,SENSEXIETF
1124097,NSE,GULFOILLUB
1124865,NSE,MIRZAINT
1128961,NSE,JAGSNPHARM
1131777,NSE,CREDITACC
1132033,NSE,INDIANCARD
1144065,NSE,ELECTHERM
1147137,NSE,AARTIDRUGS
1148673,NSE,ALKYLAMINE
1149697,NSE,JCHAC
1152769,NSE,MPHASIS
1158401,NSE,DYNAMATECH
1159425,NSE,NEXT50IETF
1164289,NSE,GUJRAFFIA
1174273,NSE,RAMCOIND
1176065,NSE,KOTHARIPET
1177089,NSE,HERITGFOOD
1191937,NSE,SBCL
1195009,NSE,BANKBARODA
1199105,NSE,SONACOMS
1201409,NSE,SHYAMMETL
1207553,NSE,GAIL
1214721,NSE,BANKINDIA
1215233,NSE,INDNIPPON
1215745,NSE,CONCOR
1216257,NSE,INDRAMEDCO
1231105,NSE,KCPSUGIND
1234433,NSE,DODLA
1238529,NSE,LIQUIDIETF
1239809,NSE,SNOWMAN
1240833,NSE,KIMS
1252353,NSE,SAREGAMA
1253889,NSE,FDC
1256193,NSE,ENGINERSIN
1257217,NSE,MADRASFERT
1259521,NSE,HINDCON
1263105,NSE,IPL
1267969,NSE,ADROITINFO
1268993,NSE,GANGAFORGE
1270529,NSE,ICICIBANK
1273089,NSE,PHARMABEES
1276417,NSE,IRCON
1277953,NSE,SHARDACROP
1285121,NSE,SVPGLOB
1292545,NSE,CLEAN
1293825,NSE,GRINFRA
1304833,NSE,ETERNAL
1307649,NSE,KPIGREEN
1309185,NSE,SGIL
1316353,NSE,CIGNITITEC
1316609,NSE,JAICORPLTD
1321473,NSE,TATVA
1323009,NSE,SBIETFCON
1327617,NSE,STYLAMIND
1329665,NSE,ANTGRAPHIC
1332225,NSE,GMDCLTD
1336321,NSE,BFSI
1341185,NSE,MAHAPEXLTD
1346049,NSE,INDUSINDBK
1347585,NSE,PDSL
1347841,NSE,ALIVUS
1351425,NSE,ROLEXRINGS
1354753,NSE,PRITIKAUTO
1358337,NSE,FMCGIETF
1360129,NSE,UGROCAP
1371905,NSE,KRSNAA
1373697,NSE,WINDLAS
1375489,NSE,DEVYANI
1376769,NSE,ASAHIINDIA
1377793,NSE,EPIGRAL
1378561,NSE,AAVAS
1380865,NSE,MOL
1382657,NSE,NGIL
1384193,NSE,CARTRADE
1389057,NSE,NUVOCO
1389569,NSE,TRIGYN
1391361,NSE,APTUS
1394945,NSE,CHEMPLASTS
1401601,NSE,GRSE
1408257,NSE,YUKEN
1409793,NSE,SERVOTECH
1412097,NSE,JAIPURKURT
1415169,NSE,KOTHARIPRO
1427969,NSE,ACUTAAS
1429761,NSE,VIJAYA
1435137,NSE,INTLCONV
1436161,NSE,ASTRAZEN
1437185,NSE,GANESHBE
1439233,NSE,ITDCEM
1442049,NSE,J&KBANK
1459457,NSE,CUB
1467393,NSE,AXISCETF
1471489,NSE,CYIENT
1472257,NSE,SANSERA
1480193,NSE,MASPTOP50
1497857,NSE,BANKNIFTY1
1501441,NSE,LAGNAM
1510401,NSE,AXISBANK
1513217,NSE,PARAS
1517057,NSE,INTELLECT
1520129,NSE,MONTECARLO
1522689,NSE,SOUTHBANK
1524993,NSE,BSLSENETFG
1537537,NSE,COASTCORP
1540609,NSE,ABSLAMC
1547521,NSE,PASUPTAC
1551873,NSE,LICNETFGSC
1552897,NSE,ATGL
1553409,NSE,AIROLAM
1568001,NSE,GOODLUCK
1577985,NSE,BHAGCHEM
1586689,NSE,FCL
1591809,NSE,SIKKO
1594113,NSE,DTIL
1595393,NSE,3IINFOLTD
1607169,NSE,MEDICAMEQ
1609217,NSE,GULPOLY
1612033,NSE,HEALTHY
1613313,NSE,APOLSINHOT
1626369,NSE,NIFTYETF
1629185,NSE,NATIONALUM
1634561,NSE,CCHHL
1640193,NSE,LAMBODHARA
1649921,NSE,TECHNOE
1650177,NSE,CONSUMIETF
1654273,NSE,TECH
1675009,NSE,GRPLTD
1675521,NSE,NYKAA
1681409,NSE,LAXMICOT
1684225,NSE,FINOPB
1688577,NSE,SONATSOFTW
1689601,NSE,GENUSPAPER
1691137,NSE,EQUAL50ADD
1700609,NSE,SJS
1703937,NSE,POLICYBZR
1705729,NSE,SIGACHI
1716481,NSE,PAYTM
1718017,NSE,IVC
1718529,NSE,MOLDTKPAC
1719809,NSE,SAPPHIRE
1723649,NSE,JINDALSTEL
1736193,NSE,NIPPOBATRY
1738753,NSE,SBC
1741569,NSE,STEELCAS
1745409,NSE,LATENTVIEW
1751809,NSE,SMLT
1753089,NSE,GREENLAM
1756929,NSE,BAJAJHCARE
1768449,NSE,VISHNU
1769729,NSE,RPPL
1777409,NSE,TARSONS
1777665,NSE,GANECOS
1782017,NSE,MENONBE
1782785,NSE,GOCOLORS
1785089,NSE,DMCC
1790465,NSE,BSOFT
1796097,NSE,SHIVALIK
1799681,NSE,ASIANENE
1804289,NSE,HESTERBIO
1805569,NSE,ACCELYA
1810945,NSE,MAHKTECH
1813249,NSE,STARHEALTH
1818881,NSE,TEGA
1819905,NSE,JMA
1829121,NSE,ANANDRATHI
1835265,NSE,MICEL
1837313,NSE,RATEGAIN
1842177,NSE,BBETF0432
1843201,NSE,SHRIRAMPPS
1846017,NSE,JETFREIGHT
1847809,NSE,SBIETFQLTY
1850113,NSE,MAPMYINDIA
1850625,NSE,HCLTECH
1853953,NSE,METROBRAND
1857025,NSE,MEDPLUS
1862657,NSE,UDAICEMENT
1865473,NSE,JTLIND
1875201,NSE,DCMSRIND
1878785,NSE,ABSLNN50ET
1882369,NSE,SETFNN50
1883649,NSE,DATAPATTNS
1884417,NSE,SETFNIFBK
1887745,NSE,STAR
1888257,NSE,HPAL
1891841,NSE,SUPRIYA
1894657,NSE,RAJESHEXPO
1895937,NSE,GLENMARK
1897217,NSE,NILASPACES
1897473,NSE,ALPHA
1897729,NSE,MANAKCOAT
1899521,NSE,MANAKALUCO
1900033,NSE,MONQ50
1907457,NSE,NIFTY50ADD
1908737,NSE,MIDQ50ADD
1921537,NSE,WOCKPHARMA
1922049,NSE,ZENTEC
1924609,NSE,TREJHARA
1933569,NSE,NRBBEARING
1935361,NSE,UNITEDPOLY
1946369,NSE,CMSINFO
1952513,NSE,SHREERAMA
1964033,NSE,IMAGICAA
1965825,NSE,MONARCH
1991681,NSE,BCONCEPTS
2005761,NSE,WEL
2006529,NSE,NETF
2008065,NSE,AUTOIETF
2009089,NSE,BIL
2010113,NSE,INOXWIND
2012673,NSE,GEPIL
2017281,NSE,AUTOBEES
2018817,NSE,MHLXMIRU
2022913,NSE,LFIC
2029825,NSE,ZYDUSLIFE
2031617,NSE,AVANTIFEED
2033153,NSE,SILVERIETF
2039041,NSE,MALLCOM
2042625,NSE,MAKEINDIA
2043393,NSE,GRWRHITECH
2048769,NSE,SILVER
2060801,NSE,MAHLIFE
2061825,NSE,KTKBANK
2067201,NSE,DALBHARAT
2067713,NSE,MIDCAP
2068481,NSE,SILVERBEES
2069249,NSE,CROWN
2076161,NSE,AWL
2078465,NSE,RPSGVENT
2079745,NSE,AJANTPHARM
2081793,NSE,BLBLIMITED
2085377,NSE,DEVIT
2087169,NSE,MEGASTAR
2088705,NSE,FIBERWEB
2089729,NSE,SPENCERS
2090753,NSE,MANYAVAR
2092801,NSE,SAGARDEEP
2094593,NSE,MOMOMENTUM
2116097,NSE,SOFTTECH
2125825,NSE,PRITI
2127617,NSE,BLUESTARCO
2135553,NSE,GSEC5IETF
2153729,NSE,MIDCAPETF
2168065,NSE,MITCON
2170113,NSE,XELPMOC
2170625,NSE,TVSMOTOR
2177537,NSE,MID150BEES
2178561,NSE,GATEWAY
2183425,NSE,GMRP&UI
2187777,NSE,CHALET
2197761,NSE,NLCINDIA
2199297,NSE,AKSHOPTFBR
2200577,NSE,MSUMI
2205185,NSE,INDOBORAX
2209793,NSE,LOWVOL1
2214913,NSE,VETO
2215425,NSE,MOLOWVOL
2223873,NSE,MUKTAARTS
2226177,NSE,VRLLOG
2234113,NSE,SHAILY
2236417,NSE,PNBGILTS
2252033,NSE,OBCL
2254337,NSE,SONAMLTD
2259201,NSE,PRIVISCL
2259713,NSE,AVROIND
2259969,NSE,GAEL
2261249,NSE,BCG
2263041,NSE,USHAMART
2269697,NSE,CHOICEIN
2273793,NSE,TNIDETF
2275841,NSE,VERANDA
2287873,NSE,E2E
2289665,NSE,RITCO
2291969,NSE,ELDEHSG
2295809,NSE,HARIOMPIPE
2307585,NSE,ANUP
2313985,NSE,UFO
2315777,NSE,AGROPHOS
2316545,NSE,ROTO
2326273,NSE,PIXTRANS
2332417,NSE,ARVINDFASN
2333697,NSE,INDOAMIN
2333953,NSE,TIPSMUSIC
2347009,NSE,UTISXN50
2360065,NSE,TPLPLASTEH
2368769,NSE,NILAINFRA
2377729,NSE,KRITIKA
2382081,NSE,STARTECK
2383105,NSE,STLTECH
2393089,NSE,IOB
2394625,NSE,TAJGVK
2395137,NSE,MSTCLTD
2396673,NSE,CAMPUS
2402561,NSE,PNCINFRA
2408449,NSE,RAINBOW
2412033,NSE,SILVERTUC
2413569,NSE,SKIPPER
2426881,NSE,LICI
2445313,NSE,RVNL
2445569,NSE,PRUDENT
2451457,NSE,MAHESHWARI
2452737,NSE,METROPOLIS
2455041,NSE,POLYCAB
2455553,NSE,VENUSPIPES
2457345,NSE,DELHIVERY
2461953,NSE,SPLPETRO
2468097,NSE,KHANDSE
2470913,NSE,RELCHEMQ
2474753,NSE,MEDICO
2475009,NSE,HIKAL
2478849,NSE,KPITTECH
2479361,NSE,TRIDENT
2493697,NSE,PARADEEP
2496001,NSE,ETHOSLTD
2497537,NSE,EMUDHRA
2511361,NSE,AETHER
2513665,NSE,HAVELLS
2520833,NSE,NV20BEES
2524673,NSE,WEWIN
2525953,NSE,NEXTMEDIA
2527745,NSE,GOLDTECH
2529025,NSE,CHEVIOT
2531585,NSE,SMARTLINK
2533633,NSE,AIRAN
2534913,NSE,AXITA
2538753,NSE,NEOGEN
2539777,NSE,ALANKIT
2542337,NSE,VIKASLIFE
2578945,NSE,EMAMIPAP
2585345,NSE,GODREJCP
2600705,NSE,ORICONENT
2605057,NSE,SETFNIF50
2606337,NSE,BALKRISHNA
2615553,NSE,ADANIENSOL
2618113,NSE,MANORAMA
2620929,NSE,CONFIPET
2622209,NSE,SYNGENE
2630913,NSE,NGLFINE
2632961,NSE,AYMSYNTEX
2636033,NSE,PPL
2636801,NSE,RAMASTEEL
2639361,NSE,AURUM
2647809,NSE,RADHIKAJWE
2649601,NSE,CSLFINANCE
2661633,NSE,JISLJALEQS
2663937,NSE,STEELCITY
2664193,NSE,KSHITIJPOL
2666241,NSE,MUTHOOTCAP
2666753,NSE,DYCL
2672641,NSE,LUPIN
2674433,NSE,UNITDSPR
2675969,NSE,SATIN
2676993,NSE,ARVSMART
2681089,NSE,POWERMECH
2684161,NSE,RAMRAT
2690049,NSE,MOHEALTH
2690817,NSE,UTINIFTETF
2691073,NSE,CONS
2691841,NSE,UTISENSETF
2695681,NSE,SHARDAMOTR
2702593,NSE,NAVKARCORP
2707457,NSE,NIFTYBEES
2707713,NSE,KRBL
2707969,NSE,MPSLTD
2708225,NSE,MARKSANS
2708481,NSE,TCI
2709761,NSE,MOM30IETF
2710529,NSE,SHREEPUSHK
2713345,NSE,GUJGASLTD
2714625,NSE,BHARTIARTL
2718209,NSE,SADBHIN
2718465,NSE,HDFCNEXT50
2722049,NSE,HDFCNIF100
2722305,NSE,ASAL
2723073,NSE,OLECTRA
2729217,NSE,PONNIERODE
2730497,NSE,PNB
2733057,NSE,MNC
2736641,NSE,NIFTYQLITY
2737409,NSE,MOMENTUM
2739201,NSE,SURANAT&P
2743553,NSE,TIMESGTY
2745089,NSE,INFRAIETF
2745857,NSE,INDIAMART
2747649,NSE,SPORTKING
2748929,NSE,OFSS
2752769,NSE,UNIONBANK
2754817,NSE,SILVERADD
2756609,NSE,OAL
2762497,NSE,NUCLEUS
2763009,NSE,SYRMA
2763265,NSE,CANBK
2770433,NSE,MOQUALITY
2771201,NSE,MOVALUE
2781441,NSE,GVPTECH
2782977,NSE,GRMOVER
2784257,NSE,HDFCSILVER
2788609,NSE,DBOL
2791681,NSE,GENESYS
2796033,NSE,OMAXAUTO
2796801,NSE,GODREJIND
2798593,NSE,RADAAN
2800385,NSE,JUNIORBEES
2800641,NSE,DIVISLAB
2801921,NSE,TMB
2813441,NSE,RADICO
2815745,NSE,MARUTI
2817537,NSE,LIQUIDBEES
2822913,NSE,INFOBEAN
2824193,NSE,SANGINITA
2825473,NSE,BANKIETF
2825985,NSE,DCMNVL
2827521,NSE,SATIA
2828801,NSE,SIRCA
2830849,NSE,SECURKLOUD
2831361,NSE,KSOLVES
2834433,NSE,AGRITECH
2836993,NSE,LIBAS
2851841,NSE,SUMIT
2854145,NSE,SHRENIK
2855681,NSE,CREATIVE
2857473,NSE,HARSHA
2858241,NSE,COFFEEDAY
2863105,NSE,IDFCFIRSTB
2865409,NSE,AXISILVER
2865921,NSE,INDIGO
2870273,NSE,SHK
2872321,NSE,VARDHACRLC
2873089,NSE,UCOBANK
2873857,NSE,BAGFILMS
2876417,NSE,JSL
2877185,NSE,NSIL
2877697,NSE,HDFCGROWTH
2880769,NSE,WELSPUNLIV
2881281,NSE,HDFCQUAL
2881537,NSE,JAIBALAJI
2882561,NSE,HDFCVALUE
2883073,NSE,IGL
2885377,NSE,DREDGECORP
2886401,NSE,TVTODAY
2889473,NSE,UPL
2891009,NSE,UNIENTER
2892033,NSE,SIL
2893057,NSE,LUXIND
2895105,NSE,BALAXI
2897665,NSE,LICNETFN50
2899201,NSE,MUKANDLTD
2903809,NSE,AFFLE
2905857,NSE,PETRONET
2906881,NSE,PTC
2907905,NSE,DHANBANK
2909185,NSE,VAIBHAVGBL
2910465,NSE,TTKHLTCARE
2911489,NSE,BIOCON
2911745,NSE,TIPSFILMS
2912513,NSE,MAHABANK
2914817,NSE,PVTBANIETF
2916865,NSE,ZOTA
2918145,NSE,SALZERELEC
2919169,NSE,POONAWALLA
2920193,NSE,XPROINDIA
2921217,NSE,RKFORGE
2924289,NSE,DATAMATICS
2926593,NSE,KRITINUT
2927361,NSE,SPANDANA
2928385,NSE,BANKBEES
2928897,NSE,LICNETFSEN
2929921,NSE,PILANIINVS
