Dates,FX_DKK,FX_SEK,FX_CHF,FX_CAD,FX_AUD,FX_JPY,FX_GBP,FX_EUR,FX_NZD,PNL_FX_SEK,PNL_FX_AUD,PNL_FX_GBP,PNL_FX_DKK,PNL_FX_NZD,PNL_FX_EUR,Portfolio_PNL
2020-08-19,0.06389010738872836,0.0772712996937287,0.061793806942335605,-0.015143230229813676,0.03263249771917276,0.0601409377691321,0.0009090415029551213,0.0601409377691321,-0.016803191456074007,0.14784147624660793,0.008899670186641827,-0.00010378684565040529,-0.06778071296789485,0.01781477289928843,0.002962940928997539,0.21402208603313577
2020-08-20,0.06577689984155843,0.07640097767458154,0.07003028539021683,-0.012896633163605231,0.03402486753259515,0.06199935979988058,0.00976535544401469,0.06199935979988058,-0.020462285830216476,0.14617630829122683,0.00927940305980203,-0.0011149275746976913,-0.06978240216364394,0.021694151139000663,0.003054499107212073,0.22260882107245936
2020-08-21,0.06012718232743419,0.0668190961414804,0.06576415123391299,-0.012237350463183305,0.02971452270500896,0.056687386781330895,0.0003813687632218121,0.056687386781330895,-0.019544152700912698,0.12784350533995523,0.008103867932631046,-4.3541533401629806e-05,-0.06378864355490346,0.020720744793389614,0.0027927961332609467,0.18984071873590264
2020-08-24,0.06012718232743419,0.0668190961414804,0.06539952042260944,-0.015399822462129231,0.029993813306880335,0.05592448095781655,-0.0016812744758921694,0.05592448095781655,-0.021684498213831338,0.12784350533995523,0.008180037224490785,0.00019195402405516052,-0.06378864355490346,0.02298994284057805,0.0027552103394022183,0.18665519543948753
2020-08-25,0.06391506111531287,0.07121663352054808,0.07005025906933549,-0.011962942092003548,0.03446121523344747,0.059911586488865076,0.005131861863386544,0.059911586488865076,-0.018620303331036814,0.13625721677677435,0.009398405615404863,-0.0005859135731240597,-0.06780718625849073,0.01974127807955054,0.0029516415658577453,0.2062901737160526
2020-08-26,0.06328613029770291,0.07559491723333267,0.06941487738648178,-0.009591713004926783,0.039742660681675424,0.059489110781218324,0.009541837532486386,0.059489110781218324,-0.007317416512646613,0.1446340905978457,0.010838783333422856,-0.0010894081469174678,-0.06713995652657447,0.007757937753853347,0.0029308276142945185,0.21913491720820094
2020-08-27,0.06265680367718673,0.07472307765181563,0.06859743869438373,-0.00854032648895875,0.04333729637917283,0.05881286395112517,0.008860535488580346,0.05881286395112517,-0.004598793948079383,0.14296601912379794,0.011819127296798366,-0.001011622710452448,-0.06647230688922563,0.0048756493675516325,0.002897511216424576,0.21696184684764575
2020-08-28,0.0695837558182445,0.08606688218933745,0.07396058749903767,-0.006308476679322439,0.05793985871558294,0.06566449650060924,0.020374814709851363,0.06566449650060924,0.01106621584255163,0.16466987056317403,0.01580159869057013,-0.002326227947318868,-0.07382107767714598,-0.011732421344178772,0.003235068016573738,0.25859683385529575
2020-08-31,0.07271071016471098,0.08434125665007941,0.07450308297824204,-0.002247695961481222,0.05943340929263663,0.06843690681733627,0.021647936854687688,0.06843690681733627,0.009583196414997164,0.16136826921592165,0.016208926001437814,-0.0024715825115612052,-0.07713844876453513,-0.01016012155957057,0.0033716553114200402,0.25928364459747
2020-01-09,0.07021694457867622,0.07915543123953483,0.06817740070822564,-0.003552327403098965,0.05889110994339575,0.06642618295674652,0.022695057273535935,0.06642618295674652,0.013444773720804215,0.15144634364600265,0.016061027872639702,-0.0025911340666168337,-0.07449282464047775,-0.014254172556717983,0.0032725937363191748,0.2484340308989821
2020-02-09,0.0658419445786762,0.07568019231685896,0.06681326829643974,-0.002115358101988485,0.05427906436553365,0.06164109229187076,0.02015471059092977,0.06164109229187076,0.015368135164804841,0.1447972455374617,0.014803211664945099,-0.0023010982781637495,-0.06985140781783429,-0.01629332371545413,0.0030368484768363508,0.23299650620726714
2020-03-09,0.0658419445786762,0.07393651315382499,0.06817926410738573,-0.008507218263741567,0.04542106491064124,0.061388034510344025,0.014986171265087167,0.061388034510344025,0.006508123351455786,0.1414611025893664,0.0123874212973056,-0.0017109971755128195,-0.06985140781783429,-0.006899923732335415,0.003024381174428045,0.2226809399726485
2020-04-09,0.06458645179775968,0.07306315070841007,0.06372309822888456,-0.0033870922298699924,0.04665851850613145,0.06020679927578443,0.014835580195137643,0.06020679927578443,0.0078490053538397,0.13979011745335518,0.012724904776685926,-0.001693803931769412,-0.06851946146033638,-0.008321529170781914,0.0029661857030390537,0.22004459747073865
2020-07-09,0.0627008452609904,0.06956664721190664,0.06089127215781476,-0.00613003893833397,0.045971893952437504,0.05843285097370643,0.006325903261633514,0.05843285097370643,0.0035341712517715784,0.13310033430394028,0.012537645679251407,-0.0007222393513170169,-0.06651903039733127,-0.003746934527413581,0.0028787892601979123,0.2042543414281457
2020-08-09,0.05955223065141857,0.06254910335225738,0.05905909920068764,-0.01660810049694561,0.03731448018302708,0.05513252094070309,-0.007649487897412488,0.05513252094070309,-0.007374376267654581,0.11967382215844745,0.01017655987208759,0.0008733553057066397,-0.06317868003918553,0.007818326585493973,0.002716193143530699,0.17332075474241992
2020-09-09,0.061447366469485565,0.07226641783988996,0.06493281432550413,-0.00972524146319298,0.04687921542006601,0.057255122401052794,-0.006108893227870116,0.057255122401052794,0.0024458382662628786,0.13826574599948965,0.012785094154836812,0.000697462939232889,-0.0651892206716816,-0.0025930819972959443,0.0028207665502002583,0.19763395681528043
2020-10-09,0.0627084005174049,0.06876685528520932,0.06694011359557739,-0.013274603892534431,0.043446564040140245,0.05827181307291596,-0.021260408379385254,0.05827181307291596,-0.0024913251089614397,0.13157011002142252,0.01184892722670396,0.002427337713143749,-0.06652704573315335,0.002641307227288643,0.0028708554665945667,0.17762338457948534
2020-11-09,0.0652272922050624,0.06876685528520932,0.0687612754968705,-0.012219194921558207,0.047028818104620784,0.06089559639919628,-0.021963258828428533,0.06089559639919628,-0.00023602515406750957,0.13157011002142252,0.012825894419745479,0.0025075833684114535,-0.06919932601967,0.0002502342801499367,0.0030001204114828623,0.1805465252974388
2020-09-14,0.06711171431561513,0.06964481841075798,0.06930663088679956,-0.011955620857246219,0.047577966923950665,0.06258393001391849,-0.018055787743714746,0.06258393001391849,0.004864484896937804,0.13324989753743002,0.012975660564448165,0.0020614606149021095,-0.07119850053049986,-0.005157335375098626,0.0030832989077688036,0.18699103890001065
2020-09-15,0.06523083657266848,0.06701323946338944,0.06967000297982273,-0.01274613469123842,0.04949893289541052,0.06098271646259534,-0.014708442266523458,0.06098271646259534,0.006954037135743607,0.1282149554828701,0.013499554375240044,0.001679288373865293,-0.0692030862225117,-0.007372682304450494,0.0030044125228325864,0.18403347002225665
