gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1230,20121231,2012,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,5505,20.1913,70.377,871,1863,4084,4657,236,A,3032.5449
1230,20131231,2013,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,5838,29.5144,68.746,754,2068,3809,4964,182,A,5043.894
1230,20141231,2014,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,6181,16.1772,131.481,686,2317,4054,5368,85,A,7857.3046
1230,20151231,2015,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,6533,19.261,125.175,571,2614,4122,5598,-143,A,10077.8393
1230,20161231,2016,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,9962,23.7659,123.328,2645,2929,7031,5931,-485,A,10942.8934
1230,20171231,2017,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,10740,30.237,123.061,2262,2991,7019,7933,-554,A,9046.2141
1230,20181231,2018,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,10912,30.4479,123.194,1617,3242,7161,8264,-1155,A,7496.3549
1230,20191231,2019,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12993,35.2114,123,2703,3486,8662,8781,-1164,A,8333.25
1300,20101231,2010,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,37834,13.622,783,5755,8961,27047,33370,3294,A,41624.28
1300,20111231,2011,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,39808,13.9486,774.7,6881,8919,28906,36529,3859,A,42104.945
1300,20121231,2012,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,41853,16.5751,782.8,6395,9211,28638,37665,4553,A,49684.316
1300,20131231,2013,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,45435,22.285,783.8,6801,9339,27689,39055,6983,A,71615.806
