Date,Open,High,Low,Close,Adj Close,Volume
20100728,111.32,111.660004,110.459999,110.830002,89.57708,163056200
20100729,111.519997,111.82,109.410004,110.290001,89.140625,220149100
20100730,109.169998,110.860001,108.980003,110.269997,89.124481,220070600
20100802,111.989998,112.940002,111.540001,112.760002,91.136963,188263200
20100803,112.480003,112.769997,111.849998,112.220001,90.700539,146657300
20100804,112.529999,113.110001,112.160004,112.970001,91.306709,158171700
20100805,112.25,112.910004,112.080002,112.849998,91.209724,140473800
20100806,111.739998,112.57,110.919998,112.389999,90.837914,239728300
20100809,112.919998,113.18,112.32,112.989998,91.322884,120800400
20100810,112.029999,112.980003,111.370003,112.379997,90.829834,242916300
20100811,110.650002,110.690002,109.120003,109.300003,88.340477,273406900
20100812,107.650002,109.019997,107.599998,108.629997,87.79895,239542600
20100813,108.290001,108.959999,108.18,108.309998,87.540321,158698500
20100816,107.57,108.610001,107.18,108.260002,87.499886,147895300
20100817,109.190002,110.389999,108.879997,109.589996,88.574852,172270300
20100818,109.540001,110.379997,108.910004,109.790001,88.736526,182922100
20100819,109.220001,109.489998,107.43,107.879997,87.192757,265847600
20100820,107.559998,107.940002,106.75,107.529999,86.909882,209714200
20100823,108.040001,108.57,107.07,107.120003,86.578514,163490300
20100824,105.949997,106.389999,104.970001,105.529999,85.293411,280677800
20100825,104.949997,106.339996,104.290001,105.940002,85.624794,272234800
20100826,106.440002,106.580002,104.879997,105.230003,85.050957,224439500
20100827,105.889999,106.970001,104.309998,106.860001,86.368385,272649000
20100830,106.580002,106.910004,105.300003,105.309998,85.115601,167238600
20100831,104.919998,105.980003,104.489998,105.309998,85.115601,273933100
20100901,106.730003,108.610001,106.660004,108.459999,87.66156,256828100
20100902,108.720001,109.489998,108.489998,109.470001,88.47789,156112200
20100903,110.540001,110.989998,109.949997,110.889999,89.625587,212197300
20100907,110.370003,110.510002,109.550003,109.639999,88.61528,141973700
20100908,109.860001,110.849998,109.809998,110.410004,89.237625,149924400
20100909,111.650002,111.68,110.620003,110.919998,89.649834,147017900
20100910,111.120003,111.610001,110.870003,111.480003,90.102448,127819000
20100913,112.580002,112.949997,112.129997,112.720001,91.104645,178503500
20100914,112.5,113.290001,112.080002,112.650002,91.048096,209823600
20100915,112.32,113.209999,111.980003,113.080002,91.395645,168608400
20100916,112.730003,113.120003,112.349998,113.050003,91.371361,199962900
20100917,113.040001,113.150002,112.18,112.489998,91.405479,195836900
20100920,112.879997,114.459999,112.519997,114.209999,92.803101,214555200
20100921,114.300003,114.839996,113.510002,113.980003,92.616249,268389100
20100922,113.800003,114.440002,113.099998,113.419998,92.161194,191322400
20100923,112.489998,113.669998,112.18,112.5,91.413651,202354300
20100924,113.75,114.900002,113.650002,114.82,93.298775,209671800
20100927,114.860001,114.989998,114.160004,114.269997,92.851852,128761800
20100928,114.419998,115.040001,113.18,114.669998,93.176903,209207500
20100929,114.379997,114.910004,114.019997,114.470001,93.014381,179665800
20100930,115.050003,115.790001,113.589996,114.129997,92.738083,287106700
20101001,114.989998,115.120003,113.93,114.610001,93.12812,174638700
20101004,114.370003,114.849998,113.18,113.75,92.429329,166153200
20101005,114.800003,116.32,114.669998,116.040001,94.290108,229634100
20101006,116.019997,116.330002,115.559998,116.029999,94.281982,148626600
20101007,116.5,116.529999,115.190002,115.889999,94.168236,164860000
20101008,116.050003,116.860001,115.610001,116.540001,94.696396,177760100
20101011,116.720001,116.970001,116.25,116.650002,94.785782,103098300
20101012,116.269997,117.349998,115.650002,117.010002,95.078278,182210000
20101013,117.660004,118.550003,117.379997,117.919998,95.817719,194347200
20101014,117.809998,118.010002,116.720001,117.459999,95.443939,217764300
20101015,118.279999,118.349998,116.760002,117.699997,95.638954,243705000
20101018,117.739998,118.669998,117.309998,118.279999,96.110245,141204800
20101019,117.190002,117.849998,116.019997,116.730003,94.850792,280604700
20101020,116.940002,118.440002,116.870003,117.870003,95.777084,200051800
20101021,118.400002,119.089996,117.209999,118.129997,95.98835,221585500
20101022,118.309998,118.529999,118,118.349998,96.167137,108212400
20101025,119.139999,119.760002,118.610001,118.699997,96.451538,151145700
20101026,118.099998,118.839996,117.870003,118.720001,96.467773,158982900
20101027,117.889999,118.510002,117.260002,118.379997,96.191483,190024000
20101028,119.059998,119.110001,117.830002,118.400002,96.207756,168576000
20101029,118.279999,118.720001,118.07,118.489998,96.280869,144305500
20101101,119.07,119.75,117.849998,118.529999,96.313393,174074800
