19981106 00:00,1488800,1509400,1475000,1498800,3474700
19981109 00:00,1507500,1521900,1499400,1513800,3713700
19981110 00:00,1508800,1567500,1506900,1550600,4195600
19981111 00:00,1570000,1588800,1565000,1570600,5023800
19981112 00:00,1566900,1598800,1566300,1577500,4222800
19981113 00:00,1570000,1575000,1557500,1573100,2814600
19981116 00:00,1586300,1596900,1580600,1592500,3411500
19981117 00:00,1593800,1613800,1580600,1581900,4254100
19981118 00:00,1580600,1596300,1576300,1591900,2774700
19981119 00:00,1595000,1598800,1581300,1583800,2725400
19981120 00:00,1588800,1599400,1585000,1596300,3012700
19981123 00:00,1610000,1670000,1605600,1666900,3766900
19981124 00:00,1655000,1671900,1650000,1652500,3237800
19981125 00:00,1651300,1669400,1643800,1665600,1886300
19981127 00:00,1666300,1701900,1665000,1700000,1338500
19981130 00:00,1697500,1705600,1648800,1650000,2661800
19981201 00:00,1635000,1694400,1635000,1694400,3542500
19981202 00:00,1689400,1692500,1647500,1675000,3035000
19981203 00:00,1682500,1693800,1630000,1631300,3141100
19981204 00:00,1646300,1653800,1622500,1644400,3276800
19981207 00:00,1644400,1681900,1642500,1670000,2606300
19981208 00:00,1681900,1698800,1650600,1681900,3692100
19981209 00:00,1680600,1699400,1673800,1695000,2313200
19981210 00:00,1693100,1700000,1637500,1649400,3599300
19981211 00:00,1640000,1680000,1632500,1680000,3413300
19981214 00:00,1665000,1670000,1627500,1629400,3650100
19981215 00:00,1635000,1658800,1625000,1648100,3745900
19981216 00:00,1668800,1668800,1643100,1645600,2786100
19981217 00:00,1654400,1696300,1650600,1660600,4095400
19981218 00:00,1666300,1721900,1666300,1714400,4600900
19981221 00:00,1715600,1789400,1715600,1765600,3660000
19981222 00:00,1775000,1830000,1752500,1826900,4284600
19981223 00:00,1826900,1853800,1811300,1850600,3430800
19981224 00:00,1847500,1879400,1840600,1879400,1526200
19981228 00:00,1865000,1899400,1860000,1891900,2548800
19981229 00:00,1886300,1889400,1870000,1870600,1820900
19981230 00:00,1868800,1886300,1863100,1867500,2450600
19981231 00:00,1867500,1871900,1835000,1845000,1717800
19990104 00:00,1850000,1865000,1815000,1828800,4009300
19990105 00:00,1830000,1898800,1825600,1894400,4857900
19990106 00:00,1903100,1927500,1885000,1888800,4626200
19990107 00:00,1879400,1923800,1870000,1900600,4074700
19990108 00:00,1910000,1920000,1856300,1875600,4499800
19990111 00:00,1890000,1894400,1870000,1891900,3531100
19990112 00:00,1900000,1900000,1840000,1850000,3290600
19990113 00:00,1830000,1874400,1795000,1854400,5086100
19990114 00:00,1836300,1849400,1788800,1802500,4416700
19990115 00:00,1822500,1854400,1812500,1854400,3082100
19990119 00:00,1877500,1909400,1855000,1906300,4061900
19990120 00:00,1950000,1992500,1926300,1942500,6267500
19990121 00:00,1976300,1982500,1920600,1968100,10009900
19990122 00:00,1840000,1866900,1776300,1789400,18707100
19990125 00:00,1822500,1826300,1468800,1804400,11504400
19990126 00:00,1837500,1865000,1818800,1859400,9311200
19990127 00:00,1868100,1868100,1778100,1780000,8656000
19990128 00:00,1795000,1813100,1775600,1786300,5742700
19990129 00:00,1786900,1972500,1785000,1830000,4812900
19990201 00:00,1845000,1845000,1796900,1797500,3565900
19990202 00:00,1795600,1806900,1750000,1765000,5758200
19990203 00:00,1758800,1770000,1730600,1753100,5518500
19990204 00:00,1751900,1765000,1695000,1695000,5751400
19990205 00:00,1704400,1710000,1645600,1658100,8366600
19990208 00:00,1670000,1688800,1631300,1668100,5941500
