TICKER,bm,roe,cash_ratio,ptb,pcf,curr_ratio,divyield,quarterly_return,Z_score,Sectors,Z_score_normalize
JPM,1.4071312745037705,-0.2103231721347562,0.0,-0.8376052386525029,-1.302874794910479,0.0,0.46113113961952684,-0.23457782775502897,-1.6393808985685236,Financial Services,-0.52296263092979
TGT,-0.29740649547180714,0.026182430964786223,-0.5917871312878831,-0.4314119198647941,-0.3453899798754592,-0.3623138533241505,-0.544033483397323,-0.3129940573972149,-1.7710875228591996,Consumer Defensive,-0.5649770540635937
CAT,-0.5498432328296674,0.22034210377796196,-0.5715720302597269,-0.224552266083425,-0.5844961147508476,-0.3337250600632026,0.22371256209392595,0.46279465839886447,-1.8047645039039693,Industrials,-0.5757200135700292
USB,0.14697592268471266,-0.0014540044946574895,0.0,-0.622401054627712,-0.46630267795057334,0.0,0.5872999863940315,-0.3730775066606623,-1.903559307442924,Financial Services,-0.607235563388889
PG,-0.47002343269523933,0.06737056811464542,-0.4698464358657978,-0.14978379380383655,0.2258054056972654,-0.6199733623605339,0.2119374313695976,-0.28373025543564834,-1.912118737718743,Consumer Defensive,-0.6099660222957916
NEE,0.7780755603527555,-0.209880259755087,-0.6296586653735513,-0.7608796449911952,-0.4552814675358613,-0.8161493083121174,0.5775283075720862,0.7357227334189408,-1.9355793597682023,Utilities,-0.61744996250819
MRK,-0.5547624595260547,0.1953936468656322,-0.18327898848648377,-0.013760438030130577,0.33861143921986886,-0.19902495184941887,0.9111821100835019,-0.6204345940619467,-1.9484384559520356,Healthcare,-0.6215520151657198
DD,-0.5208593483646969,0.07483248583355408,-0.39307068890807495,-0.24844851236760976,0.0720513958651602,-0.11133822832254481,0.7706795196637181,-0.08861956024122734,-1.9861319761691574,Basic Materials,-0.6335762509726416
MS,1.6518743088204657,-1.2322860607141137,0.06656857552820361,-0.7116612731448335,-1.5605198341136823,0.11240808121675429,-0.5650251109967117,-0.9107629259179978,-2.0193540173284923,Financial Services,-0.644174084621133
COP,1.3912420017855394,-0.27468072723168074,-0.46346317191363756,-0.8508567402724153,-0.8073792493075922,-0.49191314275875253,0.615637971657043,-0.0005726492935707847,-2.113261650649153,Energy,-0.6741306267698458
WMT,-0.5496721292924014,0.0723818911071509,-0.6003113017792385,-0.20597703061800166,-0.0847484316871657,-0.6508023146674053,-0.5224675675912537,-0.7564758873286551,-2.253137636674463,Consumer Defensive,-0.7187510769163419
EMR,-0.5638737228854511,0.07187715353956046,-0.47477083612931775,-0.2627049878502363,0.0143462770992249,-0.33859679573638757,0.3774495492143744,-0.3373339371841837,-2.2685063983611653,Industrials,-0.7236537130595523
OXY,0.40414453919499294,-0.07831832550200886,-0.44949587566075394,-0.6981857756599678,-0.6536775295342272,-0.413635057702524,0.5919330051182786,-0.11876832675678192,-2.5998693567395494,Energy,-0.8293585219038863
MO,-0.6593494966796861,0.5590931169979776,-0.4753657085484976,0.08136380471955408,0.1997984760634897,-0.6512348439421874,2.4511931321046516,0.6076460651426094,-2.7892417183513922,Consumer Defensive,-0.8897683196149564
CVX,0.7689325277693351,-0.10028642725332813,-0.3944226003583837,-0.7716207130749444,-0.6421988863355972,-0.3656027887997185,1.017366154953778,-0.2896296797765446,-2.8121947227829596,Energy,-0.8970903297687631
XOM,0.07087762448581301,0.01592338890381507,-0.4841480550473281,-0.5946011920547418,-0.3826303695328674,-0.5091836651677453,0.2784063935891759,-0.7115420924902405,-2.8737107544924707,Energy,-0.9167139485478139
EXC,1.3424020426028747,-0.2353448392929229,-0.5258057033364596,-0.7941210134995009,-0.6901760171255275,-0.5144791848651322,1.1721347611675803,-0.7110059862246154,-3.300665462908864,Utilities,-1.0529125329013729
DUK,1.897108453606467,-0.34481976118978586,-0.5438938173605318,-0.8872192419894825,-0.6052434392869719,-0.5513800007120481,1.947833805627252,-0.37028449214345693,-3.353566104703062,Utilities,-1.0697878416442799
KMI,0.8139558434680869,-0.34217704227013407,-0.610650541421652,-0.7379266166240691,-0.08901646265191529,-0.8920101533274993,0.7213301804136549,-0.8704962128007301,-3.449651366041568,Energy,-1.100439047295778
WBA,-0.09590329710155164,-0.10187401032933323,-0.48753504198829334,-0.5923918787594692,-0.21249183038060426,-0.4595831282846191,-0.14531296856971676,-1.8738204133173348,-3.678286631591489,Healthcare,-1.1733737143397345
SO,1.0341905392914528,-0.27069544412078284,-0.5968016463428071,-0.8254716318274051,-0.5996018596290413,-0.688490603139126,2.09188657308657,-0.057081392815410276,-4.09583861166969,Utilities,-1.3065728276405606
GE,-0.09274013302446928,-0.21239825506408172,-0.6512330466773317,-0.427314889115643,-0.7479556669136955,-0.4089071058946935,0.4999109087473987,-1.4435815475460172,-4.484041552983331,Industrials,-1.4304095953504528
F,0.844315937496359,-0.3912598589002752,-0.4052850998142349,-0.7163794443841939,-1.3326806198110521,-0.4256146609277308,1.5202769997639418,-0.7248975014068564,-4.6720782475119265,Consumer Cyclical,-1.4903933151607063
T,1.5052450749864807,-0.3683708343480812,-0.5340585627511806,-0.8457162340324427,-0.8560377153057875,-0.7447810764009134,2.047108344123141,-0.7926382351760771,-4.6834659271511425,Communication Services,-1.4940259858289506
GM,1.5064091428530302,-0.33140597795412347,-0.3750403946966675,-0.8420249015533945,-1.5721341764054542,-0.4962769487835789,2.126076733768181,-0.6043085092581296,-4.840858499566499,Consumer Cyclical,-1.544234228361857
VZ,0.20580498530101538,-0.11633845533826372,-0.521583437481599,-0.6332637288553588,-0.9014496350229901,-0.6806223633812446,1.933373219067139,-0.6064099643350161,-5.187235818180596,Communication Services,-1.6547286192596675
RTX,-0.420189527466617,-6.757036722159388,1.693132142005914,-0.10327618215398414,-1.754208716804487,1.1045637403534707,0.0,-0.20182192897915172,-6.438837195204243,Industrials,-2.053989553417902
