Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19320701,-3.71,-0.67,-2.13,-0.28,-1.59,-0.66
19320709,1.55,0.97,1.67,-5.03,-0.87,2.74
19320716,6.58,6.92,13.22,8.76,13.86,15.95
19320723,0.5,9.34,10.2,4.63,8.25,12.04
19320730,15.48,15.57,26.71,14.89,17.6,23.03
19320806,9.06,13.13,11.42,16.72,21.26,17.67
19320813,2.87,8.72,11.34,-3.12,-0.8,0.8
19320820,15.37,6.07,10.52,6.67,9.36,16.88
19320827,11.97,20.44,32.62,11.75,16.25,18.67
19320903,16.13,10.59,8.66,4.23,7.24,11.47
19320910,-1.23,0.78,-6.05,-2.39,-2.95,-1.58
19320917,-17.32,-16.74,-18.99,-11.31,-18.5,-20.99
19320924,14.1,10.13,14.59,11.58,16.25,16.72
19321001,-7.68,-6.79,-6.51,-3.68,-5.11,-6.31
19321008,-14.51,-17.24,-23.37,-13.5,-20.83,-28.49
19321015,4.13,4.05,5.95,5.2,7.25,10.43
19321022,-4.43,-5.44,-5.98,-4.38,-5.39,-4.56
19321029,1.32,-0.98,-0.86,2.5,2.49,2.57
19321105,-0.6,-3.07,-5.55,-0.04,-3.28,-5.27
19321112,15.08,11.31,15.02,9.01,13.79,14.25
19321119,-4.85,-6.63,-9.74,-4.09,-7.46,-11.25
19321126,-6.65,-5.65,-6.24,-4.85,-7.8,-6.99
19321203,-3,-6.89,-10.64,-3.58,-5.47,-12.21
19321210,2.87,3.9,1.64,7.77,7.34,10.94
19321217,-1.07,-3.32,-4.61,0.5,-2.6,-3.44
19321224,-11.06,-7.09,-10.76,-3.32,-9.11,-13.67
19321231,4.04,6.36,7.13,2.78,8.12,9.68
19330106,6.03,5.01,13.03,3.74,6.7,9.66
19330114,-0.59,-0.44,-0.61,-0.49,-0.51,1.39
19330121,-2.88,-2.6,-2.5,-1.5,-2.24,-2.59
19330128,-2.15,0.64,-1.61,-1.12,-1.2,-2.03
19330204,-3.45,-4.83,-3.53,-6.3,-4.85,-1.46
19330211,2.59,1.62,3.85,3.31,5.23,9.02
19330218,-6.44,-4.88,-7.18,-5.59,-6.31,-8.14
19330225,-9.47,-9.22,-11.67,-8.43,-11.09,-14.86
19330303,-5.26,-1.34,0.74,3.93,3.27,3.91
19330318,17.4,19.95,28.2,10.89,19.9,18.93
19330325,-1.41,-9.56,-6.09,-6.48,-5.42,-4.85
19330401,-5.46,-4.45,-8.4,-4.94,-4.92,-8.16
19330408,4.76,3.33,8.34,5.1,6.51,5.65
19330415,14.25,8.6,6.22,5.28,7.86,8.22
19330422,6.62,23.3,22.41,12.58,22.98,27.43
19330429,16.83,11.95,12.15,6.93,6.69,6.71
19330506,16.92,9.95,13.03,1.75,2.74,7.41
19330513,10.05,9.46,11.27,5.31,5.2,8.63
19330520,11.61,7.6,9.61,-0.77,-0.66,2.82
19330527,23.48,18.64,16.26,10.91,14.3,14.28
19330603,1.43,11.35,12.31,1.41,6.25,5.72
19330610,8.52,8.74,6.56,5.54,4.88,3.45
19330617,-7.08,-8.83,-9.06,-4.22,-5.98,-2.63
19330624,18.92,10.89,11.66,5.28,8.81,11.92
19330701,7.97,10.37,8.95,4.75,6.86,12.05
19330708,4.26,6.65,12.48,4.23,8.29,15.15
19330715,6.53,-0.02,1.09,0.33,-0.14,-0.72
19330722,-24.33,-26.99,-27.66,-16.52,-23,-25.12
19330728,8.32,17.62,18.49,6.65,7.92,11.12
19330804,-1.47,-1.98,-3.05,-1.99,-3.62,-3.23
19330811,4.44,3.3,3.09,4.35,5.53,6.12
19330818,3.27,-0.6,-1.66,0.11,0.37,-1.01
19330825,3.34,4.56,5.29,5.47,8.84,11.55
19330901,0.98,-1.24,-1.84,-0.61,0.11,-1.26
19330909,-2.43,-4.02,-6.32,-3.72,-5.82,-7.58
19330916,3.43,3.69,3.94,3.6,5.27,5.76
19330923,-5.45,-9.12,-9.88,-5.27,-7.58,-11.48
19330930,-5.47,-5.72,-10.64,-4.96,-6.52,-8.35
19331007,2.16,2.51,4.21,3.13,2.56,2.29
19331014,-1.11,-3.62,-3.73,-2.09,-4.04,-6.6
19331021,-12.96,-16.68,-20.18,-10.55,-15.52,-22.29
19331028,7.54,13.16,16.76,8.27,12.54,18.09
19331104,-0.58,-1.12,-0.53,0.71,3.06,3.94
19331111,2.7,2.36,2.4,3.07,3.79,4.4
19331118,1.65,0.34,1.05,1.76,1.8,-0.73
19331125,-1.68,-1.05,-0.18,1.1,-0.22,1.13
19331202,-1.53,-2.21,-4.09,-0.93,-0.82,-3.19
19331209,5.14,5.12,6.64,3.25,4.52,9.61
19331216,0.53,-2.63,-3.73,-3.7,-3.95,-6.81
19331223,-2.89,-2.46,-5.82,-1.05,-0.11,0.61
19331230,1.97,3.19,4.01,3.21,1.29,0.83
19340106,-0.09,-1.5,-0.81,-2.85,-2.15,-3.36
19340113,3.01,4.62,7.3,3.28,3.55,5.15
19340120,9.32,15.04,21.4,7.34,11.64,17.9
19340127,3.14,2.82,2.97,0.61,0.9,-0.04
19340203,5.09,8.67,11.9,4.21,7.1,10.23
19340210,-3.86,-4.1,-4.38,-3.24,-5.08,-6.48
19340217,4.72,8.42,12.72,3.53,5.55,7.89
19340224,-2.48,-5.38,-6.94,-4.05,-6.16,-8.13
19340303,2.04,2.83,1.83,1.11,1.82,1.42
19340310,-1.22,-1.3,-2.47,-2.41,-2.72,-3.69
19340317,2.55,0.42,0.15,-0.22,-0.88,-0.82
19340324,-0.91,-1.21,-2.71,0.21,-0.23,-1.32
19340331,0.03,0.61,1.28,0.12,0.44,1.29
19340407,3.8,1.74,3.3,1.48,2.41,3.16
19340414,1.11,0.59,0.87,0.29,0.54,0.25
19340421,3.74,3.53,2.85,1.77,2.27,1.34
19340428,-2.87,-3.52,-4.42,-3.39,-4.36,-4.59
19340505,-6.82,-6.98,-7.35,-5.16,-5.74,-9.42
19340512,-9.16,-10.21,-13.33,-5.91,-9.26,-12.85
19340519,5.88,6.5,8.74,3.83,6.62,9.54
19340526,-0.58,-1.63,-2.04,-0.24,-1.55,-1.96
